"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,6,0,30,-0.718361292450852,36,0.833333333333333,0.416666655092593,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,15,0,151,-0.996756883354739,166,0.909638554216867,0.454819274368559,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,11,1,33,-0.429391004937951,45,0.733333333333333,0.374999991477273,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,13,0,21,-0.149565342566706,34,0.617647058823529,0.30882352032872,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,32,1,215,-0.852438224940684,248,0.866935483870968,0.435222670302742,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,2,0,18,-0.898253641291895,20,0.9,0.449999977500001,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,0,2.14886416265423,1,0,0,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",12465,61,20665,126,-0.251738380957815,33317,0.377915178437434,0.525020941454645,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",325,3,161,3,0.389398674156442,492,0.666666666666667,0.584362097563048,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",61,0,79,0,-0.162284856562902,140,0.435714285714286,0.21785714130102,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",10,0,1,0,3.2438901617084,11,0.909090909090909,0.454545413223144,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.658402658885961,1,0,0,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",6,0,56,0,-1.14306851509672,62,0.0967741935483871,0.0483870959937565,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",1,0,2,0,-0.00187489652193912,3,0.333333333333333,0.16666661111113,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",81,0,84,0,0.0193196615405082,165,0.490909090909091,0.245454543966942,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",17,0,27,0,-0.244586454565618,44,0.386363636363636,0.193181813791322,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",4,0,1,0,0.44403846360907,5,0.8,0.399999920000016,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,-0.44393939040234,1,1,0.4999995000005,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",36,3,72,6,-0.371214860158297,117,0.358974358974359,0.499999961419757,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",38,3,27,2,0.234539598160232,70,0.571428571428571,0.492307647810659,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",3,2,0,0,0.449478688020993,5,0.6,0.499999833333389,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",14,17,5,4,0.480852499212883,40,0.45,0.463659123943946,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",11,10,3,5,0.574204414768283,29,0.551724137931034,0.559523770351477,"UCell","MANNE_UP",FALSE,"gmm_dist_platelet"
