"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,23,0,5,-0.853108742123158,28,0.178571428571429,0.0892857110969389,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"B-cells","B intermediate lambda",0,110,0,32,-0.984206134198145,142,0.225352112676056,0.112676055544535,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"B-cells","B memory kappa",0,32,0,3,-0.520299282896974,35,0.0857142857142857,0.0428571416326531,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"B-cells","B memory lambda",0,30,0,0,-0.216592358024037,30,0,0,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"B-cells","B naive kappa",1,170,0,34,-0.969717560312136,205,0.170731707317073,0.583332832925337,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"B-cells","B naive lambda",0,13,0,2,-0.86587282279069,15,0.133333333333333,0.0666666622222225,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"B-cells","Plasma",0,2,0,0,2.65381659252471,2,0,0,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"Classical-Monocytes","CD14 Mono",23133,136,2435,13,-0.264359965279876,25717,0.900027219349069,0.496006044367858,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"Classical-Monocytes","CD16 Mono",283,6,4,0,0.434715638801996,293,0.965870307167236,0.493031357167138,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"Classical-Monocytes","Doublet",99,0,10,0,-0.131100019874191,109,0.908256880733945,0.454128436200657,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"Classical-Monocytes","HSPC",1,0,0,0,-0.675286823030012,1,1,0.4999995000005,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"Classical-Monocytes","Platelet",38,0,21,0,-1.23761381780999,59,0.644067796610169,0.322033892846883,"UCell","MANNE_UP",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,0.59667793757549,2,1,0.499999750000125,"UCell","MANNE_UP",FALSE,"gmm_platelet"
