"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.718361292450852,36,1,0.499999986111112,"UCell","MANNE_UP",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.996756883354739,166,1,0.499999996987952,"UCell","MANNE_UP",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.429391004937951,45,0.977777777777778,0.499999988636364,"UCell","MANNE_UP",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.149565342566706,34,1,0.499999985294118,"UCell","MANNE_UP",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.852438224940684,248,0.995967741935484,0.499999997975708,"UCell","MANNE_UP",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.898253641291895,20,1,0.499999975000001,"UCell","MANNE_UP",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,2.14886416265423,1,1,0.4999995000005,"UCell","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",12940,66,20190,121,-0.251738380957815,33317,0.392022090824504,0.518820686817117,"UCell","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",331,3,155,3,0.389398674156442,492,0.678861788617886,0.590534937056519,"UCell","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","Doublet",63,0,77,0,-0.162284856562902,140,0.45,0.224999998392857,"UCell","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","Eryth",9,0,2,0,3.2438901617084,11,0.818181818181818,0.40909087190083,"UCell","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.658402658885961,1,0,0,"UCell","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","Platelet",3,0,59,0,-1.14306851509672,62,0.0483870967741935,0.0241935479968783,"UCell","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","cDC1",1,0,2,0,-0.00187489652193912,3,0.333333333333333,0.16666661111113,"UCell","MANNE_UP",FALSE,"kmeans"
