"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.853108742123158,28,1,0.499999982142858,"UCell","MANNE_UP",FALSE,"youden"
"B-cells","B intermediate lambda",0,0,0,142,-0.984206134198145,142,1,0.499999996478873,"UCell","MANNE_UP",FALSE,"youden"
"B-cells","B memory kappa",0,1,0,34,-0.520299282896974,35,0.971428571428571,0.485714271836735,"UCell","MANNE_UP",FALSE,"youden"
"B-cells","B memory lambda",0,2,0,28,-0.216592358024037,30,0.933333333333333,0.466666651111112,"UCell","MANNE_UP",FALSE,"youden"
"B-cells","B naive kappa",0,1,1,203,-0.969717560312136,205,0.990243902439024,0.497549017168877,"UCell","MANNE_UP",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.86587282279069,15,1,0.499999966666669,"UCell","MANNE_UP",FALSE,"youden"
"B-cells","Plasma",0,2,0,0,2.65381659252471,2,0,0,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",1872,11,23696,138,-0.264359965279876,25717,0.0781584166115799,0.499695505538155,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",34,0,253,6,0.434715638801996,293,0.136518771331058,0.559233365937644,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","Doublet",7,0,102,0,-0.131100019874191,109,0.0642201834862385,0.0321100914485313,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.675286823030012,1,0,0,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","Platelet",0,0,59,0,-1.23761381780999,59,0,0,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,0.59667793757549,2,0,0,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","cDC2_1",8,0,79,0,-0.055884163654135,87,0.0919540229885057,0.0459770109657815,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","cDC2_2",1,0,24,0,-0.254782372599623,25,0.04,0.0199999992,"UCell","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","pDC",0,0,5,0,0.344808388784331,5,0,0,"UCell","MANNE_UP",FALSE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.704287129956253,1,1,0.4999995000005,"UCell","MANNE_UP",FALSE,"youden"
"DCs","CD14 Mono",7,1,78,8,-0.298967974255122,94,0.159574468085106,0.48562086516554,"UCell","MANNE_UP",FALSE,"youden"
"DCs","CD16 Mono",4,0,47,3,0.356438502252224,54,0.12962962962963,0.539215518838964,"UCell","MANNE_UP",FALSE,"youden"
