"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.718361292450852,36,1,0.499999986111112,"UCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,0,0,166,-0.996756883354739,166,1,0.499999996987952,"UCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.429391004937951,45,0.977777777777778,0.499999988636364,"UCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.149565342566706,34,1,0.499999985294118,"UCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.852438224940684,248,0.995967741935484,0.499999997975708,"UCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.898253641291895,20,1,0.499999975000001,"UCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,2.14886416265423,1,1,0.4999995000005,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",24704,126,8426,61,-0.251738380957815,33317,0.743314223969745,0.53593589255852,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",442,5,44,1,0.389398674156442,492,0.900406504065041,0.538065828796849,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",113,0,27,0,-0.162284856562902,140,0.807142857142857,0.403571425688776,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,3.2438901617084,11,0.909090909090909,0.454545413223144,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.658402658885961,1,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,-1.14306851509672,62,0.112903225806452,0.0564516119927159,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.00187489652193912,3,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",86,0,79,0,0.0193196615405082,165,0.521212121212121,0.26060605902663,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",11,0,33,0,-0.244586454565618,44,0.25,0.124999997159091,"UCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.44403846360907,5,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,-0.44393939040234,1,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",70,6,38,3,-0.371214860158297,117,0.623931623931624,0.490740719221539,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",50,4,15,1,0.234539598160232,70,0.728571428571429,0.484615358698229,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.449478688020993,5,0.4,0.499999750000125,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,0.480852499212883,40,0.525,0.499999976190477,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,0.574204414768283,29,0.517241379310345,0.499999966666669,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,0.541925494694353,5,0.4,0.499999750000125,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,0.58363051745885,22,0.227272727272727,0.49999990000002,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,0.748654022347418,3,0.666666666666667,0.499999750000125,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,0.836826366982834,8,0.375,0.499999833333389,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,0.856087520203774,44,0.340909090909091,0.499999966666669,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.30441798881765,1,1,0.4999995000005,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,0.320097568673496,1,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,0.68768279977162,2,1,0.499999750000125,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,0.151524628562552,4,0.5,0.499999750000125,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,0.244970660127893,3,0.333333333333333,0.4999995000005,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,0.472921408635031,9,0.222222222222222,0.499999750000125,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,0.395594560512427,2,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,0.524066332339174,7,0.714285714285714,0.49999990000002,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,0.0112630603912133,1,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,0.487233714822106,17,0.764705882352941,0.874999476563001,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.768687480297731,1,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,0.637999117642321,3,0,0,"UCell","MANNE_UP",FALSE,"youden_dual"
