"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.587052714871112,36,1,0.499999986111112,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,2,0,164,-0.750515316552893,166,0.987951807228916,0.493975900638699,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,1,1,43,-0.407358273709461,45,0.955555555555556,0.488636352530992,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,2,0,32,-0.181380461457461,34,0.941176470588235,0.470588221453288,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,2,1,245,-0.785964376143074,248,0.987903225806452,0.495951414996148,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.746431856579798,20,1,0.499999975000001,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,1.12739242099413,1,1,0.4999995000005,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",6546,24,26584,163,0.184401836976241,33317,0.201368670648618,0.534621509745681,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",202,0,284,6,1.08816858416844,492,0.422764227642276,0.707818846280222,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",32,0,108,0,0.308021255711622,140,0.228571428571429,0.114285713469388,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",8,0,3,0,1.80267294009016,11,0.727272727272727,0.363636330578515,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.480479347773731,1,0,0,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",1,0,61,0,-0.956402708849797,62,0.0161290322580645,0.00806451599895942,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,3,0,-0.290470985351343,3,0,0,"UCell","MANNE_UP",TRUE,"gmm_dist_platelet"
