"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.587052714871112,36,1,0.499999986111112,"UCell","MANNE_UP",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,1,0,165,-0.750515316552893,166,0.993975903614458,0.496987948813326,"UCell","MANNE_UP",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.407358273709461,45,0.977777777777778,0.499999988636364,"UCell","MANNE_UP",TRUE,"kmeans"
"B-cells","B memory lambda",0,2,0,32,-0.181380461457461,34,0.941176470588235,0.470588221453288,"UCell","MANNE_UP",TRUE,"kmeans"
"B-cells","B naive kappa",0,1,1,246,-0.785964376143074,248,0.991935483870968,0.497975706485928,"UCell","MANNE_UP",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.746431856579798,20,1,0.499999975000001,"UCell","MANNE_UP",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,1,1.12739242099413,1,1,0.4999995000005,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",8297,28,24833,159,0.184401836976241,33317,0.253804364138428,0.550352522455197,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",248,0,238,6,1.08816858416844,492,0.516260162601626,0.755143949063503,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","Doublet",39,0,101,0,0.308021255711622,140,0.278571428571429,0.139285713290816,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","Eryth",8,0,3,0,1.80267294009016,11,0.727272727272727,0.363636330578515,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.480479347773731,1,0,0,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","Platelet",1,0,61,0,-0.956402708849797,62,0.0161290322580645,0.00806451599895942,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,-0.290470985351343,3,0,0,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",43,0,122,0,0.295346409556606,165,0.260606060606061,0.130303029513315,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",5,0,39,0,-0.115499237192286,44,0.113636363636364,0.0568181805268595,"UCell","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.231736922066004,5,0,0,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.359943389621963,1,1,0.4999995000005,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD14 Mono",19,1,89,8,-0.105239640281856,117,0.230769230769231,0.532407357210225,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD16 Mono",23,3,42,2,0.724274607664173,70,0.357142857142857,0.376923034201191,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,0.0827627273997207,5,0.4,0.499999750000125,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,0.0851717278941513,40,0.525,0.499999976190477,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,0.186656442109545,29,0.517241379310345,0.499999966666669,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,0.303943919050079,5,0.4,0.499999750000125,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,0.0669999322501293,22,0.227272727272727,0.49999990000002,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,0.244989766640996,3,0.666666666666667,0.499999750000125,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,0.334599238064819,8,0.375,0.499999833333389,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,0.321612873925023,44,0.340909090909091,0.499999966666669,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-0.211106688444066,1,1,0.4999995000005,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,0.659341670946622,1,0,0,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,0.855670914571199,2,1,0.499999750000125,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-0.0797431180818891,4,0.5,0.499999750000125,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.230966858988716,3,0.333333333333333,0.4999995000005,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,0.0493288941405121,9,0.222222222222222,0.499999750000125,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,0.32391484823815,2,0,0,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,5,0.104080765408529,7,0.714285714285714,0.49999990000002,"UCell","MANNE_UP",TRUE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,0.180062286014246,1,0,0,"UCell","MANNE_UP",TRUE,"kmeans"
