"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.587052714871112,36,1,0.499999986111112,"UCell","MANNE_UP",TRUE,"youden"
"B-cells","B intermediate lambda",0,2,0,164,-0.750515316552893,166,0.987951807228916,0.493975900638699,"UCell","MANNE_UP",TRUE,"youden"
"B-cells","B memory kappa",0,4,1,40,-0.407358273709461,45,0.888888888888889,0.454545444214876,"UCell","MANNE_UP",TRUE,"youden"
"B-cells","B memory lambda",0,2,0,32,-0.181380461457461,34,0.941176470588235,0.470588221453288,"UCell","MANNE_UP",TRUE,"youden"
"B-cells","B naive kappa",0,4,1,243,-0.785964376143074,248,0.979838709677419,0.491902832016588,"UCell","MANNE_UP",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.746431856579798,20,1,0.499999975000001,"UCell","MANNE_UP",TRUE,"youden"
"B-cells","Plasma",0,1,0,0,1.12739242099413,1,0,0,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",8963,30,24167,157,0.184401836976241,33317,0.273734129723565,0.55505624190996,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",262,0,224,6,1.08816858416844,492,0.544715447154472,0.769547241214937,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","Doublet",39,0,101,0,0.308021255711622,140,0.278571428571429,0.139285713290816,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","Eryth",9,0,2,0,1.80267294009016,11,0.818181818181818,0.40909087190083,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.480479347773731,1,0,0,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","Platelet",1,0,61,0,-0.956402708849797,62,0.0161290322580645,0.00806451599895942,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","cDC1",0,0,3,0,-0.290470985351343,3,0,0,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","cDC2_1",48,0,117,0,0.295346409556606,165,0.290909090909091,0.145454544573003,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","cDC2_2",9,0,35,0,-0.115499237192286,44,0.204545454545455,0.102272724948347,"UCell","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","pDC",1,0,4,0,0.231736922066004,5,0.2,0.099999980000004,"UCell","MANNE_UP",TRUE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.359943389621963,1,1,0.4999995000005,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD14 Mono",22,2,86,7,-0.105239640281856,117,0.247863247863248,0.490740696587796,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD16 Mono",23,3,42,2,0.724274607664173,70,0.357142857142857,0.376923034201191,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD4 CTL",0,0,3,2,0.0827627273997207,5,0.4,0.499999750000125,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD4 Naive",2,4,17,17,0.0851717278941513,40,0.475,0.457393461664815,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD4 TCM_1",1,4,13,11,0.186656442109545,29,0.413793103448276,0.402380925385489,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD4 TCM_2",0,1,3,1,0.303943919050079,5,0.2,0.249999875000062,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD4 TCM_3",2,0,15,5,0.0669999322501293,22,0.318181818181818,0.558823425951577,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,0.244989766640996,3,0.666666666666667,0.499999750000125,"UCell","MANNE_UP",TRUE,"youden"
"DCs","CD4 TEM_3",0,1,5,2,0.334599238064819,8,0.25,0.333333222222259,"UCell","MANNE_UP",TRUE,"youden"
