"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,5,0,23,-0.790372027468069,28,0.821428571428571,0.410714271045919,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,65,0,77,-0.308012250314587,142,0.542253521126761,0.271126758654037,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,3,0,32,-0.699268844266661,35,0.914285714285714,0.457142844081633,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,3,0,27,-0.772161334554721,30,0.9,0.449999985,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,15,1,189,-0.765925647647541,205,0.921951219512195,0.463235291846886,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,1,0,14,-0.717346539832269,15,0.933333333333333,0.466666635555558,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,1,-0.500071134465751,2,0.5,0.249999875000062,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",25458,147,110,2,1.0783182966081,25717,0.990006610413345,0.504560282923449,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",287,6,0,0,1.45975955731054,293,0.979522184300341,0.49999999825784,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",109,0,0,0,1.27512519017165,109,1,0.499999995412844,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.884644773629619,1,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,2.51573652661812,59,1,0.499999991525424,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,-0.0276198085246181,2,1,0.499999750000125,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",86,0,1,0,0.839940078083874,87,0.988505747126437,0.494252867882151,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",25,0,0,0,0.596524066163993,25,1,0.499999980000001,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.364123257758505,5,1,0.49999990000002,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.717339354036704,1,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",84,9,1,0,0.930496892825018,94,0.893617021276596,0.494117641245675,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",51,3,0,0,1.49479102542733,54,0.944444444444444,0.499999990196079,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.449780735498168,2,1,0.499999750000125,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-1.00406893410429,28,0.571428571428571,0.499999968750002,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",1,0,8,11,-0.749669867196382,20,0.6,0.555555503928175,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",3,3,2,2,-0.0885251359940089,10,0.5,0.49999990000002,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",2,0,11,4,-0.722841326350852,17,0.352941176470588,0.576922946005949,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",1,0,0,1,-0.513209283677005,2,1,0.999999000001,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",2,0,3,2,-0.488337536683893,7,0.571428571428571,0.699999710000133,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
