"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.790372027468069,28,1,0.499999982142858,"AUCell","REACTOME",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,-0.308012250314587,142,1,0.499999996478873,"AUCell","REACTOME",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.699268844266661,35,1,0.499999985714286,"AUCell","REACTOME",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,-0.772161334554721,30,1,0.499999983333334,"AUCell","REACTOME",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.765925647647541,205,0.995121951219512,0.49999999754902,"AUCell","REACTOME",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.717346539832269,15,1,0.499999966666669,"AUCell","REACTOME",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,2,-0.500071134465751,2,1,0.499999750000125,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",21611,109,3957,40,1.0783182966081,25717,0.841894466695182,0.556846303397568,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",267,5,20,1,1.45975955731054,293,0.914675767918089,0.548490112248779,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","Doublet",100,0,9,0,1.27512519017165,109,0.917431192660551,0.458715592121875,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.884644773629619,1,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","Platelet",39,0,20,0,2.51573652661812,59,0.661016949152542,0.330508468974433,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,-0.0276198085246181,2,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",28,0,59,0,0.839940078083874,87,0.32183908045977,0.160919538380235,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",1,0,24,0,0.596524066163993,25,0.04,0.0199999992,"AUCell","REACTOME",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.364123257758505,5,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,0.717339354036704,1,1,0.4999995000005,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD14 Mono",57,6,28,3,0.930496892825018,94,0.638297872340426,0.501960761850572,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD16 Mono",43,3,8,0,1.49479102542733,54,0.796296296296296,0.421568619184929,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,0,2,-0.449780735498168,2,1,0.499999750000125,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,12,16,-1.00406893410429,28,0.571428571428571,0.499999968750002,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,9,11,-0.749669867196382,20,0.55,0.499999954545459,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,5,5,-0.0885251359940089,10,0.5,0.49999990000002,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,13,4,-0.722841326350852,17,0.235294117647059,0.499999875000031,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,1,-0.513209283677005,2,0.5,0.4999995000005,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,2,-0.488337536683893,7,0.285714285714286,0.499999750000125,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,22,14,-1.00356967614783,36,0.388888888888889,0.499999964285717,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,1,1,-0.416543828222015,2,0.5,0.4999995000005,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,2,0,-0.204158250575181,2,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-1.30706672343518,2,1,0.499999750000125,"AUCell","REACTOME",FALSE,"kmeans"
