"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.685349005272268,36,1,0.499999986111112,"AUCell","REACTOME",FALSE,"youden"
"B-cells","B intermediate lambda",0,15,0,151,-0.324763595392267,166,0.909638554216867,0.454819274368559,"AUCell","REACTOME",FALSE,"youden"
"B-cells","B memory kappa",0,1,1,43,-0.618401559094975,45,0.955555555555556,0.488636352530992,"AUCell","REACTOME",FALSE,"youden"
"B-cells","B memory lambda",0,0,0,34,-0.744747696757559,34,1,0.499999985294118,"AUCell","REACTOME",FALSE,"youden"
"B-cells","B naive kappa",0,0,1,247,-0.758539015560405,248,0.995967741935484,0.499999997975708,"AUCell","REACTOME",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.883736206887541,20,1,0.499999975000001,"AUCell","REACTOME",FALSE,"youden"
"B-cells","Plasma",0,0,0,1,-0.682858340296574,1,1,0.4999995000005,"AUCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",31100,161,2030,26,1.06511148189522,33317,0.93423777651049,0.538881831193124,"AUCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",483,6,3,0,1.43571177674985,492,0.981707317073171,0.496913579224458,"AUCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","Doublet",137,0,3,0,1.22364995259308,140,0.978571428571429,0.489285710790816,"AUCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","Eryth",6,0,5,0,0.428015247258051,11,0.545454545454545,0.272727247933887,"AUCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.812757806339481,1,0,0,"AUCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,3.56119466596205,62,1,0.499999991935484,"AUCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,3,0,0.0264593594084902,3,0,0,"AUCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","cDC2_1",155,0,10,0,0.967884291507424,165,0.939393939393939,0.469696966850321,"AUCell","REACTOME",FALSE,"youden"
