"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.685349005272268,36,1,0.499999986111112,"AUCell","REACTOME",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,0,0,166,-0.324763595392267,166,1,0.499999996987952,"AUCell","REACTOME",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.618401559094975,45,0.977777777777778,0.499999988636364,"AUCell","REACTOME",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.744747696757559,34,1,0.499999985294118,"AUCell","REACTOME",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.758539015560405,248,0.995967741935484,0.499999997975708,"AUCell","REACTOME",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.883736206887541,20,1,0.499999975000001,"AUCell","REACTOME",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.682858340296574,1,1,0.4999995000005,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",31560,165,1570,22,1.06511148189522,33317,0.947924482996668,0.535128992409114,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",483,6,3,0,1.43571177674985,492,0.981707317073171,0.496913579224458,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",138,0,2,0,1.22364995259308,140,0.985714285714286,0.492857139336735,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",7,0,4,0,0.428015247258051,11,0.636363636363636,0.318181789256201,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.812757806339481,1,0,0,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",19,0,43,0,3.56119466596205,62,0.306451612903226,0.153225803980229,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.0264593594084902,3,0,0,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",145,0,20,0,0.967884291507424,165,0.878787878787879,0.439393936730946,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",27,0,17,0,0.558253844774077,44,0.613636363636364,0.306818174845041,"AUCell","REACTOME",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",1,0,4,0,0.382557095654113,5,0.2,0.099999980000004,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,0.710996237899215,1,0,0,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",93,7,15,2,0.901765973127514,117,0.811965811965812,0.541666650334364,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",64,5,1,0,1.39409232670797,70,0.914285714285714,0.492307684733728,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.472700988772387,5,0.4,0.499999750000125,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-1.02186263911317,40,0.525,0.499999976190477,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.913870356229431,29,0.517241379310345,0.499999966666669,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,0.119693868471902,5,0.4,0.499999750000125,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.709165253139948,22,0.227272727272727,0.49999990000002,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.638092985844864,3,0.666666666666667,0.499999750000125,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.622321858365039,8,0.375,0.499999833333389,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-1.05552749373939,44,0.340909090909091,0.499999966666669,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.892296248624215,1,1,0.4999995000005,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-0.794105575317935,1,0,0,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-1.19825945248835,2,1,0.499999750000125,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.661341659511005,4,0.5,0.499999750000125,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.761153300513204,3,0.333333333333333,0.4999995000005,"AUCell","REACTOME",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.433140494977166,9,0.222222222222222,0.499999750000125,"AUCell","REACTOME",FALSE,"youden_dual"
