"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.738418651189194,28,1,0.499999982142858,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,2,0,140,-0.313211659696266,142,0.985915492957746,0.49295774300734,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.65318344949574,35,1,0.499999985714286,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.713526096309024,30,1,0.499999983333334,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.719184513603816,205,0.995121951219512,0.49999999754902,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.674151131073831,15,1,0.499999966666669,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,1,0,1,-0.22720007284698,2,0.5,0.249999875000062,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",25458,147,110,2,0.943988134947669,25717,0.990006610413345,0.504560282923449,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",285,6,2,0,1.38981681268317,293,0.972696245733788,0.496515677712489,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",109,0,0,0,1.19370740730742,109,1,0.499999995412844,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.825715888939847,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",23,0,36,0,4.45410187247569,59,0.389830508474576,0.19491525093364,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",1,0,1,0,-0.00486355232707522,2,0.5,0.249999875000062,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",82,0,5,0,0.729584758337159,87,0.942528735632184,0.47126436239926,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",21,0,4,0,0.496737444676591,25,0.84,0.419999983200001,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",2,0,3,0,0.418755706549099,5,0.4,0.199999960000008,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,1,0,0,0.650194080493458,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",81,9,4,0,0.818649115396218,94,0.861702127659574,0.476470582629758,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",51,3,0,0,1.55944301826553,54,0.944444444444444,0.499999990196079,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,0,2,-0.442794479719142,2,1,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,12,16,-0.93003805815002,28,0.571428571428571,0.499999968750002,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.706564353201543,20,0.55,0.499999954545459,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.120383540486935,10,0.5,0.49999990000002,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.683239163766208,17,0.235294117647059,0.499999875000031,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.491674803665282,2,0.5,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.464553119218678,7,0.285714285714286,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,22,14,-0.925549396268018,36,0.388888888888889,0.499999964285717,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,1,1,-0.41352757729371,2,0.5,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,2,0,-0.226510538496643,2,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-1.19768136348297,2,1,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.649297248490558,3,0.333333333333333,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.505874103620378,3,0.333333333333333,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,5,2,-0.471339012825173,7,0.285714285714286,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.685970260604799,2,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,2,-0.0215656065908035,4,0.5,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_5",1,0,0,0,-0.169125957563008,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"DCs","Doublet",13,0,2,1,2.03248060813651,16,0.875,0.933332804444946,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
