"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,7,0,21,-0.738418651189194,28,0.75,0.374999986607143,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,79,0,63,-0.313211659696266,142,0.443661971830986,0.221830984353303,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,8,0,27,-0.65318344949574,35,0.771428571428571,0.385714274693878,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,6,0,24,-0.713526096309024,30,0.8,0.399999986666667,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,22,1,182,-0.719184513603816,205,0.88780487804878,0.44607842918589,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,2,0,13,-0.674151131073831,15,0.866666666666667,0.433333304444446,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,1,-0.22720007284698,2,0.5,0.249999875000062,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",25520,147,48,2,0.943988134947669,25717,0.992417467045145,0.505772735989734,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",287,6,0,0,1.38981681268317,293,0.979522184300341,0.49999999825784,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",109,0,0,0,1.19370740730742,109,1,0.499999995412844,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.825715888939847,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,4.45410187247569,59,1,0.499999991525424,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,-0.00486355232707522,2,1,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",87,0,0,0,0.729584758337159,87,1,0.499999994252874,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",25,0,0,0,0.496737444676591,25,1,0.499999980000001,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.418755706549099,5,1,0.49999990000002,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.650194080493458,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",84,9,1,0,0.818649115396218,94,0.893617021276596,0.494117641245675,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",51,3,0,0,1.55944301826553,54,0.944444444444444,0.499999990196079,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.442794479719142,2,1,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",1,2,11,14,-0.93003805815002,28,0.535714285714286,0.479166635850696,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",2,0,7,11,-0.706564353201543,20,0.65,0.611111053310892,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",4,3,1,2,-0.120383540486935,10,0.6,0.599999880000024,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",2,0,11,4,-0.683239163766208,17,0.352941176470588,0.576922946005949,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",1,0,0,1,-0.491674803665282,2,1,0.999999000001,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",3,0,2,2,-0.464553119218678,7,0.714285714285714,0.799999690000137,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",1,1,21,13,-0.925549396268018,36,0.388888888888889,0.487012952816666,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",1,0,0,1,-0.41352757729371,2,1,0.999999000001,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",1,0,1,0,-0.226510538496643,2,0.5,0.249999875000062,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-1.19768136348297,2,1,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",1,0,1,1,-0.649297248490558,3,0.666666666666667,0.749999375000562,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",1,1,1,0,-0.505874103620378,3,0.333333333333333,0.249999875000062,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",1,1,4,1,-0.471339012825173,7,0.285714285714286,0.349999855000066,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.685970260604799,2,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,2,2,0,-0.0215656065908035,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",1,0,0,0,-0.169125957563008,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","Doublet",14,0,1,1,2.03248060813651,16,0.9375,0.966666135556058,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-0.975574687746509,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","MAIT",0,0,2,0,-1.05104039164455,2,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","NK Proliferating",1,0,0,0,0.491294720204594,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","NK_1",0,1,0,0,1.03817207494997,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","NK_3",1,0,0,0,-0.136794458024965,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,1,0,0,-0.191497516485066,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","Platelet",15,2,0,0,4.85015231515904,17,0.882352941176471,0.499999966666669,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-1.01587413977734,2,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.864521349878279,4,0.25,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","cDC2_1",8,0,0,0,0.807063145195217,8,1,0.499999937500008,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","cDC2_2",12,3,0,0,0.605788068331729,15,0.8,0.499999958333337,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-0.791085941567346,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","gdT_1",1,0,0,0,-0.0929707193146322,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","gdT_2",0,1,0,0,-0.139092905859423,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.69470436237574,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","pDC",2,0,0,0,0.269341274323766,2,1,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",0,5,0,0,1.48765653345658,5,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.14841796489775,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-1.266098494022,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",1,0,0,0,-0.223369326456217,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,2,0,0,0.564002286701283,2,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_4",0,3,0,2,0.0332906817249277,5,0.4,0.199999960000008,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_5",0,14,1,1,-0.0204738438694359,16,0.0625,0.0333333311111113,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK Proliferating",0,21,0,0,0.320217234722999,21,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_1",10,490,0,59,0.223045436413068,559,0.123434704830054,0.553734011832912,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_2",4,190,0,21,0.273035539238467,215,0.116279069767442,0.549762907939543,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_3",0,28,1,8,0.0411799486161755,37,0.216216216216216,0.111111108024691,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_4",0,16,0,1,0.104245118402784,17,0.0588235294117647,0.0294117629757786,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_CD56bright",0,1,0,0,-0.0560423241076735,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early-NK-cells","gdT_2",0,1,0,0,0.190810973313117,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD14 Mono",477,14,6,0,0.959592598563118,497,0.959758551307847,0.493788818853439,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD16 Mono",1538,23,0,0,1.62806677297711,1561,0.985265855221012,0.499999999674902,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate-Monocytes","Doublet",109,0,0,0,2.47038482573722,109,1,0.499999995412844,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate-Monocytes","Platelet",3,0,0,0,3.82021333377795,3,1,0.499999833333389,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","ASDC_mDC",0,7,0,0,0.700256463325891,7,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","ASDC_pDC",0,3,0,0,0.373103424894909,3,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","B intermediate kappa",0,2,0,2,-0.424636741826923,4,0.5,0.249999937500016,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","B intermediate lambda",0,1,0,0,-0.197013791287765,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","B memory kappa",0,2,0,1,-0.344012299455991,3,0.333333333333333,0.16666661111113,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.920411939719517,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","B naive kappa",0,0,0,1,-1.29858322341567,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD14 Mono",2,4,0,0,1.11082856482812,6,0.333333333333333,0.499999750000125,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD16 Mono",572,696,0,0,1.74414733624036,1268,0.451104100946372,0.499999999125874,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD4 CTL",0,1,0,0,-0.29308891076811,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD4 Naive",0,7,0,71,-0.916005599127474,78,0.91025641025641,0.455128199293228,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.832611232443221,5,1,0.49999990000002,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-1.07195626693811,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Naive",0,23,1,218,-0.808716872683181,242,0.900826446280992,0.452282155799659,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Naive_2",0,2,0,1,-0.375884109427142,3,0.333333333333333,0.16666661111113,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Proliferating",0,2,0,0,0.394989755940803,2,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.611531196739486,5,1,0.49999990000002,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TCM_2",0,2,0,7,-0.584089432150009,9,0.777777777777778,0.388888845679017,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_1",0,17,0,17,-0.381020314097738,34,0.5,0.249999992647059,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_2",0,50,0,15,0.00492194199173014,65,0.230769230769231,0.115384613609467,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_3",0,6,0,2,-0.164912136533168,8,0.25,0.124999984375002,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_4",1,25,0,7,-0.00264404108491171,33,0.242424242424242,0.609374496582531,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_5",1,34,1,13,-0.0650609956104993,49,0.285714285714286,0.38829774439798,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_6",0,27,0,38,-0.420312123824551,65,0.584615384615385,0.292307687810651,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","Doublet",16,0,0,0,2.48247838665948,16,1,0.499999968750002,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","HSPC",0,6,1,19,-0.62265686294946,26,0.730769230769231,0.379999984800001,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","ILC",0,36,1,39,-0.365020247075091,76,0.513157894736842,0.259999996533333,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","MAIT",1,2,0,8,-0.464372029389296,11,0.818181818181818,0.899999460000504,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","NK Proliferating",6,321,0,22,0.270001392054254,349,0.0802292263610315,0.532069887418663,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","NK_1",18,1644,1,218,0.188174865855273,1881,0.125465178096757,0.532223390719877,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","NK_2",71,6164,3,470,0.301486764512613,6708,0.0806499701848539,0.515153298761604,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","NK_3",6,1470,0,181,0.178934133676393,1657,0.112854556427278,0.55481518011016,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","NK_4",9,1009,2,128,0.157390313825645,1148,0.119337979094077,0.465379350303391,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","NK_CD56bright",6,473,1,125,-0.0364544831083184,605,0.216528925619835,0.533086417339397,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Late-NK-cells","Plasma",0,1,0,0,-0.206360812481227,1,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
