"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.662949458621276,36,1,0.499999986111112,"AUCell","REACTOME",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.333966505287999,166,1,0.499999996987952,"AUCell","REACTOME",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.595391756457632,45,0.977777777777778,0.499999988636364,"AUCell","REACTOME",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.69655966624066,34,1,0.499999985294118,"AUCell","REACTOME",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.73273522732586,248,0.995967741935484,0.499999997975708,"AUCell","REACTOME",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.84394998443103,20,1,0.499999975000001,"AUCell","REACTOME",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.666601952159044,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",2,0,33128,187,0.972507422304682,33317,0.0056727796620344,0.500030181449354,"AUCell","REACTOME",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,486,6,1.44718640430431,492,0.0121951219512195,0.499999916666681,"AUCell","REACTOME",TRUE,"kmeans"
"Classical-Monocytes","Doublet",1,0,139,0,1.20136074344365,140,0.00714285714285714,0.00357142854591837,"AUCell","REACTOME",TRUE,"kmeans"
"Classical-Monocytes","Eryth",0,0,11,0,0.464915398325841,11,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.781897207729915,1,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Classical-Monocytes","Platelet",54,0,8,0,5.81176415230301,62,0.870967741935484,0.435483863943809,"AUCell","REACTOME",TRUE,"kmeans"
