"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.738418651189194,28,1,0.499999982142858,"AUCell","REACTOME",TRUE,"youden"
"B-cells","B intermediate lambda",0,12,0,130,-0.313211659696266,142,0.915492957746479,0.457746475649673,"AUCell","REACTOME",TRUE,"youden"
"B-cells","B memory kappa",0,1,0,34,-0.65318344949574,35,0.971428571428571,0.485714271836735,"AUCell","REACTOME",TRUE,"youden"
"B-cells","B memory lambda",0,0,0,30,-0.713526096309024,30,1,0.499999983333334,"AUCell","REACTOME",TRUE,"youden"
"B-cells","B naive kappa",0,0,1,204,-0.719184513603816,205,0.995121951219512,0.49999999754902,"AUCell","REACTOME",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.674151131073831,15,1,0.499999966666669,"AUCell","REACTOME",TRUE,"youden"
"B-cells","Plasma",0,1,0,1,-0.22720007284698,2,0.5,0.249999875000062,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",23884,128,1684,21,0.943988134947669,25717,0.929540770696426,0.537538008429327,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",287,6,0,0,1.38981681268317,293,0.979522184300341,0.49999999825784,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","Doublet",107,0,2,0,1.19370740730742,109,0.981651376146789,0.490825683570407,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.825715888939847,1,0,0,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,4.45410187247569,59,1,0.499999991525424,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,-0.00486355232707522,2,0,0,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC2_1",74,0,13,0,0.729584758337159,87,0.850574712643678,0.425287351433479,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC2_2",18,0,7,0,0.496737444676591,25,0.72,0.359999985600001,"AUCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","pDC",3,0,2,0,0.418755706549099,5,0.6,0.299999940000012,"AUCell","REACTOME",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.650194080493458,1,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD14 Mono",71,9,14,0,0.818649115396218,94,0.75531914893617,0.417647053910035,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD16 Mono",51,3,0,0,1.55944301826553,54,0.944444444444444,0.499999990196079,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.442794479719142,2,1,0.499999750000125,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD4 Naive",0,0,12,16,-0.93003805815002,28,0.571428571428571,0.499999968750002,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_1",0,0,9,11,-0.706564353201543,20,0.55,0.499999954545459,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_2",1,1,4,4,-0.120383540486935,10,0.5,0.49999990000002,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_3",0,0,13,4,-0.683239163766208,17,0.235294117647059,0.499999875000031,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.491674803665282,2,0.5,0.4999995000005,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD4 TEM_3",0,0,5,2,-0.464553119218678,7,0.285714285714286,0.499999750000125,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 Naive",0,0,22,14,-0.925549396268018,36,0.388888888888889,0.499999964285717,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,-0.41352757729371,2,0.5,0.4999995000005,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 Proliferating",0,0,2,0,-0.226510538496643,2,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-1.19768136348297,2,1,0.499999750000125,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.649297248490558,3,0.333333333333333,0.4999995000005,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.505874103620378,3,0.333333333333333,0.4999995000005,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_1",0,0,5,2,-0.471339012825173,7,0.285714285714286,0.499999750000125,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.685970260604799,2,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_4",0,2,2,0,-0.0215656065908035,4,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,-0.169125957563008,1,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","Doublet",13,0,2,1,2.03248060813651,16,0.875,0.933332804444946,"AUCell","REACTOME",TRUE,"youden"
"DCs","HSPC",0,0,1,0,-0.975574687746509,1,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","MAIT",0,0,2,0,-1.05104039164455,2,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","NK Proliferating",1,0,0,0,0.491294720204594,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"youden"
"DCs","NK_1",0,1,0,0,1.03817207494997,1,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","NK_3",0,0,1,0,-0.136794458024965,1,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.191497516485066,1,1,0.4999995000005,"AUCell","REACTOME",TRUE,"youden"
"DCs","Platelet",15,2,0,0,4.85015231515904,17,0.882352941176471,0.499999966666669,"AUCell","REACTOME",TRUE,"youden"
"DCs","Treg Memory",0,0,2,0,-1.01587413977734,2,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.864521349878279,4,0.25,0.4999995000005,"AUCell","REACTOME",TRUE,"youden"
"DCs","cDC2_1",8,0,0,0,0.807063145195217,8,1,0.499999937500008,"AUCell","REACTOME",TRUE,"youden"
"DCs","cDC2_2",12,1,0,2,0.605788068331729,15,0.933333333333333,0.833333180555596,"AUCell","REACTOME",TRUE,"youden"
"DCs","dnT_2",0,0,1,0,-0.791085941567346,1,0,0,"AUCell","REACTOME",TRUE,"youden"
"DCs","gdT_1",0,0,1,0,-0.0929707193146322,1,0,0,"AUCell","REACTOME",TRUE,"youden"
