"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.878957478455941,36,1,0.499999986111112,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,166,-0.484706069948651,166,1,0.499999996987952,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.729029536566946,45,0.977777777777778,0.499999988636364,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.910642912554074,34,1,0.499999985294118,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.924780914054484,248,0.995967741935484,0.499999997975708,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.959107774708482,20,1,0.499999975000001,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-1.11750274083996,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",32521,183,609,4,1.02389347826269,33317,0.976228351892427,0.50150412159422,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",484,6,2,0,1.23752840029569,492,0.983739837398374,0.497942385806703,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",139,0,1,0,1.18074655026191,140,0.992857142857143,0.496428567882653,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",7,0,4,0,-0.182837331366383,11,0.636363636363636,0.318181789256201,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-1.0396509161028,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",31,0,31,0,4.67505149734501,62,0.5,0.249999995967742,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,-0.228984946815773,3,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",111,0,54,0,0.766447600521363,165,0.672727272727273,0.336363634325069,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",7,0,37,0,0.425048354655258,44,0.159090909090909,0.0795454527376034,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.368839436570888,5,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,0.603627609476489,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",98,8,10,1,0.906425323297277,117,0.846153846153846,0.50925924888546,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",63,5,2,0,1.38934832147027,70,0.9,0.484615377159763,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.377155397887927,5,0.4,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-1.11853316600422,40,0.525,0.499999976190477,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.845182212536999,29,0.517241379310345,0.499999966666669,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,3,2,-0.0560348013104923,5,0.4,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,17,5,-0.709747472762104,22,0.227272727272727,0.49999990000002,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,2,-0.62815419563163,3,0.666666666666667,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,3,-0.715048594029398,8,0.375,0.499999833333389,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,15,-1.09114437269485,44,0.340909090909091,0.499999966666669,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,0,1,-1.00411426819337,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,1,0,-0.384395210030394,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-1.2574539097045,2,1,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,2,-0.765910749209273,4,0.5,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.737770969188239,3,0.333333333333333,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,7,2,-0.354199029213614,9,0.222222222222222,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.511673750040946,2,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,5,0.166720404798051,7,0.714285714285714,0.49999990000002,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,0.321708308753593,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","Doublet",14,0,2,1,1.68049005642874,17,0.882352941176471,0.937499472656752,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,-0.622118258629308,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","MAIT",0,0,3,0,-0.835117771519715,3,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,0.634076257345392,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","NK_1",0,0,0,1,0.885419222907082,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","NK_2",0,0,1,0,0.517861718102139,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","NK_CD56bright",0,0,0,1,0.10882082323973,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","Platelet",4,1,16,1,4.21276581887313,22,0.227272727272727,0.349999870000063,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","Treg Memory",0,0,2,0,-1.23621799368067,2,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","Treg Naive",0,0,3,1,-0.922782521880793,4,0.25,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","cDC2_1",6,0,10,0,0.5202424092284,16,0.375,0.187499988281251,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","cDC2_2",9,5,29,8,0.457421403888944,51,0.333333333333333,0.426113333538906,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","gdT_1",0,0,1,0,-0.100105713032502,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","gdT_2",0,1,0,1,-0.264756889097482,2,0.5,0.249999875000062,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","gdT_3",0,0,0,1,-1.00159695756886,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","gdT_4",0,0,1,0,0.80261174959196,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"DCs","pDC",0,0,3,0,0.550047661526833,3,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD16 Mono",1,5,0,0,1.30372267676586,6,0.166666666666667,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.1897273420956,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-1.20016839354728,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.418523709192197,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,0.697973545033483,2,1,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,0.0144337231599527,5,1,0.49999990000002,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_5",0,1,1,15,0.153291177545855,17,0.882352941176471,0.468749970703127,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK Proliferating",0,2,0,28,0.443418126829753,30,0.933333333333333,0.466666651111112,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_1",4,181,8,539,0.33413549669809,732,0.741803278688525,0.540972207813466,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_2",1,122,3,162,0.458682404403834,288,0.565972222222222,0.410211235351377,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_3",0,4,1,35,0.152985710415248,40,0.875,0.448717937212361,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_4",0,1,0,18,0.156797590138882,19,0.947368421052632,0.473684185595569,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.339618263633094,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","cDC2_2",0,0,0,1,0.419509661432251,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","gdT_2",0,0,0,1,0.538708295300706,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early-NK-cells","pDC",0,0,0,1,0.574238445454916,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Intermediate-Monocytes","CD14 Mono",605,16,8,0,1.0627235448778,629,0.961844197138315,0.493474713713744,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Intermediate-Monocytes","CD16 Mono",2090,33,17,0,1.37193603531838,2140,0.976635514018692,0.495965827956352,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Intermediate-Monocytes","Doublet",130,0,0,0,2.11790094106998,130,1,0.499999996153846,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Intermediate-Monocytes","Platelet",3,0,1,0,3.48739115782766,4,0.75,0.374999906250023,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","ASDC_mDC",0,0,0,17,0.723766659308501,17,1,0.499999970588237,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","ASDC_pDC",0,0,3,7,0.413550091489948,10,0.7,0.499999928571439,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.593203825082074,4,1,0.499999875000031,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","B intermediate lambda",0,0,0,2,-0.427118026579115,2,1,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.583429928921917,3,1,0.499999833333389,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","B memory lambda",0,0,0,1,-1.02706688617362,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","B naive kappa",0,0,0,1,-1.50410061678884,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD14 Mono",1,3,1,1,0.917185415544245,6,0.333333333333333,0.37499984375007,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD16 Mono",614,711,21,34,1.29302510516139,1380,0.469565217391304,0.506283358083452,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 CTL",0,0,0,2,-0.645183388617274,2,1,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 Naive",0,0,0,84,-1.06265217411089,84,1,0.499999994047619,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 Proliferating",0,0,0,1,-0.0665043403586476,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.953550743044908,5,1,0.49999990000002,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-1.19653163996123,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 Naive",0,0,1,258,-0.926770614212952,259,0.996138996138996,0.499999998062016,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 Naive_2",0,0,1,2,-0.336694075419897,3,0.666666666666667,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,0.553742985929624,2,1,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.790495734777201,5,1,0.49999990000002,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.674932036419402,9,1,0.499999944444451,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_1",0,0,0,37,-0.27556410815718,37,1,0.499999986486487,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_2",0,6,0,68,0.127881493164413,74,0.918918918918919,0.459459453250548,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_3",0,0,0,9,-0.200601729537835,9,1,0.499999944444451,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_4",0,6,1,33,0.201648523788693,40,0.825,0.423076912228797,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_5",0,4,2,46,0.0628942845987399,52,0.884615384615385,0.4599999908,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_6",0,0,0,81,-0.423361700852238,81,1,0.499999993827161,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","Doublet",17,0,0,0,1.93014098897741,17,1,0.499999970588237,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","HSPC",0,0,1,30,-0.855195950996751,31,0.967741935483871,0.499999983333334,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","ILC",0,0,1,89,-0.352860322355791,90,0.988888888888889,0.499999994382023,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","MAIT",0,0,1,11,-0.634756734941501,12,0.916666666666667,0.499999954545459,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","NK Proliferating",0,33,7,360,0.401802847397862,400,0.9,0.458015266010139,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","NK_1",5,707,19,1980,0.351097910938493,2711,0.732202139431944,0.472607302308361,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","NK_2",27,3202,60,5386,0.487106106417597,8675,0.623976945244957,0.468749496276679,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","NK_3",0,390,8,1506,0.276573829413692,1904,0.790966386554622,0.397151898524709,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","NK_4",2,167,9,1103,0.229378577174532,1281,0.862607338017174,0.525161050806635,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","NK_CD56bright",0,9,8,637,-0.0836704752357461,654,0.974006116207951,0.493034054964344,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","Platelet",3,0,5,2,1.59735926769684,10,0.5,0.687499726562628,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","Treg Memory",0,0,0,4,-0.92846584842564,4,1,0.499999875000031,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","Treg Naive",0,0,0,11,-1.09734643745087,11,1,0.499999954545459,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","cDC1",0,0,7,2,0.096475910903154,9,0.222222222222222,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","cDC2_1",1,0,2,1,0.665380623844018,4,0.5,0.66666611111163,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","cDC2_2",6,13,45,100,0.274828419292922,164,0.646341463414634,0.501301400448824,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","dnT_1",0,0,0,5,-0.499477830596697,5,1,0.49999990000002,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","dnT_2",0,0,0,5,-0.163126906493315,5,1,0.49999990000002,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","gdT_1",0,0,0,1,0.857837994723463,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","gdT_2",0,0,0,9,-0.167816042765601,9,1,0.499999944444451,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","gdT_3",0,1,0,81,-0.809436984335077,82,0.98780487804878,0.49390243300119,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","gdT_4",0,0,0,11,0.444398312950451,11,1,0.499999954545459,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Late-NK-cells","pDC",3,1,347,190,0.201122419619241,541,0.356746765249538,0.501667910622254,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","ASDC_mDC",0,0,3,1,0.872864704873628,4,0.25,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","CD14 Mono",234,0,72,1,0.86427813547811,307,0.765472312703583,0.882352439927451,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","CD16 Mono",71,5,0,1,1.25904494170993,77,0.935064935064935,0.583333312402193,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","CD4 TEM_1",0,0,1,0,-0.447407363824963,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","Doublet",3,0,0,0,2.14280076131751,3,1,0.499999833333389,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","HSPC",0,0,28,0,-0.874269466106235,28,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","NK Proliferating",0,0,2,0,0.285497193570774,2,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","NK_1",0,0,1,0,-0.79479794060351,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","NK_2",1,0,2,0,0.603721335135047,3,0.333333333333333,0.16666661111113,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","NK_4",0,0,2,0,0.275806678814792,2,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","NK_CD56bright",0,0,4,0,0.0213599478904165,4,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","Platelet",4,0,10,0,5.48773825282245,14,0.285714285714286,0.142857132653062,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","cDC1",0,0,15,0,0.0354984658622196,15,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","cDC2_1",164,0,169,0,0.626900165211745,333,0.492492492492492,0.246246245506768,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","cDC2_2",210,0,979,1,0.380348757889196,1190,0.177310924369748,0.588309003710921,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes","pDC",0,0,2,0,0.647365941128125,2,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"NK-cells","NK_1",0,1,0,0,1.02364603139867,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","B intermediate kappa",0,0,0,371,-0.886777439495601,371,1,0.499999998652291,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","B intermediate lambda",0,2,0,532,-0.764590026885738,534,0.99625468164794,0.498127339891147,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","B memory kappa",0,0,0,398,-0.884374545563038,398,1,0.499999998743719,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","B memory lambda",0,0,0,254,-0.923669642577302,254,1,0.499999998031496,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","B naive kappa",0,3,0,4244,-0.981231024595562,4247,0.999293619025194,0.49964680939495,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","B naive lambda",0,0,0,2733,-0.937902810996102,2733,1,0.499999999817051,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","CD14 Mono",0,3,0,0,0.903622175050557,3,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","CD16 Mono",0,1,0,0,0.713229659792329,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","Doublet",0,1,0,0,3.17680596520856,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Naive-B-cells","NK Proliferating",0,0,0,1,0.356109699160294,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
