"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,5,0,31,-0.878957478455941,36,0.861111111111111,0.430555543595679,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,76,0,90,-0.484706069948651,166,0.542168674698795,0.271084335716359,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",1,13,0,31,-0.729029536566946,45,0.711111111111111,0.852272219267029,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,4,0,30,-0.910642912554074,34,0.882352941176471,0.441176457612457,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,10,1,237,-0.924780914054484,248,0.955645161290323,0.479757083077907,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.959107774708482,20,1,0.499999975000001,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,-1.11750274083996,1,1,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",33116,186,14,1,1.02389347826269,33317,0.993997058558694,0.502462507900001,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",486,6,0,0,1.23752840029569,492,0.98780487804878,0.499999998971193,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",140,0,0,0,1.18074655026191,140,1,0.499999996428571,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",7,0,4,0,-0.182837331366383,11,0.636363636363636,0.318181789256201,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-1.0396509161028,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",62,0,0,0,4.67505149734501,62,1,0.499999991935484,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",2,0,1,0,-0.228984946815773,3,0.666666666666667,0.333333222222259,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",165,0,0,0,0.766447600521363,165,1,0.499999996969697,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",44,0,0,0,0.425048354655258,44,1,0.499999988636364,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.368839436570888,5,1,0.49999990000002,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.603627609476489,1,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",108,9,0,0,0.906425323297277,117,0.923076923076923,0.49999999537037,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",65,5,0,0,1.38934832147027,70,0.928571428571429,0.499999992307692,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",2,1,1,1,-0.377155397887927,5,0.6,0.583333097222322,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",1,0,18,21,-1.11853316600422,40,0.55,0.52631576427912,"AddModuleScore","REACTOME",FALSE,"gmm_dist_platelet"
