"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.891034777174079,28,1,0.499999982142858,"AddModuleScore","REACTOME",FALSE,"youden"
"B-cells","B intermediate lambda",0,1,0,141,-0.486308474230954,142,0.992957746478873,0.496478869743107,"AddModuleScore","REACTOME",FALSE,"youden"
"B-cells","B memory kappa",0,0,0,35,-0.806840485520466,35,1,0.499999985714286,"AddModuleScore","REACTOME",FALSE,"youden"
"B-cells","B memory lambda",0,0,0,30,-0.909468607739125,30,1,0.499999983333334,"AddModuleScore","REACTOME",FALSE,"youden"
"B-cells","B naive kappa",0,0,1,204,-0.926361850789641,205,0.995121951219512,0.49999999754902,"AddModuleScore","REACTOME",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.906473123446305,15,1,0.499999966666669,"AddModuleScore","REACTOME",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-0.323760036782006,2,0.5,0.249999875000062,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",24395,136,1173,13,1.04523491512816,25717,0.949099817241513,0.520685330975153,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",283,6,4,0,1.24321156727501,293,0.965870307167236,0.493031357167138,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","Doublet",107,0,2,0,1.2333435947733,109,0.981651376146789,0.490825683570407,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.930102283718353,1,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,3.28876877791864,59,1,0.499999991525424,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,-0.0634417563457946,2,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","cDC2_1",67,0,20,0,0.655033629810456,87,0.770114942528736,0.38505746683842,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","cDC2_2",15,0,10,0,0.455455481409039,25,0.6,0.299999988,"AddModuleScore","REACTOME",FALSE,"youden"
"Classical-Monocytes","pDC",2,0,3,0,0.381262849159891,5,0.4,0.199999960000008,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.686624339044997,1,0,0,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD14 Mono",76,9,9,0,0.94065105747274,94,0.808510638297872,0.447058818269896,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD16 Mono",51,3,0,0,1.41847328134798,54,0.944444444444444,0.499999990196079,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.680408121717434,2,1,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD4 Naive",0,0,12,16,-1.03590733038166,28,0.571428571428571,0.499999968750002,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD4 TCM_1",0,0,9,11,-0.768765871106132,20,0.55,0.499999954545459,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD4 TCM_2",0,1,5,4,-0.240166459247915,10,0.4,0.399999920000016,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD4 TCM_3",0,0,13,4,-0.712744124698429,17,0.235294117647059,0.499999875000031,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.468999902848266,2,0.5,0.4999995000005,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD4 TEM_3",0,0,5,2,-0.690486506145971,7,0.285714285714286,0.499999750000125,"AddModuleScore","REACTOME",FALSE,"youden"
"DCs","CD8 Naive",0,0,22,14,-1.04234142030189,36,0.388888888888889,0.499999964285717,"AddModuleScore","REACTOME",FALSE,"youden"
