"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.804450679126849,28,1,0.499999982142858,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,142,-0.475824105056417,142,1,0.499999996478873,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.719755785059739,35,1,0.499999985714286,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.808772027520514,30,1,0.499999983333334,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.845050891309417,205,0.995121951219512,0.49999999754902,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.808206887155647,15,1,0.499999966666669,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,2,-0.182075788013627,2,1,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",0,0,25568,149,0.87971764961685,25717,0.00579383287319672,0.499999996644295,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",0,0,287,6,1.07490657242628,293,0.0204778156996587,0.499999916666681,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",0,0,109,0,1.13160659800883,109,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.78257731724737,1,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",42,0,17,0,5.48550084981775,59,0.711864406779661,0.355932197357081,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,-0.0181136849538506,2,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",0,0,87,0,0.53978136654381,87,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",0,0,25,0,0.35555701949063,25,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",0,0,5,0,0.462682018804138,5,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,0.517801290989526,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",0,0,85,9,0.793231088407623,94,0.0957446808510638,0.499999944444451,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",0,0,51,3,1.38026111304766,54,0.0555555555555556,0.499999833333389,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.627102348522222,2,1,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.899476341199258,28,0.571428571428571,0.499999968750002,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.691958652435833,20,0.55,0.499999954545459,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.283682992736315,10,0.5,0.49999990000002,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.657973133618143,17,0.235294117647059,0.499999875000031,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.423546409444488,2,0.5,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.608788554677615,7,0.285714285714286,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.906050161570032,36,0.388888888888889,0.499999964285717,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.461627995963883,2,0.5,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,-0.228179726601947,2,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.973921822996913,2,1,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.786750239079574,3,0.333333333333333,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.563814203898255,3,0.333333333333333,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.342261279658648,7,0.285714285714286,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.38115197896269,2,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,2,0.182694111108561,4,0.5,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,0.231547572858172,1,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","Doublet",2,0,13,1,1.92026189736994,16,0.1875,0.566666162222723,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-0.341252364442537,1,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","MAIT",0,0,2,0,-0.864865700790129,2,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,0.462053408960006,1,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,0.635649235213955,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","NK_3",0,0,1,0,-0.0138928244815418,1,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,0.24153216171643,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","Platelet",12,2,3,0,5.94754752305565,17,0.705882352941177,0.399999973333335,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.984157566006451,2,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.712607246503067,4,0.25,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","cDC2_1",0,0,8,0,0.578682212883905,8,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","cDC2_2",0,0,12,3,0.394485668518365,15,0.2,0.499999833333389,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-0.519310245067551,1,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,-0.114505904410246,1,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,1,-0.0148847055332394,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.813089981733636,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
