"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.804450679126849,28,1,0.499999982142858,"AddModuleScore","REACTOME",TRUE,"youden"
"B-cells","B intermediate lambda",0,1,0,141,-0.475824105056417,142,0.992957746478873,0.496478869743107,"AddModuleScore","REACTOME",TRUE,"youden"
"B-cells","B memory kappa",0,0,0,35,-0.719755785059739,35,1,0.499999985714286,"AddModuleScore","REACTOME",TRUE,"youden"
"B-cells","B memory lambda",0,0,0,30,-0.808772027520514,30,1,0.499999983333334,"AddModuleScore","REACTOME",TRUE,"youden"
"B-cells","B naive kappa",0,0,1,204,-0.845050891309417,205,0.995121951219512,0.49999999754902,"AddModuleScore","REACTOME",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.808206887155647,15,1,0.499999966666669,"AddModuleScore","REACTOME",TRUE,"youden"
"B-cells","Plasma",0,1,0,1,-0.182075788013627,2,0.5,0.249999875000062,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",24580,140,988,9,0.87971764961685,25717,0.956137963214994,0.510880315777532,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",284,6,3,0,1.07490657242628,293,0.969283276450512,0.494773517439814,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","Doublet",108,0,1,0,1.13160659800883,109,0.990825688073395,0.495412839491625,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.78257731724737,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,5.48550084981775,59,1,0.499999991525424,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,-0.0181136849538506,2,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC2_1",70,0,17,0,0.53978136654381,87,0.804597701149425,0.402298845950588,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC2_2",14,0,11,0,0.35555701949063,25,0.56,0.2799999888,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical-Monocytes","pDC",4,0,1,0,0.462682018804138,5,0.8,0.399999920000016,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.517801290989526,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD14 Mono",80,9,5,0,0.793231088407623,94,0.851063829787234,0.470588229757786,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD16 Mono",51,3,0,0,1.38026111304766,54,0.944444444444444,0.499999990196079,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.627102348522222,2,1,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD4 Naive",0,0,12,16,-0.899476341199258,28,0.571428571428571,0.499999968750002,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_1",0,0,9,11,-0.691958652435833,20,0.55,0.499999954545459,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_2",0,0,5,5,-0.283682992736315,10,0.5,0.49999990000002,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_3",0,0,13,4,-0.657973133618143,17,0.235294117647059,0.499999875000031,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.423546409444488,2,0.5,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD4 TEM_3",0,0,5,2,-0.608788554677615,7,0.285714285714286,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 Naive",0,0,22,14,-0.906050161570032,36,0.388888888888889,0.499999964285717,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,-0.461627995963883,2,0.5,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 Proliferating",0,0,2,0,-0.228179726601947,2,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.973921822996913,2,1,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.786750239079574,3,0.333333333333333,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.563814203898255,3,0.333333333333333,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_1",0,0,5,2,-0.342261279658648,7,0.285714285714286,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.38115197896269,2,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_4",0,2,2,0,0.182694111108561,4,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,0.231547572858172,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","Doublet",13,0,2,1,1.92026189736994,16,0.875,0.933332804444946,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","HSPC",0,0,1,0,-0.341252364442537,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","MAIT",0,0,2,0,-0.864865700790129,2,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","NK Proliferating",1,0,0,0,0.462053408960006,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","NK_1",0,1,0,0,0.635649235213955,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","NK_3",0,0,1,0,-0.0138928244815418,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","NK_CD56bright",0,0,0,1,0.24153216171643,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","Platelet",15,2,0,0,5.94754752305565,17,0.882352941176471,0.499999966666669,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.984157566006451,2,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.712607246503067,4,0.25,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","cDC2_1",7,0,1,0,0.578682212883905,8,0.875,0.437499945312507,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","cDC2_2",10,0,2,3,0.394485668518365,15,0.866666666666667,0.916666465277836,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","dnT_2",0,0,1,0,-0.519310245067551,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","gdT_1",0,0,1,0,-0.114505904410246,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","gdT_2",0,0,0,1,-0.0148847055332394,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","gdT_3",0,0,0,1,-0.813089981733636,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"DCs","pDC",1,0,1,0,0.403553487868436,2,0.5,0.249999875000062,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","CD16 Mono",0,5,0,0,1.37228595096453,5,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.933436776507744,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.977910597016439,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.265075890105071,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","CD8 TEM_2",0,2,0,0,0.496381609317654,2,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","CD8 TEM_4",0,1,0,4,0.0105564241210361,5,0.8,0.399999920000016,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","CD8 TEM_5",0,3,1,12,0.0763098967255659,16,0.75,0.399999973333335,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","NK Proliferating",0,10,0,11,0.339245767867681,21,0.523809523809524,0.261904749433107,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","NK_1",5,248,5,301,0.25893669113205,559,0.547406082289803,0.524134765028901,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","NK_2",1,116,3,95,0.351327861585616,215,0.446511627906977,0.350118451095418,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","NK_3",0,10,1,26,0.079741322512495,37,0.702702702702703,0.361111101080247,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","NK_4",0,5,0,12,0.0916917490289031,17,0.705882352941177,0.352941155709344,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.357569367250362,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Early-NK-cells","gdT_2",0,1,0,0,0.338734081900953,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Intermediate-Monocytes","CD14 Mono",459,14,24,0,0.929603363172466,497,0.92354124748491,0.475155278519347,"AddModuleScore","REACTOME",TRUE,"youden"
"Intermediate-Monocytes","CD16 Mono",1531,22,7,1,1.30470619259063,1561,0.981422165278668,0.519463446461174,"AddModuleScore","REACTOME",TRUE,"youden"
"Intermediate-Monocytes","Doublet",109,0,0,0,2.41453649290439,109,1,0.499999995412844,"AddModuleScore","REACTOME",TRUE,"youden"
"Intermediate-Monocytes","Platelet",2,0,1,0,4.69172614722061,3,0.666666666666667,0.333333222222259,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","ASDC_mDC",0,7,0,0,0.537501276675785,7,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","ASDC_pDC",0,1,0,2,0.104877606173529,3,0.666666666666667,0.333333222222259,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.520466577734138,4,1,0.499999875000031,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.263885108647688,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.399146553465158,3,1,0.499999833333389,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.832514938183935,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","B naive kappa",0,0,0,1,-1.25858017395401,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD14 Mono",2,4,0,0,0.990206429399504,6,0.333333333333333,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD16 Mono",572,695,0,1,1.36534099787735,1268,0.451892744479495,0.50071838992944,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD4 CTL",0,0,0,1,-0.570200229340954,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD4 Naive",0,0,0,78,-0.873283623562899,78,1,0.499999993589744,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.838690930589962,5,1,0.49999990000002,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.841503436323102,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 Naive",0,0,1,241,-0.799394660260706,242,0.995867768595041,0.499999997925311,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.388380797523831,3,1,0.499999833333389,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 Proliferating",0,2,0,0,0.419882559749381,2,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.630611450846618,5,1,0.49999990000002,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.587482139243343,9,1,0.499999944444451,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 TEM_1",0,2,0,32,-0.275120969584232,34,0.941176470588235,0.470588221453288,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 TEM_2",0,17,0,48,0.0785057852423142,65,0.738461538461539,0.369230763550296,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,-0.192987665986371,8,1,0.499999937500008,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 TEM_4",0,14,1,18,0.187250263916556,33,0.545454545454545,0.281249991210938,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 TEM_5",0,11,2,36,0.0468157481805617,49,0.73469387755102,0.382978715255772,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","CD8 TEM_6",0,1,0,64,-0.363122738966676,65,0.984615384615385,0.492307684733728,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","Doublet",16,0,0,0,2.41523016835812,16,1,0.499999968750002,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","HSPC",0,0,1,25,-0.58107335599109,26,0.961538461538462,0.499999980000001,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","ILC",0,1,1,74,-0.311741136733716,76,0.973684210526316,0.493333326755556,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","MAIT",0,0,1,10,-0.53705561688993,11,0.909090909090909,0.499999950000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","NK Proliferating",3,150,3,193,0.266259281549358,349,0.561604584527221,0.531341065384824,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","NK_1",12,860,7,1002,0.264422892073767,1881,0.539074960127592,0.584854977864429,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","NK_2",47,3985,27,2649,0.390230868019035,6708,0.40190816935003,0.51722086442178,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","NK_3",0,666,6,985,0.218743846576151,1657,0.594447797223899,0.298304057965897,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","NK_4",6,382,5,755,0.173793863812519,1148,0.662891986062718,0.604741319761491,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","NK_CD56bright",0,60,7,538,-0.074353107689034,605,0.889256198347107,0.449832775167504,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","Plasma",0,0,0,1,-0.0962839457582737,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","Plasmablast",0,0,0,1,-0.868868943759737,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","Platelet",1,1,2,3,0.795825157985959,7,0.571428571428571,0.541666517361153,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","Treg Memory",0,0,0,3,-0.780705427284742,3,1,0.499999833333389,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","Treg Naive",0,0,0,10,-0.858377173601908,10,1,0.499999950000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","cDC1",0,0,4,1,0.113925619164864,5,0.2,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","cDC2_1",1,1,0,0,0.761556249189412,2,0.5,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","cDC2_2",15,22,15,45,0.223868433167403,97,0.618556701030928,0.585820882176803,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","dnT_1",0,0,0,3,-0.567334615165729,3,1,0.499999833333389,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","dnT_2",0,0,0,6,-0.174403033642484,6,1,0.499999916666681,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","gdT_1",0,1,0,0,0.723288911074711,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","gdT_2",0,0,0,8,-0.137031991045854,8,1,0.499999937500008,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","gdT_3",0,0,0,69,-0.656743622951375,69,1,0.499999992753623,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","gdT_4",0,8,0,4,0.342703159023237,12,0.333333333333333,0.166666652777779,"AddModuleScore","REACTOME",TRUE,"youden"
"Late-NK-cells","pDC",100,49,199,108,0.215143981320221,456,0.456140350877193,0.51117312210351,"AddModuleScore","REACTOME",TRUE,"youden"
"Monocytes","ASDC_mDC",1,0,0,0,0.815874811690372,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden"
"Monocytes","CD14 Mono",157,1,16,0,0.761604906919163,174,0.902298850574713,0.453757222810652,"AddModuleScore","REACTOME",TRUE,"youden"
"Monocytes","CD16 Mono",53,5,0,0,1.22584791785821,58,0.913793103448276,0.499999990566038,"AddModuleScore","REACTOME",TRUE,"youden"
"Monocytes","Doublet",3,0,0,0,1.86403165297185,3,1,0.499999833333389,"AddModuleScore","REACTOME",TRUE,"youden"
