"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.827895496709732,36,1,0.499999986111112,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,0,0,166,-0.495769653731088,166,1,0.499999996987952,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.69196251317452,45,0.977777777777778,0.499999988636364,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.835519916540556,34,1,0.499999985294118,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.880441516587058,248,0.995967741935484,0.499999997975708,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.88788095183564,20,1,0.499999975000001,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.948212312772227,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30229,169,2901,18,0.914498373197409,33317,0.907854848875949,0.504346271344,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",455,6,31,0,1.21698713394836,492,0.92479674796748,0.468106994921591,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",129,0,11,0,1.1473023905915,140,0.921428571428571,0.460714282423469,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",6,0,5,0,-0.0569433233526506,11,0.545454545454545,0.272727247933887,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-1.00014585457436,1,0,0,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",18,0,44,0,7.1984928771852,62,0.290322580645161,0.14516128798127,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.11965114231098,3,0,0,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",64,0,101,0,0.674575569143842,165,0.387878787878788,0.193939392764004,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",0,0,44,0,0.339072795954149,44,0,0,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.474616964683765,5,0,0,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,0.402607145938719,1,1,0.4999995000005,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"DCs","CD14 Mono","Mono",79,6,29,3,0.806886765706667,117,0.700854700854701,0.532407385502403,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"DCs","CD16 Mono","Mono",56,5,9,0,1.51221196000061,70,0.8,0.430769224142012,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.405185492637125,5,0.4,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-1.00574473292929,40,0.525,0.499999976190477,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.7756431445706,29,0.517241379310345,0.499999966666669,"AddModuleScore","REACTOME",TRUE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.0874592553444244,5,0.4,0.499999750000125,"AddModuleScore","REACTOME",TRUE,"youden_dual"
