"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,8,0,28,-0.723025749945597,36,0.777777777777778,0.38888887808642,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,65,0,101,-0.376033850836315,166,0.608433734939759,0.304216865637248,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",1,7,0,37,-0.591887191765111,45,0.844444444444444,0.920454035899261,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,5,0,29,-0.749242964458968,34,0.852941176470588,0.426470575692042,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,23,1,224,-0.767396274075686,248,0.903225806451613,0.453441293710764,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.891540963822553,20,1,0.499999975000001,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,-0.64225859038068,1,1,0.4999995000005,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",32756,183,374,4,1.09460876126206,33317,0.983281808085962,0.505050756064382,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",486,6,0,0,1.46610157969452,492,0.98780487804878,0.499999998971193,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",140,0,0,0,1.28194088480156,140,1,0.499999996428571,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",8,0,3,0,0.314753219744302,11,0.727272727272727,0.363636330578515,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.804593203847457,1,0,0,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",62,0,0,0,3.42598514775356,62,1,0.499999991935484,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",3,0,0,0,0.146470765853344,3,1,0.499999833333389,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",164,0,1,0,1.06576910880405,165,0.993939393939394,0.496969693957759,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",43,0,1,0,0.708529780733702,44,0.977272727272727,0.488636352530992,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.479500303954785,5,1,0.49999990000002,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.767365303904873,1,0,0,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",104,9,4,0,0.945687895426047,117,0.888888888888889,0.48148147702332,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",64,5,1,0,1.36944091022975,70,0.914285714285714,0.492307684733728,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",2,0,1,2,-0.417116877350606,5,0.8,0.833332972222384,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,1,19,20,-0.962111209470324,40,0.5,0.47619045351474,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",1,1,13,14,-0.783452187101063,29,0.517241379310345,0.502380918718823,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",3,1,0,1,0.204741506098725,5,0.8,0.749999708333451,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",2,0,15,5,-0.634051142045147,22,0.318181818181818,0.558823425951577,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",1,0,0,2,-0.535187938581362,3,1,0.999999250000625,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",1,0,4,3,-0.563265174082553,8,0.5,0.599999813333393,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",1,0,28,15,-0.907206546890141,44,0.363636363636364,0.517241345382483,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,0,1,-1.11208083890714,1,1,0.4999995000005,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,1,0,-0.979499713807302,1,0,0,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-1.16006357718903,2,1,0.499999750000125,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,2,-0.702433449115744,4,0.5,0.499999750000125,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.501959717711481,3,0.333333333333333,0.4999995000005,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",2,0,5,2,-0.325132501342972,9,0.444444444444444,0.642856872449107,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.568974910406488,2,0,0,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",2,4,0,1,0.181941473815935,7,0.428571428571429,0.599999730000129,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",1,0,0,0,0.0566864717319969,1,1,0.4999995000005,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","Doublet",14,0,2,1,1.71675918343429,17,0.882352941176471,0.937499472656752,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-0.75215791889094,1,0,0,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
"DCs","MAIT",0,0,3,0,-0.873668790689938,3,0,0,"UCell","REACTOME",FALSE,"gmm_dist_platelet"
