"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.825309107129441,28,1,0.499999982142858,"UCell","REACTOME",FALSE,"youden"
"B-cells","B intermediate lambda",0,13,0,129,-0.412897921416875,142,0.908450704225352,0.454225348913906,"UCell","REACTOME",FALSE,"youden"
"B-cells","B memory kappa",0,1,0,34,-0.711004171670102,35,0.971428571428571,0.485714271836735,"UCell","REACTOME",FALSE,"youden"
"B-cells","B memory lambda",0,0,0,30,-0.810855304813855,30,1,0.499999983333334,"UCell","REACTOME",FALSE,"youden"
"B-cells","B naive kappa",0,1,1,203,-0.83218619023712,205,0.990243902439024,0.497549017168877,"UCell","REACTOME",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.846253898288297,15,1,0.499999966666669,"UCell","REACTOME",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-0.601306736335,2,0.5,0.249999875000062,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",23720,126,1848,23,1.14047211340557,25717,0.92324143562624,0.541042283862986,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",285,6,2,0,1.47332789500364,293,0.972696245733788,0.496515677712489,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","Doublet",107,0,2,0,1.3738539979456,109,0.981651376146789,0.490825683570407,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.832137334207403,1,0,0,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","Platelet",49,0,10,0,2.09572161087623,59,0.830508474576271,0.415254230249928,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,0.143028376078174,2,0,0,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","cDC2_1",82,0,5,0,0.961465967619767,87,0.942528735632184,0.47126436239926,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","cDC2_2",20,0,5,0,0.730164635842075,25,0.8,0.399999984000001,"UCell","REACTOME",FALSE,"youden"
"Classical-Monocytes","pDC",4,0,1,0,0.527912963967045,5,0.8,0.399999920000016,"UCell","REACTOME",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.8382348935571,1,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","CD14 Mono",76,9,9,0,1.01069135790653,94,0.808510638297872,0.447058818269896,"UCell","REACTOME",FALSE,"youden"
"DCs","CD16 Mono",50,3,1,0,1.44533637081218,54,0.925925925925926,0.490196068819685,"UCell","REACTOME",FALSE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.632143890880638,2,1,0.499999750000125,"UCell","REACTOME",FALSE,"youden"
"DCs","CD4 Naive",0,0,12,16,-0.930189319567633,28,0.571428571428571,0.499999968750002,"UCell","REACTOME",FALSE,"youden"
"DCs","CD4 TCM_1",0,0,9,11,-0.7587159141922,20,0.55,0.499999954545459,"UCell","REACTOME",FALSE,"youden"
"DCs","CD4 TCM_2",1,1,4,4,-0.154352491219649,10,0.5,0.49999990000002,"UCell","REACTOME",FALSE,"youden"
"DCs","CD4 TCM_3",1,0,12,4,-0.636661712315832,17,0.294117647058824,0.53846141050299,"UCell","REACTOME",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.422398526885596,2,0.5,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","CD4 TEM_3",0,0,5,2,-0.501219649383571,7,0.285714285714286,0.499999750000125,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 Naive",0,0,22,14,-0.917791704077123,36,0.388888888888889,0.499999964285717,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,-0.447779877165469,2,0.5,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 Proliferating",0,0,2,0,-0.410959787507127,2,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-1.05954158157474,2,1,0.499999750000125,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.888522763801113,3,0.333333333333333,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.473951923715741,3,0.333333333333333,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 TEM_1",0,0,5,2,-0.307830402524823,7,0.285714285714286,0.499999750000125,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.441375237375219,2,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 TEM_4",0,2,2,0,0.360904733387176,4,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,0.136940014796087,1,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","Doublet",13,0,2,1,1.5984300553274,16,0.875,0.933332804444946,"UCell","REACTOME",FALSE,"youden"
"DCs","HSPC",0,0,1,0,-0.887117081542622,1,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","MAIT",0,0,2,0,-1.01257422311292,2,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","NK Proliferating",1,0,0,0,0.729171521326451,1,1,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","NK_1",0,1,0,0,0.807292312842074,1,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","NK_3",0,0,1,0,-0.0160333569841649,1,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.243226752012725,1,1,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","Platelet",13,2,2,0,2.01050568020521,17,0.764705882352941,0.433333304444446,"UCell","REACTOME",FALSE,"youden"
"DCs","Treg Memory",0,0,2,0,-1.12943913187819,2,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.748442133985457,4,0.25,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","cDC2_1",8,0,0,0,1.11336424997872,8,1,0.499999937500008,"UCell","REACTOME",FALSE,"youden"
"DCs","cDC2_2",12,2,0,1,0.889535267580717,15,0.866666666666667,0.666666569444466,"UCell","REACTOME",FALSE,"youden"
"DCs","dnT_2",0,0,1,0,-0.631616760033706,1,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","gdT_1",0,0,1,0,-0.0107093354301289,1,0,0,"UCell","REACTOME",FALSE,"youden"
"DCs","gdT_2",0,0,0,1,-0.412804745471396,1,1,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","gdT_3",0,0,0,1,-0.832717178139033,1,1,0.4999995000005,"UCell","REACTOME",FALSE,"youden"
"DCs","pDC",1,0,1,0,0.671740615552991,2,0.5,0.249999875000062,"UCell","REACTOME",FALSE,"youden"
