"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,4,0,24,-0.784237484318612,28,0.857142857142857,0.428571413265307,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,55,0,87,-0.414422295820697,142,0.612676056338028,0.306338026011704,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,5,0,30,-0.669743387873119,35,0.857142857142857,0.428571416326531,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,4,0,26,-0.757473731081454,30,0.866666666666667,0.433333318888889,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,18,1,186,-0.790988691268983,205,0.907317073170732,0.455882350706459,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.799169797988842,15,1,0.499999966666669,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,2,0,0,-0.321730528888177,2,0,0,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",25459,147,109,2,1.02012027975389,25717,0.990045495197729,0.504579838618066,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",287,6,0,0,1.43529103966744,293,0.979522184300341,0.49999999825784,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",109,0,0,0,1.32105601739009,109,1,0.499999995412844,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.793489867444125,1,0,0,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,3.94248118206822,59,1,0.499999991525424,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,0.157882868827706,2,1,0.499999750000125,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",86,0,1,0,0.857033186885059,87,0.988505747126437,0.494252867882151,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",25,0,0,0,0.636374660005644,25,1,0.499999980000001,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.597302239606887,5,1,0.49999990000002,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.692357455899563,1,0,0,"UCell","REACTOME",TRUE,"gmm_dist_platelet"
