"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.784237484318612,28,1,0.499999982142858,"UCell","REACTOME",TRUE,"youden"
"B-cells","B intermediate lambda",0,11,0,131,-0.414422295820697,142,0.922535211267606,0.461267602385439,"UCell","REACTOME",TRUE,"youden"
"B-cells","B memory kappa",0,1,0,34,-0.669743387873119,35,0.971428571428571,0.485714271836735,"UCell","REACTOME",TRUE,"youden"
"B-cells","B memory lambda",0,0,0,30,-0.757473731081454,30,1,0.499999983333334,"UCell","REACTOME",TRUE,"youden"
"B-cells","B naive kappa",0,1,1,203,-0.790988691268983,205,0.990243902439024,0.497549017168877,"UCell","REACTOME",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.799169797988842,15,1,0.499999966666669,"UCell","REACTOME",TRUE,"youden"
"B-cells","Plasma",0,1,0,1,-0.321730528888177,2,0.5,0.249999875000062,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",23941,131,1627,18,1.02012027975389,25717,0.931640549053156,0.52858556899613,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",285,6,2,0,1.43529103966744,293,0.972696245733788,0.496515677712489,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","Doublet",108,0,1,0,1.32105601739009,109,0.990825688073395,0.495412839491625,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.793489867444125,1,0,0,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,3.94248118206822,59,1,0.499999991525424,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC1",1,0,1,0,0.157882868827706,2,0.5,0.249999875000062,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC2_1",83,0,4,0,0.857033186885059,87,0.954022988505747,0.477011488769983,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","cDC2_2",19,0,6,0,0.636374660005644,25,0.76,0.379999984800001,"UCell","REACTOME",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.597302239606887,5,1,0.49999990000002,"UCell","REACTOME",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.692357455899563,1,0,0,"UCell","REACTOME",TRUE,"youden"
"DCs","CD14 Mono",76,9,9,0,0.906683232370823,94,0.808510638297872,0.447058818269896,"UCell","REACTOME",TRUE,"youden"
"DCs","CD16 Mono",51,3,0,0,1.56766695057571,54,0.944444444444444,0.499999990196079,"UCell","REACTOME",TRUE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.615589566233384,2,1,0.499999750000125,"UCell","REACTOME",TRUE,"youden"
"DCs","CD4 Naive",0,0,12,16,-0.878929973699979,28,0.571428571428571,0.499999968750002,"UCell","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_1",0,0,9,11,-0.728179262662527,20,0.55,0.499999954545459,"UCell","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_2",1,1,4,4,-0.185857649916548,10,0.5,0.49999990000002,"UCell","REACTOME",TRUE,"youden"
"DCs","CD4 TCM_3",1,0,12,4,-0.619608306951918,17,0.294117647058824,0.53846141050299,"UCell","REACTOME",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.406906042106233,2,0.5,0.4999995000005,"UCell","REACTOME",TRUE,"youden"
"DCs","CD4 TEM_3",0,0,5,2,-0.483728453599396,7,0.285714285714286,0.499999750000125,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 Naive",0,0,22,14,-0.865477594759303,36,0.388888888888889,0.499999964285717,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,-0.451592121983367,2,0.5,0.4999995000005,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 Proliferating",0,0,2,0,-0.418839523038796,2,0,0,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.995772919479743,2,1,0.499999750000125,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.840676742277653,3,0.333333333333333,0.4999995000005,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.474872960030581,3,0.333333333333333,0.4999995000005,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_1",0,0,5,2,-0.327102772339153,7,0.285714285714286,0.499999750000125,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.445894998473322,2,0,0,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_4",0,2,2,0,0.267757639732309,4,0,0,"UCell","REACTOME",TRUE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,0.0685341540261576,1,0,0,"UCell","REACTOME",TRUE,"youden"
"DCs","Doublet",13,0,2,1,2.13034190827307,16,0.875,0.933332804444946,"UCell","REACTOME",TRUE,"youden"
