"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.426161885844511,28,1,0.499999982142858,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,142,-0.301581630052111,142,1,0.499999996478873,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.520848970344516,35,1,0.499999985714286,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.543788093088246,30,1,0.499999983333334,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.520645699555251,205,0.995121951219512,0.49999999754902,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.613314499316579,15,1,0.499999966666669,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,2,-0.619803359347837,2,1,0.499999750000125,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",117,0,25451,149,0.857499900724863,25717,0.0103433526461096,0.502288012914544,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",0,0,287,6,0.837001499913868,293,0.0204778156996587,0.499999916666681,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",10,0,99,0,1.14615993149487,109,0.0917431192660551,0.0458715592121875,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0501465406162734,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",51,0,8,0,5.60448073905352,59,0.864406779661017,0.432203382505027,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,0.478014119921668,2,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",0,0,87,0,1.0881710768226,87,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",0,0,25,0,0.912100548884186,25,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",0,0,5,0,0.968095952940756,5,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,0.472827100147465,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",1,0,84,9,0.826661049800967,94,0.106382978723404,0.505882297316423,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",0,0,51,3,0.629963287424785,54,0.0555555555555556,0.499999833333389,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,0.0191154293098463,2,1,0.499999750000125,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.785657226917934,28,0.571428571428571,0.499999968750002,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.284172668075893,20,0.55,0.499999954545459,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.327011349034603,10,0.5,0.49999990000002,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.430611748829251,17,0.235294117647059,0.499999875000031,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.651840834423795,2,0.5,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.267914194329862,7,0.285714285714286,0.499999750000125,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.643721283862216,36,0.388888888888889,0.499999964285717,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.284172668075893,2,0.5,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,0.230867883621418,2,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.731781962708567,2,1,0.499999750000125,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.459209158887716,3,0.333333333333333,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.854032899347621,3,0.333333333333333,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.440524264126862,7,0.285714285714286,0.499999750000125,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,0.17686185420766,2,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,2,-0.334517271766684,4,0.5,0.499999750000125,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,0.42400809050791,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","Doublet",3,0,12,1,1.34828924644931,16,0.25,0.599999493333834,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,0.581449396595476,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","MAIT",0,0,2,0,-0.0641820058876455,2,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,-0.464497884932001,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,1.00800549332109,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","NK_3",0,0,1,0,-0.419340301015412,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,0.355051239392038,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","Platelet",14,2,1,0,5.86158425241958,17,0.823529411764706,0.466666635555558,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.332381440094954,2,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.812028209803587,4,0.25,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","cDC2_1",0,0,8,0,1.32548161538333,8,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","cDC2_2",0,0,12,3,0.935183803942089,15,0.2,0.499999833333389,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-0.307056578844434,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,-0.726289824124117,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,1,-0.621328953399073,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.772667883281695,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"DCs","pDC",0,0,2,0,0.38769895208849,2,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",0,0,0,5,0.612205372668396,5,1,0.49999990000002,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.401643410021073,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,0.117668805019699,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.272883272096745,1,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.346416905366326,2,1,0.499999750000125,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.64256522259228,5,1,0.49999990000002,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,-0.459501564414203,16,0.9375,0.499999966666669,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK Proliferating",0,0,0,21,0.0870988061263581,21,1,0.499999976190477,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_1",0,0,10,549,-0.0888163925496806,559,0.98211091234347,0.499999999089253,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_2",0,0,4,211,0.195103701588673,215,0.981395348837209,0.499999997630332,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_3",0,0,1,36,-0.137641421068247,37,0.972972972972973,0.499999986111112,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_4",0,0,0,17,0.182677059767666,17,1,0.499999970588237,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.199440646165954,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early-NK-cells","gdT_2",0,0,0,1,0.249480131046499,1,1,0.4999995000005,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD14 Mono",5,0,478,14,0.732740440628603,497,0.0382293762575453,0.505175947711854,"AUCell","Standard",FALSE,"gmm_dist_platelet"
