"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.426161885844511,28,1,0.499999982142858,"AUCell","Standard",FALSE,"gmm_immune_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.301581630052111,142,1,0.499999996478873,"AUCell","Standard",FALSE,"gmm_immune_dual"
"B-cells","B memory kappa",0,0,0,35,-0.520848970344516,35,1,0.499999985714286,"AUCell","Standard",FALSE,"gmm_immune_dual"
"B-cells","B memory lambda",0,0,0,30,-0.543788093088246,30,1,0.499999983333334,"AUCell","Standard",FALSE,"gmm_immune_dual"
"B-cells","B naive kappa",0,0,1,204,-0.520645699555251,205,0.995121951219512,0.49999999754902,"AUCell","Standard",FALSE,"gmm_immune_dual"
"B-cells","B naive lambda",0,0,0,15,-0.613314499316579,15,1,0.499999966666669,"AUCell","Standard",FALSE,"gmm_immune_dual"
"B-cells","Plasma",0,0,0,2,-0.619803359347837,2,1,0.499999750000125,"AUCell","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD14 Mono",24099,133,1469,16,0.857499900724863,25717,0.937706575417039,0.524963959394766,"AUCell","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD16 Mono",260,5,27,1,0.837001499913868,293,0.890784982935154,0.536294990340051,"AUCell","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Doublet",102,0,7,0,1.14615993149487,109,0.935779816513762,0.467889903964313,"AUCell","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0501465406162734,1,0,0,"AUCell","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Platelet",9,0,50,0,5.60448073905352,59,0.152542372881356,0.076271185147946,"AUCell","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.478014119921668,2,0,0,"AUCell","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_1",49,0,38,0,1.0881710768226,87,0.563218390804598,0.281609192165412,"AUCell","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_2",5,0,20,0,0.912100548884186,25,0.2,0.0999999960000002,"AUCell","Standard",FALSE,"gmm_immune_dual"
