"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.426161885844511,28,0.964285714285714,0.48214283992347,"AUCell","Standard",FALSE,"gmm_platelet"
"B-cells","B intermediate lambda",0,12,0,130,-0.301581630052111,142,0.915492957746479,0.457746475649673,"AUCell","Standard",FALSE,"gmm_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.520848970344516,35,1,0.499999985714286,"AUCell","Standard",FALSE,"gmm_platelet"
"B-cells","B memory lambda",0,1,0,29,-0.543788093088246,30,0.966666666666667,0.483333317222223,"AUCell","Standard",FALSE,"gmm_platelet"
"B-cells","B naive kappa",0,2,1,202,-0.520645699555251,205,0.985365853658537,0.495098036788735,"AUCell","Standard",FALSE,"gmm_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.613314499316579,15,1,0.499999966666669,"AUCell","Standard",FALSE,"gmm_platelet"
"B-cells","Plasma",0,0,0,2,-0.619803359347837,2,1,0.499999750000125,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","CD14 Mono",20201,112,5367,37,0.857499900724863,25717,0.786950266360773,0.519205659960487,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","CD16 Mono",234,5,53,1,0.837001499913868,293,0.802047781569966,0.49099882325049,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","Doublet",93,0,16,0,1.14615993149487,109,0.853211009174312,0.426605500673344,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0501465406162734,1,0,0,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,5.60448073905352,59,1,0.499999991525424,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,0.478014119921668,2,1,0.499999750000125,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC2_1",80,0,7,0,1.0881710768226,87,0.919540229885057,0.459770109657815,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC2_2",22,0,3,0,0.912100548884186,25,0.88,0.439999982400001,"AUCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.968095952940756,5,1,0.49999990000002,"AUCell","Standard",FALSE,"gmm_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.472827100147465,1,0,0,"AUCell","Standard",FALSE,"gmm_platelet"
"DCs","CD14 Mono",65,8,20,1,0.826661049800967,94,0.702127659574468,0.437908486060917,"AUCell","Standard",FALSE,"gmm_platelet"
