"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.426161885844511,28,0.964285714285714,0.48214283992347,"AUCell","Standard",FALSE,"youden"
"B-cells","B intermediate lambda",0,21,0,121,-0.301581630052111,142,0.852112676056338,0.426056335027772,"AUCell","Standard",FALSE,"youden"
"B-cells","B memory kappa",0,1,0,34,-0.520848970344516,35,0.971428571428571,0.485714271836735,"AUCell","Standard",FALSE,"youden"
"B-cells","B memory lambda",0,1,0,29,-0.543788093088246,30,0.966666666666667,0.483333317222223,"AUCell","Standard",FALSE,"youden"
"B-cells","B naive kappa",0,5,1,199,-0.520645699555251,205,0.970731707317073,0.487745095648308,"AUCell","Standard",FALSE,"youden"
"B-cells","B naive lambda",0,1,0,14,-0.613314499316579,15,0.933333333333333,0.466666635555558,"AUCell","Standard",FALSE,"youden"
"B-cells","Plasma",0,0,0,2,-0.619803359347837,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",22009,124,3559,25,0.857499900724863,25717,0.856787339114205,0.51429389972336,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",259,6,28,0,0.837001499913868,293,0.883959044368601,0.451219510622929,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","Doublet",98,0,11,0,1.14615993149487,109,0.899082568807339,0.449541280279438,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0501465406162734,1,0,0,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,5.60448073905352,59,1,0.499999991525424,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","cDC1",2,0,0,0,0.478014119921668,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","cDC2_1",83,0,4,0,1.0881710768226,87,0.954022988505747,0.477011488769983,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","cDC2_2",23,0,2,0,0.912100548884186,25,0.92,0.459999981600001,"AUCell","Standard",FALSE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.968095952940756,5,1,0.49999990000002,"AUCell","Standard",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.472827100147465,1,0,0,"AUCell","Standard",FALSE,"youden"
"DCs","CD14 Mono",70,8,15,1,0.826661049800967,94,0.75531914893617,0.467320250420779,"AUCell","Standard",FALSE,"youden"
"DCs","CD16 Mono",42,3,9,0,0.629963287424785,54,0.777777777777778,0.411764697808535,"AUCell","Standard",FALSE,"youden"
"DCs","CD4 CTL",0,1,0,1,0.0191154293098463,2,0.5,0.249999875000062,"AUCell","Standard",FALSE,"youden"
"DCs","CD4 Naive",0,0,12,16,-0.785657226917934,28,0.571428571428571,0.499999968750002,"AUCell","Standard",FALSE,"youden"
"DCs","CD4 TCM_1",2,4,7,7,-0.284172668075893,20,0.45,0.429292888021634,"AUCell","Standard",FALSE,"youden"
"DCs","CD4 TCM_2",1,1,4,4,-0.327011349034603,10,0.5,0.49999990000002,"AUCell","Standard",FALSE,"youden"
"DCs","CD4 TCM_3",3,0,10,4,-0.430611748829251,17,0.411764705882353,0.615384481508908,"AUCell","Standard",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.651840834423795,2,0.5,0.4999995000005,"AUCell","Standard",FALSE,"youden"
"DCs","CD4 TEM_3",1,0,4,2,-0.267914194329862,7,0.428571428571429,0.599999730000129,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 Naive",0,1,22,13,-0.643721283862216,36,0.361111111111111,0.464285681122451,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,-0.284172668075893,2,0.5,0.4999995000005,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 Proliferating",1,0,1,0,0.230867883621418,2,0.5,0.249999875000062,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.731781962708567,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.459209158887716,3,0.333333333333333,0.4999995000005,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.854032899347621,3,0.333333333333333,0.4999995000005,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 TEM_1",1,0,4,2,-0.440524264126862,7,0.428571428571429,0.599999730000129,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 TEM_2",1,0,1,0,0.17686185420766,2,0.5,0.249999875000062,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 TEM_4",0,2,2,0,-0.334517271766684,4,0,0,"AUCell","Standard",FALSE,"youden"
"DCs","CD8 TEM_5",1,0,0,0,0.42400809050791,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden"
"DCs","Doublet",13,0,2,1,1.34828924644931,16,0.875,0.933332804444946,"AUCell","Standard",FALSE,"youden"
"DCs","HSPC",1,0,0,0,0.581449396595476,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden"
"DCs","MAIT",1,0,1,0,-0.0641820058876455,2,0.5,0.249999875000062,"AUCell","Standard",FALSE,"youden"
"DCs","NK Proliferating",0,0,1,0,-0.464497884932001,1,0,0,"AUCell","Standard",FALSE,"youden"
"DCs","NK_1",0,1,0,0,1.00800549332109,1,0,0,"AUCell","Standard",FALSE,"youden"
"DCs","NK_3",0,0,1,0,-0.419340301015412,1,0,0,"AUCell","Standard",FALSE,"youden"
"DCs","NK_CD56bright",0,1,0,0,0.355051239392038,1,0,0,"AUCell","Standard",FALSE,"youden"
"DCs","Platelet",15,2,0,0,5.86158425241958,17,0.882352941176471,0.499999966666669,"AUCell","Standard",FALSE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.332381440094954,2,0,0,"AUCell","Standard",FALSE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.812028209803587,4,0.25,0.4999995000005,"AUCell","Standard",FALSE,"youden"
"DCs","cDC2_1",8,0,0,0,1.32548161538333,8,1,0.499999937500008,"AUCell","Standard",FALSE,"youden"
