"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.486506388307163,36,1,0.499999986111112,"AUCell","Standard",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.374164275284772,166,0.987951807228916,0.493975900638699,"AUCell","Standard",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.590914165793376,45,0.977777777777778,0.499999988636364,"AUCell","Standard",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.652359122826993,34,1,0.499999985294118,"AUCell","Standard",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.628959938797838,248,0.995967741935484,0.499999997975708,"AUCell","Standard",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.718914203567565,20,1,0.499999975000001,"AUCell","Standard",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.82958081748328,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",29983,167,3147,20,0.931195457675736,33317,0.900531260317556,0.505981217750802,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",450,6,36,0,0.923936966591512,492,0.914634146341463,0.462962962010364,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",127,0,13,0,1.21339592861688,140,0.907142857142857,0.453571425331633,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.614592889785954,11,0.909090909090909,0.454545413223144,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,0.0470935812622384,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,7.19770619979076,62,0.112903225806452,0.0564516119927159,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.608585003129925,3,0,0,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",93,0,72,0,1.20979407171968,165,0.563636363636364,0.281818180110193,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",9,0,35,0,0.821104676144868,44,0.204545454545455,0.102272724948347,"AUCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.826261321292065,5,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,0.513964515274302,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",85,6,23,3,0.852732183810231,117,0.752136752136752,0.560185163022979,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",49,4,16,1,0.598300676769782,70,0.714285714285714,0.476923051124264,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.334569717585558,5,0.4,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.863919691238856,40,0.525,0.499999976190477,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.498779494376008,29,0.517241379310345,0.499999966666669,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.343621798919406,5,0.4,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.365728734706566,22,0.227272727272727,0.49999990000002,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.638699971965176,3,0.666666666666667,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.216597483680297,8,0.375,0.499999833333389,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.760572114429289,44,0.340909090909091,0.499999966666669,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.253002593392512,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-0.48225639239106,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-1.17419945739419,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.198763899530732,4,0.5,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.887632208646002,3,0.333333333333333,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.561954065004289,9,0.222222222222222,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,0.138352336013806,2,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,-0.247591023029886,7,0.714285714285714,0.49999990000002,"AUCell","Standard",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,0.158276754167113,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,1.98727178121914,17,0.764705882352941,0.874999476563001,"AUCell","Standard",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,0.543974132739777,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.233488142690919,3,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,0.711732813981203,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,0.901629737615193,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,-0.407478329198401,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,0.406225068963826,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"DCs","Platelet","other",1,0,19,2,6.64216543745094,22,0.136363636363636,0.524999748750125,"AUCell","Standard",FALSE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.414857743329255,2,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-0.784812371756095,4,0.25,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"DCs","cDC2_1","DC",5,0,11,0,1.18170925144,16,0.3125,0.156249990234376,"AUCell","Standard",FALSE,"youden_dual"
"DCs","cDC2_2","DC",9,3,29,10,0.869575106037638,51,0.372549019607843,0.503036404544824,"AUCell","Standard",FALSE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,-0.782844527987867,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,-0.4886518846378,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-1.02587323336401,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,0.270443848956102,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"DCs","pDC","DC",0,0,3,0,0.5185561507335,3,0,0,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",1,2,0,3,0.538316581906122,6,0.666666666666667,0.799999440000512,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","CD4 Naive","CD4 T",0,0,0,1,-0.589995838701536,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","CD4 TCM_1","CD4 T",0,0,0,1,0.239450309606513,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_1","CD8 T",0,0,1,0,-0.506362478551851,1,0,0,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_2","CD8 T",0,0,0,2,-0.357790274050647,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_4","CD8 T",0,0,0,5,-0.627975223428334,5,1,0.49999990000002,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_5","CD8 T",0,1,1,15,-0.529455703949584,17,0.882352941176471,0.468749970703127,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","NK Proliferating","NK",0,0,0,30,-0.0962474385550937,30,1,0.499999983333334,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","NK_1","NK",0,59,12,661,-0.142361115186132,732,0.903005464480874,0.459027777140239,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","NK_2","NK",1,44,3,240,0.101106793025576,288,0.836805555555556,0.547535178529813,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","NK_3","NK",0,2,1,37,-0.194889707112033,40,0.925,0.474358962195924,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","NK_4","NK",0,0,0,19,0.0663059506836211,19,1,0.499999973684212,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","NK_CD56bright","NK",0,0,0,1,0.10366908959879,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","cDC2_2","DC",0,0,0,1,1.14662628675956,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","gdT_2","other T",0,0,0,1,-0.00308643482757238,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Early-NK-cells","pDC","DC",0,0,0,1,0.896218167252566,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Intermediate-Monocytes","CD14 Mono","Mono",557,14,56,2,0.803112408105661,629,0.888712241653418,0.516822996983925,"AUCell","Standard",FALSE,"youden_dual"
"Intermediate-Monocytes","CD16 Mono","Mono",1906,28,201,5,0.748848048623332,2140,0.892990654205608,0.528059424220173,"AUCell","Standard",FALSE,"youden_dual"
"Intermediate-Monocytes","Doublet","other",116,0,14,0,2.41744465502137,130,0.892307692307692,0.446153842721894,"AUCell","Standard",FALSE,"youden_dual"
"Intermediate-Monocytes","Platelet","other",1,0,3,0,5.53565583132081,4,0.25,0.124999968750008,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","ASDC_mDC","DC",0,3,0,14,0.781851717663793,17,0.823529411764706,0.411764681660901,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","ASDC_pDC","DC",1,1,2,6,0.772981951267296,10,0.7,0.595237978458077,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","B intermediate kappa","B",0,0,0,4,-0.459872169527468,4,1,0.499999875000031,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","B intermediate lambda","B",0,0,0,2,-0.232832194768177,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","B memory kappa","B",0,0,0,3,-0.331060396198885,3,1,0.499999833333389,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","B memory lambda","B",0,0,0,1,-0.338603797310425,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","B naive kappa","B",0,0,0,1,-1.02882499901635,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD14 Mono","Mono",0,3,2,1,0.868422374026347,6,0.166666666666667,0.124999968750008,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD16 Mono","Mono",500,548,135,197,0.440434179108599,1380,0.505072463768116,0.525915551704775,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD4 CTL","CD4 T",0,0,0,2,-0.589503877759479,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD4 Naive","CD4 T",0,0,0,84,-0.830488602554932,84,1,0.499999994047619,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD4 Proliferating","CD4 T",0,0,0,1,-0.356314391224476,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD4 TCM_1","CD4 T",0,0,0,5,-0.580156619860397,5,1,0.49999990000002,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD4 TEM_2","CD4 T",0,0,0,1,-0.860574356832869,1,1,0.4999995000005,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD8 Naive","CD8 T",0,0,1,258,-0.659899879587947,259,0.996138996138996,0.499999998062016,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD8 Naive_2","CD8 T",0,0,1,2,-0.5286647079251,3,0.666666666666667,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD8 Proliferating","CD8 T",0,0,0,2,-0.347705074738479,2,1,0.499999750000125,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD8 TCM_1","CD8 T",0,0,0,5,-0.439259006055281,5,1,0.49999990000002,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD8 TCM_2","CD8 T",0,0,0,9,-0.557143780237509,9,1,0.499999944444451,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD8 TEM_1","CD8 T",0,0,0,37,-0.655971789903878,37,1,0.499999986486487,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD8 TEM_2","CD8 T",0,1,0,73,-0.267256164470487,74,0.986486486486487,0.493243236577794,"AUCell","Standard",FALSE,"youden_dual"
"Late-NK-cells","CD8 TEM_3","CD8 T",0,0,0,9,-0.363748467682226,9,1,0.499999944444451,"AUCell","Standard",FALSE,"youden_dual"
