"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.397009111360877,36,1,0.499999986111112,"AUCell","Standard",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,166,-0.332319418856495,166,1,0.499999996987952,"AUCell","Standard",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.444877923797878,45,0.977777777777778,0.499999988636364,"AUCell","Standard",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.453684042049633,34,1,0.499999985294118,"AUCell","Standard",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.492781138216166,248,0.995967741935484,0.499999997975708,"AUCell","Standard",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.539819999554333,20,1,0.499999975000001,"AUCell","Standard",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-0.623028544293164,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",1224,1,31906,186,0.701972267902266,33317,0.042320737161209,0.515798883917048,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",2,0,484,6,0.605984049942756,492,0.016260162601626,0.502057529831171,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",18,0,122,0,1.00864900967449,140,0.128571428571429,0.0642857138265306,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",1,0,10,0,0.978918087855219,11,0.0909090909090909,0.0454545413223144,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.091778522465576,1,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",6,0,56,0,11.2892787188073,62,0.0967741935483871,0.0483870959937565,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,0.413935354848206,3,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",13,0,152,0,0.873221664244896,165,0.0787878787878788,0.0393939391551882,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,44,0,0.448518526784604,44,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.792695307552201,5,0,0,"AUCell","Standard",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,0.373765035209182,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",3,0,105,9,0.610505745383223,117,0.102564102564103,0.513888833204739,"AUCell","Standard",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",0,0,65,5,0.351093989986431,70,0.0714285714285714,0.49999990000002,"AUCell","Standard",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.326553906487884,5,0.4,0.499999750000125,"AUCell","Standard",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.638070315571199,40,0.525,0.499999976190477,"AUCell","Standard",TRUE,"gmm_dist_dual"
