"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.288088869037232,28,1,0.499999982142858,"AUCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.233272466141157,142,1,0.499999996478873,"AUCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B memory kappa",0,0,0,35,-0.335035807153128,35,1,0.499999985714286,"AUCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B memory lambda",0,0,0,30,-0.325683091049218,30,1,0.499999983333334,"AUCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B naive kappa",0,0,1,204,-0.345464036018765,205,0.995121951219512,0.49999999754902,"AUCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B naive lambda",0,0,0,15,-0.359168032736656,15,1,0.499999966666669,"AUCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","Plasma",0,0,0,2,-0.369135884002499,2,1,0.499999750000125,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","CD14 Mono",24045,133,1523,16,0.428195806853338,25717,0.93560679706031,0.523907951885421,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","CD16 Mono",260,5,27,1,0.388420494257934,293,0.890784982935154,0.536294990340051,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","Doublet",102,0,7,0,0.744211481704857,109,0.935779816513762,0.467889903964313,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.121181702202631,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","Platelet",9,0,50,0,8.67171679301411,59,0.152542372881356,0.076271185147946,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.281724435412057,2,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_1",49,0,38,0,0.526733983955821,87,0.563218390804598,0.281609192165412,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_2",5,0,20,0,0.405356843604667,25,0.2,0.0999999960000002,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.754685004353045,5,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","ASDC_mDC",0,0,0,1,0.277221823469542,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD14 Mono",75,6,10,3,0.422679643757739,94,0.829787234042553,0.607843113546074,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD16 Mono",43,3,8,0,0.287561154596798,54,0.796296296296296,0.421568619184929,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 CTL",0,0,0,2,-0.0859371190663946,2,1,0.499999750000125,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 Naive",0,0,12,16,-0.485726916888357,28,0.571428571428571,0.499999968750002,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.237085144102194,20,0.55,0.499999954545459,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.253247968351014,10,0.5,0.49999990000002,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.312684272609631,17,0.235294117647059,0.499999875000031,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.413230428542989,2,0.5,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.156847712072404,7,0.285714285714286,0.499999750000125,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 Naive",0,0,22,14,-0.405061896915477,36,0.388888888888889,0.499999964285717,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 Naive_2",0,0,1,1,-0.240268024958109,2,0.5,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 Proliferating",0,0,2,0,0.0381176030739275,2,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.468038084257049,2,1,0.499999750000125,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.323747485455539,3,0.333333333333333,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.530246584888116,3,0.333333333333333,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TEM_1",0,0,5,2,-0.319828956178802,7,0.285714285714286,0.499999750000125,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TEM_2",0,0,2,0,0.0760016483833626,2,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TEM_4",0,0,2,2,-0.248186411477705,4,0.5,0.499999750000125,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TEM_5",0,0,1,0,0.120096192923852,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","Doublet",11,0,4,1,1.71219648642498,16,0.75,0.866666142222724,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","HSPC",0,0,1,0,0.532162816904347,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","MAIT",0,0,2,0,-0.128323776318344,2,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","NK Proliferating",0,0,1,0,-0.332028151096946,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","NK_1",0,0,0,1,0.417268581129831,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","NK_3",0,0,1,0,-0.309049303942043,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","NK_CD56bright",0,0,0,1,0.0850068722683923,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","Platelet",1,0,14,2,9.52615300479546,17,0.176470588235294,0.533333081111236,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","Treg Memory",0,0,2,0,-0.23126280107308,2,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","Treg Naive",0,0,3,1,-0.508872116701235,4,0.25,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","cDC2_1",4,0,4,0,0.68913318496926,8,0.5,0.249999968750004,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","cDC2_2",4,2,8,1,0.429689579591941,15,0.333333333333333,0.333333263888909,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","dnT_2",0,0,1,0,-0.251912711016337,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","gdT_1",0,0,1,0,-0.445369762063698,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","gdT_2",0,0,0,1,-0.411833066216002,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","gdT_3",0,0,0,1,-0.488843256681083,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"DCs","pDC",0,0,2,0,0.117611993231431,2,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD16 Mono",0,3,0,2,0.305790119932395,5,0.4,0.199999960000008,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.300044080057013,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.035787337775626,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.234523313169384,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.27194157103649,2,1,0.499999750000125,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.410156231423617,5,1,0.49999990000002,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_5",0,1,1,14,-0.322692994440267,16,0.875,0.466666635555558,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK Proliferating",0,3,0,18,-0.0358021246785571,21,0.857142857142857,0.428571408163266,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_1",0,79,10,470,-0.11815533370435,559,0.840787119856887,0.428051001041801,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_2",2,60,2,151,0.0244025098883235,215,0.711627906976744,0.607819841017457,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_3",0,3,1,33,-0.146728674715241,37,0.891891891891892,0.458333320601852,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_4",0,2,0,15,0.00350320294790084,17,0.882352941176471,0.44117644463668,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.00582300707244189,1,1,0.4999995000005,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","gdT_2",0,1,0,0,0.0312860539197671,1,0,0,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Intermediate-Monocytes","CD14 Mono",451,13,32,1,0.37822865819691,497,0.909456740442656,0.502587988200794,"AUCell","Standard",TRUE,"gmm_immune_dual"
"Intermediate-Monocytes","CD16 Mono",1431,20,107,3,0.335331964865356,1561,0.918641896220372,0.53043195253564,"AUCell","Standard",TRUE,"gmm_immune_dual"
