"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.288088869037232,28,0.964285714285714,0.48214283992347,"AUCell","Standard",TRUE,"gmm_platelet"
"B-cells","B intermediate lambda",0,12,0,130,-0.233272466141157,142,0.915492957746479,0.457746475649673,"AUCell","Standard",TRUE,"gmm_platelet"
"B-cells","B memory kappa",0,1,0,34,-0.335035807153128,35,0.971428571428571,0.485714271836735,"AUCell","Standard",TRUE,"gmm_platelet"
"B-cells","B memory lambda",0,1,0,29,-0.325683091049218,30,0.966666666666667,0.483333317222223,"AUCell","Standard",TRUE,"gmm_platelet"
"B-cells","B naive kappa",0,1,1,203,-0.345464036018765,205,0.990243902439024,0.497549017168877,"AUCell","Standard",TRUE,"gmm_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.359168032736656,15,1,0.499999966666669,"AUCell","Standard",TRUE,"gmm_platelet"
"B-cells","Plasma",0,0,0,2,-0.369135884002499,2,1,0.499999750000125,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","CD14 Mono",20582,119,4986,30,0.428195806853338,25717,0.801493175720341,0.503166446881502,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","CD16 Mono",233,6,54,0,0.388420494257934,293,0.795221843003413,0.405923343533368,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","Doublet",97,0,12,0,0.744211481704857,109,0.889908256880734,0.444954124358219,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.121181702202631,1,0,0,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,8.67171679301411,59,1,0.499999991525424,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,0.281724435412057,2,1,0.499999750000125,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC2_1",78,0,9,0,0.526733983955821,87,0.896551724137931,0.448275856916369,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC2_2",22,0,3,0,0.405356843604667,25,0.88,0.439999982400001,"AUCell","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.754685004353045,5,1,0.49999990000002,"AUCell","Standard",TRUE,"gmm_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.277221823469542,1,0,0,"AUCell","Standard",TRUE,"gmm_platelet"
"DCs","CD14 Mono",66,7,19,2,0.422679643757739,94,0.723404255319149,0.499346388315607,"AUCell","Standard",TRUE,"gmm_platelet"
"DCs","CD16 Mono",33,2,18,1,0.287561154596798,54,0.62962962962963,0.490196016532122,"AUCell","Standard",TRUE,"gmm_platelet"
"DCs","CD4 CTL",0,1,0,1,-0.0859371190663946,2,0.5,0.249999875000062,"AUCell","Standard",TRUE,"gmm_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.485726916888357,28,0.571428571428571,0.499999968750002,"AUCell","Standard",TRUE,"gmm_platelet"
"DCs","CD4 TCM_1",0,2,9,9,-0.237085144102194,20,0.45,0.40909087190083,"AUCell","Standard",TRUE,"gmm_platelet"
"DCs","CD4 TCM_2",1,0,4,5,-0.253247968351014,10,0.6,0.599999880000024,"AUCell","Standard",TRUE,"gmm_platelet"
