"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,-0.288088869037232,28,"AUCell","Standard",TRUE,"percentile"
"B-cells","B intermediate lambda",0,0,-0.233272466141157,142,"AUCell","Standard",TRUE,"percentile"
"B-cells","B memory kappa",0,0,-0.335035807153128,35,"AUCell","Standard",TRUE,"percentile"
"B-cells","B memory lambda",0,0,-0.325683091049218,30,"AUCell","Standard",TRUE,"percentile"
"B-cells","B naive kappa",0,0,-0.345464036018765,205,"AUCell","Standard",TRUE,"percentile"
"B-cells","B naive lambda",0,0,-0.359168032736656,15,"AUCell","Standard",TRUE,"percentile"
"B-cells","Plasma",0,0,-0.369135884002499,2,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","CD14 Mono",41,8191,0.428195806853338,25717,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","CD16 Mono",2,74,0.388420494257934,293,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","Doublet",0,50,0.744211481704857,109,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","HSPC",0,0,-0.121181702202631,1,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","Platelet",0,57,8.67171679301411,59,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC1",0,0,0.281724435412057,2,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC2_1",0,37,0.526733983955821,87,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC2_2",0,4,0.405356843604667,25,"AUCell","Standard",TRUE,"percentile"
"Classical-Monocytes","pDC",0,3,0.754685004353045,5,"AUCell","Standard",TRUE,"percentile"
"DCs","ASDC_mDC",0,0,0.277221823469542,1,"AUCell","Standard",TRUE,"percentile"
"DCs","CD14 Mono",2,28,0.422679643757739,94,"AUCell","Standard",TRUE,"percentile"
"DCs","CD16 Mono",1,5,0.287561154596798,54,"AUCell","Standard",TRUE,"percentile"
"DCs","CD4 CTL",0,0,-0.0859371190663946,2,"AUCell","Standard",TRUE,"percentile"
"DCs","CD4 Naive",0,0,-0.485726916888357,28,"AUCell","Standard",TRUE,"percentile"
"DCs","CD4 TCM_1",0,0,-0.237085144102194,20,"AUCell","Standard",TRUE,"percentile"
"DCs","CD4 TCM_2",0,0,-0.253247968351014,10,"AUCell","Standard",TRUE,"percentile"
"DCs","CD4 TCM_3",0,0,-0.312684272609631,17,"AUCell","Standard",TRUE,"percentile"
"DCs","CD4 TEM_1",0,0,-0.413230428542989,2,"AUCell","Standard",TRUE,"percentile"
"DCs","CD4 TEM_3",0,0,-0.156847712072404,7,"AUCell","Standard",TRUE,"percentile"
