"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.397009111360877,36,1,0.499999986111112,"AUCell","Standard",TRUE,"youden"
"B-cells","B intermediate lambda",0,18,0,148,-0.332319418856495,166,0.891566265060241,0.44578312984468,"AUCell","Standard",TRUE,"youden"
"B-cells","B memory kappa",0,1,1,43,-0.444877923797878,45,0.955555555555556,0.488636352530992,"AUCell","Standard",TRUE,"youden"
"B-cells","B memory lambda",0,1,0,33,-0.453684042049633,34,0.970588235294118,0.485294103373703,"AUCell","Standard",TRUE,"youden"
"B-cells","B naive kappa",0,3,1,244,-0.492781138216166,248,0.983870967741935,0.493927123506368,"AUCell","Standard",TRUE,"youden"
"B-cells","B naive lambda",0,1,0,19,-0.539819999554333,20,0.95,0.474999976250001,"AUCell","Standard",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-0.623028544293164,1,1,0.4999995000005,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",29521,155,3609,32,0.701972267902266,33317,0.887024642074617,0.531094246628826,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",448,5,38,1,0.605984049942756,492,0.91260162601626,0.544238668290321,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","Doublet",129,0,11,0,1.00864900967449,140,0.921428571428571,0.460714282423469,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","Eryth",11,0,0,0,0.978918087855219,11,1,0.499999954545459,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.091778522465576,1,0,0,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,11.2892787188073,62,1,0.499999991935484,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.413935354848206,3,1,0.499999833333389,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","cDC2_1",161,0,4,0,0.873221664244896,165,0.975757575757576,0.487878784921947,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","cDC2_2",41,0,3,0,0.448518526784604,44,0.931818181818182,0.465909080320248,"AUCell","Standard",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.792695307552201,5,1,0.49999990000002,"AUCell","Standard",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.373765035209182,1,0,0,"AUCell","Standard",TRUE,"youden"
"DCs","CD14 Mono",91,8,17,1,0.610505745383223,117,0.786324786324786,0.476851841778121,"AUCell","Standard",TRUE,"youden"
"DCs","CD16 Mono",53,3,12,2,0.351093989986431,70,0.785714285714286,0.607692261420126,"AUCell","Standard",TRUE,"youden"
"DCs","CD4 CTL",0,1,3,1,-0.326553906487884,5,0.2,0.249999875000062,"AUCell","Standard",TRUE,"youden"
"DCs","CD4 Naive",0,0,19,21,-0.638070315571199,40,0.525,0.499999976190477,"AUCell","Standard",TRUE,"youden"
"DCs","CD4 TCM_1",1,0,13,15,-0.39037868869219,29,0.551724137931034,0.535714249829934,"AUCell","Standard",TRUE,"youden"
"DCs","CD4 TCM_2",0,0,3,2,-0.331975426400046,5,0.4,0.499999750000125,"AUCell","Standard",TRUE,"youden"
