"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.428130585790378,28,1,0.499999982142858,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.393310313382823,142,1,0.499999996478873,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"B-cells","B memory kappa",0,0,0,35,-0.492272127405929,35,1,0.499999985714286,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"B-cells","B memory lambda",0,0,0,30,-0.547899798366842,30,1,0.499999983333334,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"B-cells","B naive kappa",0,0,1,204,-0.597351027431261,205,0.995121951219512,0.49999999754902,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"B-cells","B naive lambda",0,0,0,15,-0.621487042244792,15,1,0.499999966666669,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"B-cells","Plasma",0,0,0,2,-0.22782431951484,2,1,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD14 Mono",24553,143,1015,6,0.708880016191758,25717,0.954971419683478,0.500285197996464,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD16 Mono",277,6,10,0,0.617856203719806,293,0.945392491467577,0.482578395531086,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Doublet",106,0,3,0,1.0018830180067,109,0.972477064220184,0.486238527649188,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.12956742963401,1,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Platelet",23,0,36,0,6.77303288351312,59,0.389830508474576,0.19491525093364,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.472780412239547,2,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_1",33,0,54,0,0.717501298966512,87,0.379310344827586,0.189655170233849,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_2",2,0,23,0,0.519739286860183,25,0.08,0.0399999984000001,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.777784463911135,5,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","ASDC_mDC",0,0,0,1,0.321420636070388,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD14 Mono",70,8,15,1,0.684774624453035,94,0.75531914893617,0.467320250420779,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD16 Mono",48,3,3,0,0.557859591568172,54,0.888888888888889,0.470588226066898,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD4 CTL",0,0,0,2,-0.0281535123584712,2,1,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD4 Naive",0,0,12,16,-0.748939071514693,28,0.571428571428571,0.499999968750002,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.155650051431585,20,0.55,0.499999954545459,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.271284220283806,10,0.5,0.49999990000002,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.490810003820339,17,0.235294117647059,0.499999875000031,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.626326124865733,2,0.5,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.328945234380468,7,0.285714285714286,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive",0,0,22,14,-0.609006703296849,36,0.388888888888889,0.499999964285717,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive_2",0,0,1,1,-0.376326687727629,2,0.5,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 Proliferating",0,0,2,0,0.241758716151072,2,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.277231310006514,2,1,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.328726372846432,3,0.333333333333333,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.471485447291546,3,0.333333333333333,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_1",0,0,5,2,-0.29320043040013,7,0.285714285714286,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.216281977918845,2,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_4",0,0,2,2,0.0577549956091459,4,0.5,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_5",0,0,1,0,0.482252897714684,1,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","Doublet",13,0,2,1,1.41780109706804,16,0.875,0.933332804444946,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","HSPC",0,0,1,0,0.110551170970915,1,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","MAIT",0,0,2,0,-0.245938697301875,2,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","NK Proliferating",0,0,1,0,0.0380440948992196,1,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","NK_1",0,0,0,1,0.679403909033863,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","NK_3",0,0,1,0,-0.64786793154565,1,0,0,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
"DCs","NK_CD56bright",0,0,0,1,0.233533010595586,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_immune_dual"
