"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.428130585790378,28,1,0.499999982142858,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"B-cells","B intermediate lambda",0,11,0,131,-0.393310313382823,142,0.922535211267606,0.461267602385439,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.492272127405929,35,1,0.499999985714286,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.547899798366842,30,1,0.499999983333334,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"B-cells","B naive kappa",0,2,1,202,-0.597351027431261,205,0.985365853658537,0.495098036788735,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.621487042244792,15,1,0.499999966666669,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"B-cells","Plasma",0,0,0,2,-0.22782431951484,2,1,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","CD14 Mono",22508,130,3060,19,0.708880016191758,25717,0.875957537815453,0.503917963284706,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","CD16 Mono",255,6,32,0,0.617856203719806,293,0.870307167235495,0.444250869532227,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","Doublet",103,0,6,0,1.0018830180067,109,0.944954128440367,0.472477059885532,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.12956742963401,1,0,0,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,6.77303288351312,59,1,0.499999991525424,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,0.472780412239547,2,1,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC2_1",81,0,6,0,0.717501298966512,87,0.931034482758621,0.465517236028538,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC2_2",21,0,4,0,0.519739286860183,25,0.84,0.419999983200001,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.777784463911135,5,1,0.49999990000002,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.321420636070388,1,0,0,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD14 Mono",75,8,10,1,0.684774624453035,94,0.808510638297872,0.496732014780641,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD16 Mono",44,3,7,0,0.557859591568172,54,0.814814814814815,0.431372540561323,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD4 CTL",0,1,0,1,-0.0281535123584712,2,0.5,0.249999875000062,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.748939071514693,28,0.571428571428571,0.499999968750002,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD4 TCM_1",1,2,8,9,-0.155650051431585,20,0.5,0.464646421283547,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD4 TCM_2",1,1,4,4,-0.271284220283806,10,0.5,0.49999990000002,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD4 TCM_3",1,0,12,4,-0.490810003820339,17,0.294117647058824,0.53846141050299,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.626326124865733,2,0.5,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.328945234380468,7,0.285714285714286,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD8 Naive",1,0,21,14,-0.609006703296849,36,0.416666666666667,0.522727235979932,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.376326687727629,2,0.5,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD8 Proliferating",1,0,1,0,0.241758716151072,2,0.5,0.249999875000062,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.277231310006514,2,1,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD8 TCM_2",0,1,2,0,-0.328726372846432,3,0,0,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.471485447291546,3,0.333333333333333,0.4999995000005,"AddModuleScore","Standard",FALSE,"gmm_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.29320043040013,7,0.285714285714286,0.499999750000125,"AddModuleScore","Standard",FALSE,"gmm_platelet"
