"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,2,0,34,-0.477728631339254,36,0.944444444444444,0.472222209104939,"AddModuleScore","Standard",FALSE,"youden"
"B-cells","B intermediate lambda",0,16,0,150,-0.488867088615474,166,0.903614457831325,0.451807226193932,"AddModuleScore","Standard",FALSE,"youden"
"B-cells","B memory kappa",0,2,1,42,-0.570569737769549,45,0.933333333333333,0.47727271642562,"AddModuleScore","Standard",FALSE,"youden"
"B-cells","B memory lambda",0,0,0,34,-0.631034068539543,34,1,0.499999985294118,"AddModuleScore","Standard",FALSE,"youden"
"B-cells","B naive kappa",0,2,1,245,-0.713347553259673,248,0.987903225806452,0.495951414996148,"AddModuleScore","Standard",FALSE,"youden"
"B-cells","B naive lambda",0,1,0,19,-0.684136019434147,20,0.95,0.474999976250001,"AddModuleScore","Standard",FALSE,"youden"
"B-cells","Plasma",0,0,0,1,-0.654770170164325,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",29927,164,3203,23,0.753747948543711,33317,0.898940480835609,0.51315745263403,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",447,6,39,0,0.648811954797495,492,0.908536585365854,0.459876542263629,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","Doublet",132,0,8,0,1.05504857747353,140,0.942857142857143,0.471428568061225,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","Eryth",8,0,3,0,0.266662726198912,11,0.727272727272727,0.363636330578515,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.168629891245331,1,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,9.74167435302268,62,1,0.499999991935484,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.606079869987799,3,1,0.499999833333389,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","cDC2_1",158,0,7,0,0.848226507550021,165,0.957575757575758,0.478787875886134,"AddModuleScore","Standard",FALSE,"youden"
"Classical-Monocytes","cDC2_2",40,0,4,0,0.503440664829348,44,0.909090909090909,0.454545444214876,"AddModuleScore","Standard",FALSE,"youden"
