"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.477728631339254,36,1,0.499999986111112,"AddModuleScore","Standard",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.488867088615474,166,0.993975903614458,0.496987948813326,"AddModuleScore","Standard",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.570569737769549,45,0.977777777777778,0.499999988636364,"AddModuleScore","Standard",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.631034068539543,34,1,0.499999985294118,"AddModuleScore","Standard",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.713347553259673,248,0.995967741935484,0.499999997975708,"AddModuleScore","Standard",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.684136019434147,20,1,0.499999975000001,"AddModuleScore","Standard",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.654770170164325,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30217,170,2913,17,0.753747948543711,33317,0.907464657682264,0.501491369827952,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",455,6,31,0,0.648811954797495,492,0.92479674796748,0.468106994921591,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",129,0,11,0,1.05504857747353,140,0.921428571428571,0.460714282423469,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.266662726198912,11,0.818181818181818,0.40909087190083,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.168629891245331,1,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",18,0,44,0,9.74167435302268,62,0.290322580645161,0.14516128798127,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.606079869987799,3,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",64,0,101,0,0.848226507550021,165,0.387878787878788,0.193939392764004,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",0,0,44,0,0.503440664829348,44,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.786579542755579,5,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,0.256454117517317,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",79,5,29,4,0.7083687270337,117,0.709401709401709,0.587962934885119,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",56,5,9,0,0.52656593847154,70,0.8,0.430769224142012,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.288150381238233,5,0.4,0.499999750000125,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.80471030369442,40,0.525,0.499999976190477,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.336766824180528,29,0.517241379310345,0.499999966666669,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.279459831659818,5,0.4,0.499999750000125,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.346815921109547,22,0.227272727272727,0.49999990000002,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.67143576214828,3,0.666666666666667,0.499999750000125,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.322879324774095,8,0.375,0.499999833333389,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.651890755558135,44,0.340909090909091,0.499999966666669,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.0782498866865715,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-0.0871974231335946,1,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-0.288427927706168,2,1,0.499999750000125,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.14486832927859,4,0.5,0.499999750000125,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.527106740991181,3,0.333333333333333,0.4999995000005,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.468474817638755,9,0.222222222222222,0.499999750000125,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,-0.233576217363907,2,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,0.0319573890800956,7,0.714285714285714,0.49999990000002,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,0.634890237413643,1,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,2.13973781051608,17,0.764705882352941,0.874999476563001,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.016677843897524,1,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.128385869348879,3,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,0.374970230084364,1,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,0.666433809852096,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,-0.279962708777902,1,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,0.253979242614917,1,1,0.4999995000005,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","Platelet","other",1,0,19,2,8.89571187442233,22,0.136363636363636,0.524999748750125,"AddModuleScore","Standard",FALSE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.239596207614248,2,0,0,"AddModuleScore","Standard",FALSE,"youden_dual"
