"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.382430197380816,36,1,0.499999986111112,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,166,-0.419437156827985,166,1,0.499999996987952,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,1,44,-0.417264596287151,45,0.977777777777778,0.499999988636364,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,34,-0.418314245130231,34,1,0.499999985294118,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,247,-0.541232677699101,248,0.995967741935484,0.499999997975708,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.491910720259223,20,1,0.499999975000001,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,-0.347777619973785,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",1411,1,31719,186,0.540486677766161,33317,0.0479334874088303,0.518621099431602,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",4,0,482,6,0.381492603242329,492,0.0203252032520325,0.504115142995662,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",18,0,122,0,0.839096469581121,140,0.128571428571429,0.0642857138265306,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",0,0,11,0,0.608657237113606,11,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0033846371373281,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",58,0,4,0,12.5964609016884,62,0.935483870967742,0.467741927939646,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
