"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.278576966736479,28,1,0.499999982142858,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"B-cells","B intermediate lambda",0,4,0,138,-0.292429155295122,142,0.971830985915493,0.485915489535806,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.302381718221293,35,1,0.499999985714286,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.319637125492012,30,1,0.499999983333334,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"B-cells","B naive kappa",0,1,1,203,-0.38860712486963,205,0.990243902439024,0.497549017168877,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.347669694808355,15,1,0.499999966666669,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"B-cells","Plasma",0,0,0,2,-0.0923595161222173,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","CD14 Mono",21374,122,4194,27,0.347646815912701,25717,0.832173270599215,0.508587442992173,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","CD16 Mono",222,5,65,1,0.257900071199906,293,0.761092150170648,0.470092899978386,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","Doublet",97,0,12,0,0.660877390462271,109,0.889908256880734,0.444954124358219,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0182295521819201,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,8.81579819134705,59,1,0.499999991525424,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,0.300046377985134,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC2_1",78,0,9,0,0.323095207576092,87,0.896551724137931,0.448275856916369,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC2_2",18,0,7,0,0.209502203387331,25,0.72,0.359999985600001,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.654412772077321,5,1,0.49999990000002,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","ASDC_mDC",0,0,0,1,0.0321140515849087,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD14 Mono",74,7,11,2,0.333349960133307,94,0.808510638297872,0.546405211291385,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD16 Mono",39,2,12,1,0.29337200650269,54,0.740740740740741,0.549019544790484,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.116890761591819,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.410598769324996,28,0.571428571428571,0.499999968750002,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD4 TCM_1",0,1,9,10,-0.156323467379772,20,0.5,0.454545413223144,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD4 TCM_2",1,0,4,5,-0.269680550964113,10,0.6,0.599999880000024,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.32838422710256,17,0.235294117647059,0.499999875000031,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.36559804043253,2,0.5,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD4 TEM_3",1,0,4,2,-0.181003340514772,7,0.428571428571429,0.599999730000129,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.346443354290424,36,0.388888888888889,0.499999964285717,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.34509591332178,2,0.5,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 Proliferating",0,0,2,0,0.0152148287456299,2,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.211503323944539,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 TCM_2",0,1,2,0,-0.209445343685881,3,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.303842622194217,3,0.333333333333333,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.252049584810153,7,0.285714285714286,0.499999750000125,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 TEM_2",1,0,1,0,-0.128198747641167,2,0.5,0.249999875000062,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 TEM_4",1,0,1,2,-0.0709436600464629,4,0.75,0.749999625000187,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","CD8 TEM_5",0,0,1,0,0.0595421749434236,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","Doublet",13,0,2,1,1.78153561372343,16,0.875,0.933332804444946,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","HSPC",1,0,0,0,0.392833281531141,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","MAIT",0,0,2,0,-0.224750755238329,2,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","NK Proliferating",0,0,1,0,-0.0661795020767179,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","NK_1",0,1,0,0,0.181339043837826,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","NK_3",0,0,1,0,-0.48529185512233,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","NK_CD56bright",0,0,0,1,0.0426009044787524,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","Platelet",15,2,0,0,9.85257977312389,17,0.882352941176471,0.499999966666669,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","Treg Memory",0,0,2,0,-0.150966689514652,2,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","Treg Naive",0,0,3,1,-0.346074882842273,4,0.25,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","cDC2_1",8,0,0,0,0.423611021646635,8,1,0.499999937500008,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","cDC2_2",10,1,2,2,0.230370678636009,15,0.8,0.749999854166707,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","dnT_2",0,0,1,0,-0.251388286190287,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","gdT_1",0,0,1,0,-0.217015823608046,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","gdT_2",0,0,0,1,-0.42336776697666,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","gdT_3",0,0,0,1,-0.532620321350668,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"DCs","pDC",2,0,0,0,0.154091722940454,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Early-NK-cells","CD16 Mono",0,3,0,2,0.195870815479069,5,0.4,0.199999960000008,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.241245578874161,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.288361983854074,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.227757450961001,1,0,0,"AddModuleScore","Standard",TRUE,"gmm_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.382317412179392,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"gmm_platelet"
