"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.382430197380816,36,1,0.499999986111112,"AddModuleScore","Standard",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.419437156827985,166,1,0.499999996987952,"AddModuleScore","Standard",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.417264596287151,45,0.977777777777778,0.499999988636364,"AddModuleScore","Standard",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.418314245130231,34,1,0.499999985294118,"AddModuleScore","Standard",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.541232677699101,248,0.995967741935484,0.499999997975708,"AddModuleScore","Standard",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.491910720259223,20,1,0.499999975000001,"AddModuleScore","Standard",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.347777619973785,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",0,0,33130,187,0.540486677766161,33317,0.00561275024762133,0.499999997326203,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,486,6,0.381492603242329,492,0.0121951219512195,0.499999916666681,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","Doublet",0,0,140,0,0.839096469581121,140,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","Eryth",0,0,11,0,0.608657237113606,11,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0033846371373281,1,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","Platelet",54,0,8,0,12.5964609016884,62,0.870967741935484,0.435483863943809,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,0.449012857163059,3,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,165,0,0.592008923916612,165,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,0.239089560169844,44,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.687868614235063,5,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,0.00123528535596115,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD14 Mono",0,0,108,9,0.491481334984361,117,0.0769230769230769,0.499999944444451,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD16 Mono",0,0,65,5,0.315886427527747,70,0.0714285714285714,0.49999990000002,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.297848636535498,5,0.4,0.499999750000125,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.488296897230393,40,0.525,0.499999976190477,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.233142593473438,29,0.517241379310345,0.499999966666669,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.321897074007121,5,0.4,0.499999750000125,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.276735105673696,22,0.227272727272727,0.49999990000002,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.371324072729566,3,0.666666666666667,0.499999750000125,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,-0.225683364123946,8,0.375,0.499999833333389,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.410237383397163,44,0.340909090909091,0.499999966666669,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-0.0957717213688326,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,-0.223355290459249,1,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.249117550512512,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-0.110247457899362,4,0.5,0.499999750000125,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.373492593365392,3,0.333333333333333,0.4999995000005,"AddModuleScore","Standard",TRUE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,-0.366596717970424,9,0.222222222222222,0.499999750000125,"AddModuleScore","Standard",TRUE,"kmeans"
