"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,-0.278576966736479,28,"AddModuleScore","Standard",TRUE,"percentile"
"B-cells","B intermediate lambda",0,0,-0.292429155295122,142,"AddModuleScore","Standard",TRUE,"percentile"
"B-cells","B memory kappa",0,0,-0.302381718221293,35,"AddModuleScore","Standard",TRUE,"percentile"
"B-cells","B memory lambda",0,0,-0.319637125492012,30,"AddModuleScore","Standard",TRUE,"percentile"
"B-cells","B naive kappa",0,0,-0.38860712486963,205,"AddModuleScore","Standard",TRUE,"percentile"
"B-cells","B naive lambda",0,0,-0.347669694808355,15,"AddModuleScore","Standard",TRUE,"percentile"
"B-cells","Plasma",0,0,-0.0923595161222173,2,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","CD14 Mono",47,8182,0.347646815912701,25717,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","CD16 Mono",1,57,0.257900071199906,293,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","Doublet",0,50,0.660877390462271,109,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","HSPC",0,0,-0.0182295521819201,1,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","Platelet",0,57,8.81579819134705,59,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC1",0,0,0.300046377985134,2,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC2_1",0,25,0.323095207576092,87,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC2_2",0,2,0.209502203387331,25,"AddModuleScore","Standard",TRUE,"percentile"
"Classical-Monocytes","pDC",0,1,0.654412772077321,5,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","ASDC_mDC",0,0,0.0321140515849087,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD14 Mono",4,21,0.333349960133307,94,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD16 Mono",0,10,0.29337200650269,54,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD4 CTL",0,0,-0.116890761591819,2,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD4 Naive",0,0,-0.410598769324996,28,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD4 TCM_1",0,0,-0.156323467379772,20,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD4 TCM_2",0,0,-0.269680550964113,10,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD4 TCM_3",0,0,-0.32838422710256,17,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD4 TEM_1",0,0,-0.36559804043253,2,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD4 TEM_3",0,0,-0.181003340514772,7,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 Naive",0,0,-0.346443354290424,36,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 Naive_2",0,0,-0.34509591332178,2,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 Proliferating",0,0,0.0152148287456299,2,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 TCM_1",0,0,-0.211503323944539,2,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 TCM_2",0,0,-0.209445343685881,3,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 TCM_3",0,0,-0.303842622194217,3,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 TEM_1",0,0,-0.252049584810153,7,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 TEM_2",0,0,-0.128198747641167,2,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 TEM_4",0,0,-0.0709436600464629,4,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","CD8 TEM_5",0,0,0.0595421749434236,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","Doublet",0,13,1.78153561372343,16,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","HSPC",0,0,0.392833281531141,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","MAIT",0,0,-0.224750755238329,2,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","NK Proliferating",0,0,-0.0661795020767179,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","NK_1",0,0,0.181339043837826,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","NK_3",0,0,-0.48529185512233,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","NK_CD56bright",0,0,0.0426009044787524,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","Platelet",2,15,9.85257977312389,17,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","Treg Memory",0,0,-0.150966689514652,2,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","Treg Naive",0,0,-0.346074882842273,4,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","cDC2_1",0,4,0.423611021646635,8,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","cDC2_2",0,2,0.230370678636009,15,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","dnT_2",0,0,-0.251388286190287,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","gdT_1",0,0,-0.217015823608046,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","gdT_2",0,0,-0.42336776697666,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","gdT_3",0,0,-0.532620321350668,1,"AddModuleScore","Standard",TRUE,"percentile"
"DCs","pDC",0,0,0.154091722940454,2,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","CD16 Mono",1,0,0.195870815479069,5,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","CD4 Naive",0,0,-0.241245578874161,1,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","CD4 TCM_1",0,0,-0.288361983854074,1,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_1",0,0,-0.227757450961001,1,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_2",0,0,-0.382317412179392,2,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_4",0,0,-0.325807010282248,5,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_5",0,0,-0.29681669494758,16,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","NK Proliferating",0,0,-0.140303788544326,21,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","NK_1",3,2,-0.136054032978783,559,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","NK_2",6,0,-0.0133408107441688,215,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","NK_3",0,0,-0.165210422150145,37,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","NK_4",0,0,-0.0902072152471085,17,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","NK_CD56bright",0,0,-0.318956794668135,1,"AddModuleScore","Standard",TRUE,"percentile"
"Early-NK-cells","gdT_2",0,0,-0.181455152742332,1,"AddModuleScore","Standard",TRUE,"percentile"
"Intermediate-Monocytes","CD14 Mono",4,121,0.331281589718365,497,"AddModuleScore","Standard",TRUE,"percentile"
"Intermediate-Monocytes","CD16 Mono",3,290,0.258683967919002,1561,"AddModuleScore","Standard",TRUE,"percentile"
"Intermediate-Monocytes","Doublet",0,102,2.08564057904057,109,"AddModuleScore","Standard",TRUE,"percentile"
"Intermediate-Monocytes","Platelet",0,2,7.41916684873811,3,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","ASDC_mDC",0,0,0.214722315960399,7,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","ASDC_pDC",0,0,0.157285856622809,3,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","B intermediate kappa",0,0,-0.333432272731232,4,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","B intermediate lambda",0,0,-0.123371952145858,1,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","B memory kappa",0,0,-0.129802383968589,3,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","B memory lambda",0,0,-0.10844804691019,1,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","B naive kappa",0,0,-0.325417140521064,1,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD14 Mono",1,1,0.600904808105844,6,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD16 Mono",25,65,0.146251105875589,1268,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD4 CTL",0,0,-0.211499844619943,1,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD4 Naive",0,0,-0.377586189638766,78,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD4 TCM_1",0,0,-0.388217359179964,5,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD4 TEM_2",0,0,-0.236459035708825,1,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 Naive",0,0,-0.321733481907943,242,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 Naive_2",0,0,-0.35809349390772,3,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 Proliferating",0,0,-0.221384195706695,2,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TCM_1",0,0,-0.24806955463775,5,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TCM_2",0,0,-0.287128669419146,9,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_1",0,0,-0.339469710171972,34,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_2",0,0,-0.169751080340638,65,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_3",0,0,-0.272248862161986,8,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_4",1,0,-0.182389564477811,33,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_5",1,0,-0.194445162088722,49,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","CD8 TEM_6",0,0,-0.25966004251938,65,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","Doublet",0,14,2.10197463326735,16,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","HSPC",4,0,0.104816183516053,26,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","ILC",1,0,-0.114183937994696,76,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","MAIT",0,1,-0.241855790553119,11,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","NK Proliferating",3,0,-0.202756862936657,349,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","NK_1",28,0,-0.115135110116316,1881,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","NK_2",160,1,-0.0426795934445798,6708,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","NK_3",11,1,-0.113333936271152,1657,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","NK_4",18,1,-0.106333418350712,1148,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","NK_CD56bright",1,0,-0.204095916460706,605,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","Plasma",0,0,-0.195709408869439,1,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","Plasmablast",0,0,-0.170205663042472,1,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","Platelet",1,2,2.27300174976368,7,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","Treg Memory",0,0,-0.277168716137247,3,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","Treg Naive",0,0,-0.298480710893329,10,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","cDC1",0,3,0.344492759918083,5,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","cDC2_1",0,0,0.353959394458934,2,"AddModuleScore","Standard",TRUE,"percentile"
"Late-NK-cells","cDC2_2",1,3,0.146506218194225,97,"AddModuleScore","Standard",TRUE,"percentile"
