"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,35,-0.382430197380816,36,0.972222222222222,0.486111097608025,"AddModuleScore","Standard",TRUE,"youden"
"B-cells","B intermediate lambda",0,5,0,161,-0.419437156827985,166,0.969879518072289,0.484939756114821,"AddModuleScore","Standard",TRUE,"youden"
"B-cells","B memory kappa",0,1,1,43,-0.417264596287151,45,0.955555555555556,0.488636352530992,"AddModuleScore","Standard",TRUE,"youden"
"B-cells","B memory lambda",0,0,0,34,-0.418314245130231,34,1,0.499999985294118,"AddModuleScore","Standard",TRUE,"youden"
"B-cells","B naive kappa",0,0,1,247,-0.541232677699101,248,0.995967741935484,0.499999997975708,"AddModuleScore","Standard",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.491910720259223,20,1,0.499999975000001,"AddModuleScore","Standard",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-0.347777619973785,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",30207,168,2923,19,0.540486677766161,33317,0.907224540024612,0.506688042766492,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",427,6,59,0,0.381492603242329,492,0.867886178861789,0.439300410618723,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","Doublet",128,0,12,0,0.839096469581121,140,0.914285714285714,0.457142853877551,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","Eryth",11,0,0,0,0.608657237113606,11,1,0.499999954545459,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0033846371373281,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,12.5964609016884,62,1,0.499999991935484,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.449012857163059,3,1,0.499999833333389,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","cDC2_1",158,0,7,0,0.592008923916612,165,0.957575757575758,0.478787875886134,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","cDC2_2",39,0,5,0,0.239089560169844,44,0.886363636363636,0.443181808109504,"AddModuleScore","Standard",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.687868614235063,5,1,0.49999990000002,"AddModuleScore","Standard",TRUE,"youden"
"DCs","ASDC_mDC",0,0,0,1,0.00123528535596115,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD14 Mono",99,8,9,1,0.491481334984361,117,0.854700854700855,0.513888878472223,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD16 Mono",54,4,11,1,0.315886427527747,70,0.785714285714286,0.515384588994087,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD4 CTL",0,1,3,1,-0.297848636535498,5,0.2,0.249999875000062,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD4 Naive",0,0,19,21,-0.488296897230393,40,0.525,0.499999976190477,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD4 TCM_1",1,2,13,13,-0.233142593473438,29,0.482758620689655,0.469047587607712,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD4 TCM_2",1,0,2,2,-0.321897074007121,5,0.6,0.666666361111255,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD4 TCM_3",2,1,15,4,-0.276735105673696,22,0.272727272727273,0.458823445951573,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,-0.371324072729566,3,0.666666666666667,0.499999750000125,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD4 TEM_3",1,0,4,3,-0.225683364123946,8,0.5,0.599999813333393,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 Naive",2,0,27,15,-0.410237383397163,44,0.386363636363636,0.534482724098298,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,0,1,-0.0957717213688326,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 Proliferating",0,0,1,0,-0.223355290459249,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.249117550512512,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 TCM_2",0,2,2,0,-0.110247457899362,4,0,0,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.373492593365392,3,0.333333333333333,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 TEM_1",0,1,7,1,-0.366596717970424,9,0.111111111111111,0.249999875000062,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 TEM_2",1,0,1,0,-0.201797801932054,2,0.5,0.249999875000062,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 TEM_4",2,1,0,4,-0.117274178282642,7,0.857142857142857,0.899999670000141,"AddModuleScore","Standard",TRUE,"youden"
"DCs","CD8 TEM_5",1,0,0,0,0.143938155237774,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","Doublet",14,0,2,1,2.59146575171378,17,0.882352941176471,0.937499472656752,"AddModuleScore","Standard",TRUE,"youden"
"DCs","HSPC",1,0,0,0,0.236491012231717,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","MAIT",1,0,2,0,-0.138171787712649,3,0.333333333333333,0.16666661111113,"AddModuleScore","Standard",TRUE,"youden"
"DCs","NK Proliferating",0,0,1,0,-0.120151572245789,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"DCs","NK_1",0,1,0,0,0.2984969386477,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"DCs","NK_2",0,0,1,0,-0.361994659941133,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.0363142568296798,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","Platelet",19,2,1,0,11.9199639765151,22,0.863636363636364,0.474999976250001,"AddModuleScore","Standard",TRUE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.263745868295195,2,0,0,"AddModuleScore","Standard",TRUE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.365708685579439,4,0.25,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","cDC2_1",16,0,0,0,0.436790935247872,16,1,0.499999968750002,"AddModuleScore","Standard",TRUE,"youden"
"DCs","cDC2_2",32,10,6,3,0.23647506542227,51,0.686274509803922,0.536437227007492,"AddModuleScore","Standard",TRUE,"youden"
"DCs","gdT_1",0,0,1,0,-0.3841824277227,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"DCs","gdT_2",0,1,0,1,0.0717037103658314,2,0.5,0.249999875000062,"AddModuleScore","Standard",TRUE,"youden"
"DCs","gdT_3",0,0,0,1,-0.598018038073215,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","gdT_4",1,0,0,0,0.0307961847091703,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"DCs","pDC",2,0,1,0,0.426762212985519,3,0.666666666666667,0.333333222222259,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","CD16 Mono",0,4,1,1,0.12223237416083,6,0.166666666666667,0.099999980000004,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.258967154887272,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.269839141923526,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.26844179054194,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.394778885878251,2,1,0.499999750000125,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.413501566913283,5,1,0.49999990000002,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","CD8 TEM_5",0,1,1,15,-0.377102898598688,17,0.882352941176471,0.468749970703127,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","NK Proliferating",0,3,0,27,-0.267463658919835,30,0.9,0.449999985,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","NK_1",6,191,6,529,-0.169719752141606,732,0.730874316939891,0.617361089767556,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","NK_2",2,124,2,160,-0.0232250835886093,288,0.5625,0.531690077353219,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","NK_3",0,9,1,30,-0.207034474126103,40,0.75,0.384615374753452,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","NK_4",0,8,0,11,-0.105298599253055,19,0.578947368421053,0.28947366897507,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.528067906881607,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","cDC2_2",0,1,0,0,0.199623960000719,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","gdT_2",0,0,0,1,-0.198828043707957,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden"
"Early-NK-cells","pDC",0,1,0,0,0.0957513829033748,1,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Intermediate-Monocytes","CD14 Mono",532,12,81,4,0.494612233173755,629,0.85214626391097,0.558931475982066,"AddModuleScore","Standard",TRUE,"youden"
