"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.382430197380816,36,1,0.499999986111112,"AddModuleScore","Standard",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.419437156827985,166,0.993975903614458,0.496987948813326,"AddModuleScore","Standard",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.417264596287151,45,0.977777777777778,0.499999988636364,"AddModuleScore","Standard",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.418314245130231,34,1,0.499999985294118,"AddModuleScore","Standard",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.541232677699101,248,0.995967741935484,0.499999997975708,"AddModuleScore","Standard",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.491910720259223,20,1,0.499999975000001,"AddModuleScore","Standard",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.347777619973785,1,1,0.4999995000005,"AddModuleScore","Standard",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30251,170,2879,17,0.540486677766161,33317,0.908485157727286,0.502004499921508,"AddModuleScore","Standard",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",455,6,31,0,0.381492603242329,492,0.92479674796748,0.468106994921591,"AddModuleScore","Standard",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",129,0,11,0,0.839096469581121,140,0.921428571428571,0.460714282423469,"AddModuleScore","Standard",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.608657237113606,11,0.818181818181818,0.40909087190083,"AddModuleScore","Standard",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.0033846371373281,1,0,0,"AddModuleScore","Standard",TRUE,"youden_dual"
