"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.538696088471389,28,0.964285714285714,0.48214283992347,"UCell","Standard",FALSE,"gmm_platelet"
"B-cells","B intermediate lambda",0,11,0,131,-0.357817935949995,142,0.922535211267606,0.461267602385439,"UCell","Standard",FALSE,"gmm_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.580011807494231,35,1,0.499999985714286,"UCell","Standard",FALSE,"gmm_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.622693592250536,30,1,0.499999983333334,"UCell","Standard",FALSE,"gmm_platelet"
"B-cells","B naive kappa",0,2,1,202,-0.61096792281667,205,0.985365853658537,0.495098036788735,"UCell","Standard",FALSE,"gmm_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.690592418973579,15,1,0.499999966666669,"UCell","Standard",FALSE,"gmm_platelet"
"B-cells","Plasma",0,0,0,2,-0.723993244117706,2,1,0.499999750000125,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","CD14 Mono",20810,116,4758,33,0.930470345977534,25717,0.810475560913015,0.517692259280689,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","CD16 Mono",242,5,45,1,0.890695825656049,293,0.829351535836177,0.504936105431893,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","Doublet",98,0,11,0,1.25671653456588,109,0.899082568807339,0.449541280279438,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,0.165760093991042,1,0,0,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,5.24111809045585,59,1,0.499999991525424,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC1",1,0,1,0,0.410733108310342,2,0.5,0.249999875000062,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC2_1",80,0,7,0,1.1085316675292,87,0.919540229885057,0.459770109657815,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC2_2",22,0,3,0,0.839396158015445,25,0.88,0.439999982400001,"UCell","Standard",FALSE,"gmm_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.870109531455507,5,1,0.49999990000002,"UCell","Standard",FALSE,"gmm_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.685405553709279,1,0,0,"UCell","Standard",FALSE,"gmm_platelet"
"DCs","CD14 Mono",67,7,18,2,0.853230079759915,94,0.734042553191489,0.505228741187579,"UCell","Standard",FALSE,"gmm_platelet"
"DCs","CD16 Mono",36,2,15,1,0.679450253775878,54,0.685185185185185,0.519607780661303,"UCell","Standard",FALSE,"gmm_platelet"
"DCs","CD4 CTL",0,1,0,1,-0.0359879521645817,2,0.5,0.249999875000062,"UCell","Standard",FALSE,"gmm_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.887103654617178,28,0.571428571428571,0.499999968750002,"UCell","Standard",FALSE,"gmm_platelet"
