"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,4,0,32,-0.524545800594934,36,0.888888888888889,0.444444432098766,"UCell","Standard",FALSE,"youden"
"B-cells","B intermediate lambda",0,26,0,140,-0.407557404358495,166,0.843373493975904,0.42168674444767,"UCell","Standard",FALSE,"youden"
"B-cells","B memory kappa",0,4,1,40,-0.573206597518804,45,0.888888888888889,0.454545444214876,"UCell","Standard",FALSE,"youden"
"B-cells","B memory lambda",0,1,0,33,-0.670751878301153,34,0.970588235294118,0.485294103373703,"UCell","Standard",FALSE,"youden"
"B-cells","B naive kappa",0,6,1,241,-0.655849755826306,248,0.971774193548387,0.487854249037027,"UCell","Standard",FALSE,"youden"
"B-cells","B naive lambda",0,1,0,19,-0.731260153319736,20,0.95,0.474999976250001,"UCell","Standard",FALSE,"youden"
"B-cells","Plasma",0,0,0,1,-0.879408048480611,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",29060,151,4070,36,0.960206317690368,33317,0.873307920881232,0.534831993351261,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",452,6,34,0,0.954447004977717,492,0.91869918699187,0.465020575174855,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","Doublet",131,0,9,0,1.27566623175782,140,0.935714285714286,0.467857139515306,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","Eryth",8,0,3,0,0.544719428722366,11,0.727272727272727,0.363636330578515,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","HSPC",1,0,0,0,0.402479233515013,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,7.01489380680478,62,1,0.499999991935484,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.596918046298252,3,1,0.499999833333389,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","cDC2_1",161,0,4,0,1.25488034596976,165,0.975757575757576,0.487878784921947,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","cDC2_2",40,0,4,0,0.8510801893353,44,0.909090909090909,0.454545444214876,"UCell","Standard",FALSE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.799862334152583,5,1,0.49999990000002,"UCell","Standard",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.600114122053491,1,0,0,"UCell","Standard",FALSE,"youden"
"DCs","CD14 Mono",91,8,17,1,0.879115981585335,117,0.786324786324786,0.476851841778121,"UCell","Standard",FALSE,"youden"
"DCs","CD16 Mono",54,2,11,3,0.629549700219125,70,0.814285714285714,0.715384548994095,"UCell","Standard",FALSE,"youden"
"DCs","CD4 CTL",0,1,3,1,-0.320277424213431,5,0.2,0.249999875000062,"UCell","Standard",FALSE,"youden"
"DCs","CD4 Naive",0,0,19,21,-0.874178551058639,40,0.525,0.499999976190477,"UCell","Standard",FALSE,"youden"
"DCs","CD4 TCM_1",1,2,13,13,-0.408397348773251,29,0.482758620689655,0.469047587607712,"UCell","Standard",FALSE,"youden"
"DCs","CD4 TCM_2",0,0,3,2,-0.286464247243679,5,0.4,0.499999750000125,"UCell","Standard",FALSE,"youden"
"DCs","CD4 TCM_3",2,0,15,5,-0.338215769992207,22,0.318181818181818,0.558823425951577,"UCell","Standard",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,-0.827814254145977,3,0.666666666666667,0.499999750000125,"UCell","Standard",FALSE,"youden"
"DCs","CD4 TEM_3",0,0,5,3,-0.259059528293368,8,0.375,0.499999833333389,"UCell","Standard",FALSE,"youden"
"DCs","CD8 Naive",0,0,29,15,-0.739000111915874,44,0.340909090909091,0.499999966666669,"UCell","Standard",FALSE,"youden"
"DCs","CD8 Naive_2",0,0,0,1,-0.283372533145749,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"DCs","CD8 Proliferating",0,0,1,0,-0.445198328018348,1,0,0,"UCell","Standard",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.482866363705136,2,1,0.499999750000125,"UCell","Standard",FALSE,"youden"
"DCs","CD8 TCM_2",0,1,2,1,-0.295798092969704,4,0.25,0.249999875000062,"UCell","Standard",FALSE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.604545533529735,3,0.333333333333333,0.4999995000005,"UCell","Standard",FALSE,"youden"
"DCs","CD8 TEM_1",0,0,7,2,-0.526035128412854,9,0.222222222222222,0.499999750000125,"UCell","Standard",FALSE,"youden"
"DCs","CD8 TEM_2",1,0,1,0,-0.0418079094816378,2,0.5,0.249999875000062,"UCell","Standard",FALSE,"youden"
"DCs","CD8 TEM_4",1,0,1,5,-0.183968054554119,7,0.857142857142857,0.749999775000082,"UCell","Standard",FALSE,"youden"
"DCs","CD8 TEM_5",1,0,0,0,0.354733775293838,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"DCs","Doublet",14,0,2,1,2.07924493637267,17,0.882352941176471,0.937499472656752,"UCell","Standard",FALSE,"youden"
"DCs","HSPC",1,0,0,0,0.485838107294611,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"DCs","MAIT",1,0,2,0,-0.0217509034665943,3,0.333333333333333,0.16666661111113,"UCell","Standard",FALSE,"youden"
"DCs","NK Proliferating",1,0,0,0,0.617725151725238,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"DCs","NK_1",0,1,0,0,0.93217987041963,1,0,0,"UCell","Standard",FALSE,"youden"
"DCs","NK_2",0,0,1,0,-0.311745858728007,1,0,0,"UCell","Standard",FALSE,"youden"
"DCs","NK_CD56bright",0,1,0,0,0.803423675708425,1,0,0,"UCell","Standard",FALSE,"youden"
"DCs","Platelet",19,2,1,0,6.42811082462167,22,0.863636363636364,0.474999976250001,"UCell","Standard",FALSE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.332487738119172,2,0,0,"UCell","Standard",FALSE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.752168359102246,4,0.25,0.4999995000005,"UCell","Standard",FALSE,"youden"
"DCs","cDC2_1",16,0,0,0,1.21268443746905,16,1,0.499999968750002,"UCell","Standard",FALSE,"youden"
"DCs","cDC2_2",38,11,0,2,0.911929104709942,51,0.784313725490196,0.576923057848023,"UCell","Standard",FALSE,"youden"
"DCs","gdT_1",0,0,1,0,-0.609567938287972,1,0,0,"UCell","Standard",FALSE,"youden"
"DCs","gdT_2",0,1,0,1,-0.0804543357057466,2,0.5,0.249999875000062,"UCell","Standard",FALSE,"youden"
"DCs","gdT_3",0,0,0,1,-0.974507608708036,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"DCs","gdT_4",1,0,0,0,0.165513045376303,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"DCs","pDC",2,0,1,0,0.480554798393086,3,0.666666666666667,0.333333222222259,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","CD16 Mono",1,4,0,1,0.505862500291743,6,0.333333333333333,0.599999480000504,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.726974802766279,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,0.022080992605305,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.440110697224287,1,0,0,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.517501388726235,2,1,0.499999750000125,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.661187823036934,5,1,0.49999990000002,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","CD8 TEM_5",0,2,1,14,-0.525932813062546,17,0.823529411764706,0.437499972656252,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","NK Proliferating",0,7,0,23,-0.104803214877831,30,0.766666666666667,0.383333320555556,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","NK_1",4,189,8,531,-0.176943691671841,732,0.730874316939891,0.535416652265626,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","NK_2",2,125,2,159,0.0880673194066282,288,0.559027777777778,0.529929513979137,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","NK_3",0,10,1,29,-0.225143620317197,40,0.725,0.37179486226167,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","NK_4",0,10,0,9,0.0890646984445073,19,0.473684210526316,0.236842092797785,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.078436287554893,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","cDC2_2",0,1,0,0,1.20006319953763,1,0,0,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","gdT_2",0,0,0,1,-0.0781061984161808,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden"
"Early-NK-cells","pDC",0,1,0,0,0.787965105218782,1,0,0,"UCell","Standard",FALSE,"youden"
"Intermediate-Monocytes","CD14 Mono",492,10,121,6,0.824420963249397,629,0.791732909379968,0.588805044722841,"UCell","Standard",FALSE,"youden"
"Intermediate-Monocytes","CD16 Mono",1847,31,260,2,0.777162759303097,2140,0.864018691588785,0.468603930932787,"UCell","Standard",FALSE,"youden"
