"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.524545800594934,36,1,0.499999986111112,"UCell","Standard",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.407557404358495,166,0.987951807228916,0.493975900638699,"UCell","Standard",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.573206597518804,45,0.977777777777778,0.499999988636364,"UCell","Standard",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.670751878301153,34,1,0.499999985294118,"UCell","Standard",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.655849755826306,248,0.995967741935484,0.499999997975708,"UCell","Standard",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.731260153319736,20,1,0.499999975000001,"UCell","Standard",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.879408048480611,1,1,0.4999995000005,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30145,163,2985,24,0.960206317690368,33317,0.90551370171384,0.51912131883456,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",456,6,30,0,0.954447004977717,492,0.926829268292683,0.469135801503836,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",131,0,9,0,1.27566623175782,140,0.935714285714286,0.467857139515306,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.544719428722366,11,0.909090909090909,0.454545413223144,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,0.402479233515013,1,0,0,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,7.01489380680478,62,0.112903225806452,0.0564516119927159,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.596918046298252,3,0,0,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",99,0,66,0,1.25488034596976,165,0.6,0.299999998181818,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",12,0,32,0,0.8510801893353,44,0.272727272727273,0.136363633264463,"UCell","Standard",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.799862334152583,5,0,0,"UCell","Standard",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,0.600114122053491,1,0,0,"UCell","Standard",FALSE,"youden_dual"
