"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.363878955800913,28,1,0.499999982142858,"UCell","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,142,-0.276471822802283,142,1,0.499999996478873,"UCell","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.372071199923007,35,1,0.499999985714286,"UCell","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.377879904518169,30,1,0.499999983333334,"UCell","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.415666421679798,205,0.995121951219512,0.49999999754902,"UCell","Standard",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.393934075473584,15,1,0.499999966666669,"UCell","Standard",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,2,-0.431267905516592,2,1,0.499999750000125,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",233,0,25335,149,0.498534320478203,25717,0.0148539876346386,0.504556473490175,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",0,0,287,6,0.436012209944345,293,0.0204778156996587,0.499999916666681,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",15,0,94,0,0.879128728766554,109,0.137614678899083,0.0688073388182813,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0325575775434461,1,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",56,0,3,0,8.46313620868468,59,0.949152542372881,0.474576263142775,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,0.317182273967906,2,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",0,0,87,0,0.57841874003771,87,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",0,0,25,0,0.415925278558293,25,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",1,0,4,0,0.828199541722044,5,0.2,0.099999980000004,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,0.420985889566497,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",1,0,84,9,0.460831660398773,94,0.106382978723404,0.505882297316423,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",0,0,51,3,0.356819566619353,54,0.0555555555555556,0.499999833333389,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.137642111037417,2,1,0.499999750000125,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.566834062114333,28,0.571428571428571,0.499999968750002,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.221172737637995,20,0.55,0.499999954545459,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.283223356454525,10,0.5,0.49999990000002,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.325992103739598,17,0.235294117647059,0.499999875000031,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.433287814505459,2,0.5,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.135284377548671,7,0.285714285714286,0.499999750000125,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.452175879454197,36,0.388888888888889,0.499999964285717,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.292928772815665,2,0.5,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,-0.061181165897875,2,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.334755668707076,2,1,0.499999750000125,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.344510351141117,3,0.333333333333333,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.393086699019718,3,0.333333333333333,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.298003178324282,7,0.285714285714286,0.499999750000125,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.0375334509062632,2,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,2,-0.12714843750989,4,0.5,0.499999750000125,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,0.0142451917107837,1,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","Doublet",8,0,7,1,2.07804409327164,16,0.5625,0.76666614888939,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,0.548683550521198,1,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","MAIT",0,0,2,0,-0.221394434966041,2,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,-0.334460072269682,1,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,0.414581300089603,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","NK_3",0,0,1,0,-0.37781421642097,1,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,0.252495920251268,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","Platelet",15,2,0,0,9.30956496602979,17,0.882352941176471,0.499999966666669,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.156215420520413,2,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.528001839654151,4,0.25,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","cDC2_1",0,0,8,0,0.74872843952836,8,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","cDC2_2",0,0,12,3,0.507142397852602,15,0.2,0.499999833333389,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-0.314458046672611,1,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,-0.319680250399927,1,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,1,-0.458117915246648,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.632618345455579,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"DCs","pDC",0,0,2,0,0.0766653060740578,2,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",0,0,0,5,0.278350755308763,5,1,0.49999990000002,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.446688186334037,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.165674506517057,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.254254905589802,1,0,0,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.406831933358592,2,1,0.499999750000125,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.409265677359813,5,1,0.49999990000002,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,-0.324637648985406,16,0.9375,0.499999966666669,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK Proliferating",0,0,0,21,-0.0512786852451379,21,1,0.499999976190477,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_1",0,0,10,549,-0.140898166606757,559,0.98211091234347,0.499999999089253,"UCell","Standard",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_2",0,0,4,211,0.00316330418729365,215,0.981395348837209,0.499999997630332,"UCell","Standard",TRUE,"gmm_dist_platelet"
