"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.363878955800913,28,1,0.499999982142858,"UCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.276471822802283,142,1,0.499999996478873,"UCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B memory kappa",0,0,0,35,-0.372071199923007,35,1,0.499999985714286,"UCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B memory lambda",0,0,0,30,-0.377879904518169,30,1,0.499999983333334,"UCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B naive kappa",0,0,1,204,-0.415666421679798,205,0.995121951219512,0.49999999754902,"UCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","B naive lambda",0,0,0,15,-0.393934075473584,15,1,0.499999966666669,"UCell","Standard",TRUE,"gmm_immune_dual"
"B-cells","Plasma",0,1,0,1,-0.431267905516592,2,0.5,0.249999875000062,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","CD14 Mono",24220,134,1348,15,0.498534320478203,25717,0.942372749543104,0.52397449376802,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","CD16 Mono",271,6,16,0,0.436012209944345,293,0.924914675767918,0.472125433895033,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","Doublet",104,0,5,0,0.879128728766554,109,0.954128440366973,0.47706421580675,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0325575775434461,1,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","Platelet",7,0,52,0,8.46313620868468,59,0.11864406779661,0.0593220328928469,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.317182273967906,2,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_1",57,0,30,0,0.57841874003771,87,0.655172413793103,0.327586203131193,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_2",8,0,17,0,0.415925278558293,25,0.32,0.1599999936,"UCell","Standard",TRUE,"gmm_immune_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.828199541722044,5,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","ASDC_mDC",0,1,0,0,0.420985889566497,1,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD14 Mono",76,8,9,1,0.460831660398773,94,0.819148936170213,0.502614367652613,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD16 Mono",42,3,9,0,0.356819566619353,54,0.777777777777778,0.411764697808535,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 CTL",0,0,0,2,-0.137642111037417,2,1,0.499999750000125,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 Naive",0,0,12,16,-0.566834062114333,28,0.571428571428571,0.499999968750002,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.221172737637995,20,0.55,0.499999954545459,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.283223356454525,10,0.5,0.49999990000002,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.325992103739598,17,0.235294117647059,0.499999875000031,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.433287814505459,2,0.5,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.135284377548671,7,0.285714285714286,0.499999750000125,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 Naive",0,0,22,14,-0.452175879454197,36,0.388888888888889,0.499999964285717,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 Naive_2",0,0,1,1,-0.292928772815665,2,0.5,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 Proliferating",0,0,2,0,-0.061181165897875,2,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.334755668707076,2,1,0.499999750000125,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.344510351141117,3,0.333333333333333,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.393086699019718,3,0.333333333333333,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TEM_1",0,0,5,2,-0.298003178324282,7,0.285714285714286,0.499999750000125,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.0375334509062632,2,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TEM_4",0,0,2,2,-0.12714843750989,4,0.5,0.499999750000125,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","CD8 TEM_5",0,0,1,0,0.0142451917107837,1,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","Doublet",13,0,2,1,2.07804409327164,16,0.875,0.933332804444946,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","HSPC",0,0,1,0,0.548683550521198,1,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","MAIT",0,0,2,0,-0.221394434966041,2,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","NK Proliferating",0,0,1,0,-0.334460072269682,1,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","NK_1",0,0,0,1,0.414581300089603,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","NK_3",1,0,0,0,-0.37781421642097,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","NK_CD56bright",0,0,0,1,0.252495920251268,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","Platelet",1,0,14,2,9.30956496602979,17,0.176470588235294,0.533333081111236,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","Treg Memory",0,0,2,0,-0.156215420520413,2,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","Treg Naive",0,0,3,1,-0.528001839654151,4,0.25,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","cDC2_1",4,0,4,0,0.74872843952836,8,0.5,0.249999968750004,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","cDC2_2",7,1,5,2,0.507142397852602,15,0.6,0.624999864583372,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","dnT_2",0,0,1,0,-0.314458046672611,1,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","gdT_1",0,0,1,0,-0.319680250399927,1,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","gdT_2",0,0,0,1,-0.458117915246648,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","gdT_3",0,0,0,1,-0.632618345455579,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"DCs","pDC",0,0,2,0,0.0766653060740578,2,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD16 Mono",0,3,0,2,0.278350755308763,5,0.4,0.199999960000008,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.446688186334037,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.165674506517057,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.254254905589802,1,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.406831933358592,2,1,0.499999750000125,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.409265677359813,5,1,0.49999990000002,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,-0.324637648985406,16,0.9375,0.499999966666669,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK Proliferating",0,2,0,19,-0.0512786852451379,21,0.904761904761905,0.452380930839003,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_1",1,56,9,493,-0.140898166606757,559,0.883720930232558,0.498998172688528,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_2",1,45,3,166,0.00316330418729365,215,0.776744186046512,0.518364895795672,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_3",0,3,1,33,-0.180648729647444,37,0.891891891891892,0.458333320601852,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_4",0,0,0,17,-0.0188789973031997,17,1,0.499999970588237,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.0210293164850356,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Early-NK-cells","gdT_2",0,0,0,1,-0.0887209006485212,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Intermediate-Monocytes","CD14 Mono",452,13,31,1,0.44571825117715,497,0.911468812877264,0.503623184886021,"UCell","Standard",TRUE,"gmm_immune_dual"
"Intermediate-Monocytes","CD16 Mono",1445,21,93,2,0.386238821864138,1561,0.926969891095452,0.5132441884527,"UCell","Standard",TRUE,"gmm_immune_dual"
"Intermediate-Monocytes","Doublet",103,0,6,0,2.24953098785859,109,0.944954128440367,0.472477059885532,"UCell","Standard",TRUE,"gmm_immune_dual"
"Intermediate-Monocytes","Platelet",0,0,3,0,7.29291333398292,3,0,0,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","ASDC_mDC",0,2,0,5,0.369017220668267,7,0.714285714285714,0.357142806122456,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","ASDC_pDC",0,0,0,3,0.258243628756174,3,1,0.499999833333389,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.181144053407403,4,1,0.499999875000031,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.0126540840921742,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.299284096219661,3,1,0.499999833333389,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.242135451656599,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","B naive kappa",0,0,0,1,-0.509354631061807,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD14 Mono",0,3,2,1,0.680470295526531,6,0.166666666666667,0.124999968750008,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD16 Mono",499,575,73,121,0.228293301432255,1268,0.488958990536278,0.523114097657673,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD4 CTL",0,0,0,1,-0.195529746693966,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD4 Naive",0,0,0,78,-0.481070852287118,78,1,0.499999993589744,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.367645698974577,5,1,0.49999990000002,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.675972489606867,1,1,0.4999995000005,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 Naive",0,0,1,241,-0.409631142046047,242,0.995867768595041,0.499999997925311,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.356038612199527,3,1,0.499999833333389,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.162078083195417,2,1,0.499999750000125,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.321355296878498,5,1,0.49999990000002,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.371157822571479,9,1,0.499999944444451,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_1",0,0,0,34,-0.419896136689743,34,1,0.499999985294118,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_2",0,0,0,65,-0.220776714205844,65,1,0.499999992307692,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,-0.298397306907476,8,1,0.499999937500008,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_4",0,1,1,31,-0.205147081288408,33,0.939393939393939,0.484374984863282,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_5",0,2,2,45,-0.273434489398473,49,0.918367346938776,0.478723394069715,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_6",0,0,0,65,-0.315575249618048,65,1,0.499999992307692,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","Doublet",15,0,1,0,2.19485395211562,16,0.9375,0.468749970703127,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","HSPC",0,0,1,25,0.379121096695933,26,0.961538461538462,0.499999980000001,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","ILC",0,0,1,75,-0.11373769387649,76,0.986842105263158,0.499999993333333,"UCell","Standard",TRUE,"gmm_immune_dual"
"Late-NK-cells","MAIT",0,0,1,10,-0.252947115291022,11,0.909090909090909,0.499999950000005,"UCell","Standard",TRUE,"gmm_immune_dual"
