"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,-0.363878955800913,28,"UCell","Standard",TRUE,"percentile"
"B-cells","B intermediate lambda",0,0,-0.276471822802283,142,"UCell","Standard",TRUE,"percentile"
"B-cells","B memory kappa",0,0,-0.372071199923007,35,"UCell","Standard",TRUE,"percentile"
"B-cells","B memory lambda",0,0,-0.377879904518169,30,"UCell","Standard",TRUE,"percentile"
"B-cells","B naive kappa",0,0,-0.415666421679798,205,"UCell","Standard",TRUE,"percentile"
"B-cells","B naive lambda",0,0,-0.393934075473584,15,"UCell","Standard",TRUE,"percentile"
"B-cells","Plasma",0,0,-0.431267905516592,2,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","CD14 Mono",37,8444,0.498534320478203,25717,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","CD16 Mono",0,64,0.436012209944345,293,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","Doublet",0,52,0.879128728766554,109,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","HSPC",0,0,-0.0325575775434461,1,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","Platelet",0,58,8.46313620868468,59,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC1",0,0,0.317182273967906,2,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC2_1",0,37,0.57841874003771,87,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","cDC2_2",0,3,0.415925278558293,25,"UCell","Standard",TRUE,"percentile"
"Classical-Monocytes","pDC",0,2,0.828199541722044,5,"UCell","Standard",TRUE,"percentile"
"DCs","ASDC_mDC",0,0,0.420985889566497,1,"UCell","Standard",TRUE,"percentile"
"DCs","CD14 Mono",2,25,0.460831660398773,94,"UCell","Standard",TRUE,"percentile"
"DCs","CD16 Mono",0,6,0.356819566619353,54,"UCell","Standard",TRUE,"percentile"
"DCs","CD4 CTL",0,0,-0.137642111037417,2,"UCell","Standard",TRUE,"percentile"
