"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,35,-0.423769209193576,36,0.972222222222222,0.486111097608025,"UCell","Standard",TRUE,"youden"
"B-cells","B intermediate lambda",0,20,0,146,-0.360091860716224,166,0.879518072289157,0.439759033495427,"UCell","Standard",TRUE,"youden"
"B-cells","B memory kappa",0,3,1,41,-0.439105186014473,45,0.911111111111111,0.465909080320248,"UCell","Standard",TRUE,"youden"
"B-cells","B memory lambda",0,0,0,34,-0.489267674136613,34,1,0.499999985294118,"UCell","Standard",TRUE,"youden"
"B-cells","B naive kappa",0,1,1,246,-0.515652117357315,248,0.991935483870968,0.497975706485928,"UCell","Standard",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.551328582244387,20,1,0.499999975000001,"UCell","Standard",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-0.660923960994052,1,1,0.4999995000005,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",29575,156,3555,31,0.732840816858886,33317,0.888615421556563,0.529235421176739,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",454,6,32,0,0.63714195708158,492,0.922764227642276,0.467078188339345,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","Doublet",129,0,11,0,1.06659412571062,140,0.921428571428571,0.460714282423469,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","Eryth",11,0,0,0,0.912340252380946,11,1,0.499999954545459,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","HSPC",1,0,0,0,0.108799251216146,1,1,0.4999995000005,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,11.080687582833,62,1,0.499999991935484,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.494894576406607,3,1,0.499999833333389,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","cDC2_1",162,0,3,0,0.924495144772314,165,0.981818181818182,0.490909087933884,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","cDC2_2",41,0,3,0,0.489476359904011,44,0.931818181818182,0.465909080320248,"UCell","Standard",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.828821208844615,5,1,0.49999990000002,"UCell","Standard",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.441315918985166,1,0,0,"UCell","Standard",TRUE,"youden"
"DCs","CD14 Mono",94,8,14,1,0.63499927077945,117,0.811965811965812,0.490740730538409,"UCell","Standard",TRUE,"youden"
"DCs","CD16 Mono",57,3,8,2,0.389068335352425,70,0.842857142857143,0.638461491715984,"UCell","Standard",TRUE,"youden"
"DCs","CD4 CTL",0,1,3,1,-0.325187873897515,5,0.2,0.249999875000062,"UCell","Standard",TRUE,"youden"
"DCs","CD4 Naive",0,0,19,21,-0.643302340058131,40,0.525,0.499999976190477,"UCell","Standard",TRUE,"youden"
"DCs","CD4 TCM_1",0,1,14,14,-0.329002881748999,29,0.482758620689655,0.466666635555558,"UCell","Standard",TRUE,"youden"
"DCs","CD4 TCM_2",0,0,3,2,-0.284416395552691,5,0.4,0.499999750000125,"UCell","Standard",TRUE,"youden"
"DCs","CD4 TCM_3",0,0,17,5,-0.314809679409741,22,0.227272727272727,0.49999990000002,"UCell","Standard",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,-0.54938008940322,3,0.666666666666667,0.499999750000125,"UCell","Standard",TRUE,"youden"
"DCs","CD4 TEM_3",0,0,5,3,-0.227403886676993,8,0.375,0.499999833333389,"UCell","Standard",TRUE,"youden"
"DCs","CD8 Naive",0,0,29,15,-0.550012081142475,44,0.340909090909091,0.499999966666669,"UCell","Standard",TRUE,"youden"
