"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.423769209193576,36,1,0.499999986111112,"UCell","Standard",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.360091860716224,166,0.987951807228916,0.493975900638699,"UCell","Standard",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.439105186014473,45,0.977777777777778,0.499999988636364,"UCell","Standard",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.489267674136613,34,1,0.499999985294118,"UCell","Standard",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.515652117357315,248,0.995967741935484,0.499999997975708,"UCell","Standard",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.551328582244387,20,1,0.499999975000001,"UCell","Standard",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.660923960994052,1,1,0.4999995000005,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30169,163,2961,24,0.732840816858886,33317,0.906234054686797,0.519483528312363,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",456,6,30,0,0.63714195708158,492,0.926829268292683,0.469135801503836,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",131,0,9,0,1.06659412571062,140,0.935714285714286,0.467857139515306,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.912340252380946,11,0.909090909090909,0.454545413223144,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,0.108799251216146,1,0,0,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,11.080687582833,62,0.112903225806452,0.0564516119927159,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.494894576406607,3,0,0,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",99,0,66,0,0.924495144772314,165,0.6,0.299999998181818,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",12,0,32,0,0.489476359904011,44,0.272727272727273,0.136363633264463,"UCell","Standard",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.828821208844615,5,0,0,"UCell","Standard",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,0.441315918985166,1,0,0,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD14 Mono","Mono",89,7,19,2,0.63499927077945,117,0.777777777777778,0.523148131987313,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD16 Mono","Mono",50,5,15,0,0.389068335352425,70,0.714285714285714,0.384615378698225,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.325187873897515,5,0.4,0.499999750000125,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.643302340058131,40,0.525,0.499999976190477,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.329002881748999,29,0.517241379310345,0.499999966666669,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.284416395552691,5,0.4,0.499999750000125,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.314809679409741,22,0.227272727272727,0.49999990000002,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.54938008940322,3,0.666666666666667,0.499999750000125,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.227403886676993,8,0.375,0.499999833333389,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.550012081142475,44,0.340909090909091,0.499999966666669,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.290573241273927,1,1,0.4999995000005,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-0.376463589026279,1,0,0,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-0.422816177519169,2,1,0.499999750000125,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.306170975424576,4,0.5,0.499999750000125,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.495879763352279,3,0.333333333333333,0.4999995000005,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.440016440957947,9,0.222222222222222,0.499999750000125,"UCell","Standard",TRUE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,-0.100639250656039,2,0,0,"UCell","Standard",TRUE,"youden_dual"
