"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.622296873154825,28,1,0.499999982142858,"AUCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.787836345245714,142,1,0.499999996478873,"AUCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.691208441877485,35,1,0.499999985714286,"AUCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.592058805170923,30,1,0.499999983333334,"AUCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.632156861404967,205,0.995121951219512,0.49999999754902,"AUCell","WP",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.70642505799642,15,1,0.499999966666669,"AUCell","WP",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,2,-0.546043411068591,2,1,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",7603,29,17965,120,0.374427008778805,25717,0.300307189796633,0.551366507232722,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",39,1,248,5,-0.12206849693564,293,0.150170648464164,0.484610847856574,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",28,0,81,0,0.359781333680509,109,0.256880733944954,0.128440365794125,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-1.0443628062013,1,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",5,0,54,0,2.92924756197003,59,0.0847457627118644,0.0423728806377478,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,2,0,-0.670297986095154,2,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",4,0,83,0,-0.388924970287575,87,0.0459770114942529,0.0229885054828907,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,25,0,-0.793303509896319,25,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,-0.305861269184784,5,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.644926633079259,1,1,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",23,1,62,8,0.210834016981149,94,0.329787234042553,0.579738511117097,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",1,0,50,3,-0.296642769978819,54,0.0740740740740741,0.509803754709783,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,0,2,0.143536952953172,2,1,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,12,16,-0.76444150479516,28,0.571428571428571,0.499999968750002,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.626386028952258,20,0.55,0.499999954545459,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.520932277057987,10,0.5,0.49999990000002,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.577805436714432,17,0.235294117647059,0.499999875000031,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,0.656168393376898,2,0.5,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,0.357660020164242,7,0.285714285714286,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,22,14,-0.869112534443357,36,0.388888888888889,0.499999964285717,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,1,1,0.0576646812070658,2,0.5,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,2,0,0.319835329037981,2,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,0.838972244593988,2,1,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,1,0.0641701563393466,3,0.333333333333333,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,0.239817984910928,3,0.333333333333333,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,5,2,0.356730666573917,7,0.285714285714286,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,0.554682981313318,2,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,2,0.547526958667809,4,0.5,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,2.06525430702892,1,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","Doublet",3,0,12,1,0.604612502953573,16,0.25,0.599999493333834,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,-0.456267854243116,1,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","MAIT",0,0,2,0,0.22875867718605,2,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,0.282754120783981,1,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","NK_1",0,0,0,1,2.21227804501846,1,1,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","NK_3",0,0,1,0,0.878655642900901,1,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","NK_CD56bright",0,0,0,1,0.732932999937811,1,1,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","Platelet",0,0,15,2,3.04551460696129,17,0.117647058823529,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","Treg Memory",0,0,2,0,-0.992319005143052,2,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","Treg Naive",0,0,3,1,-0.858631491174682,4,0.25,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","cDC2_1",0,0,8,0,-0.687374858317391,8,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","cDC2_2",0,0,12,3,-0.825431883082943,15,0.2,0.499999833333389,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","dnT_2",0,0,1,0,-1.0443628062013,1,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
"DCs","gdT_1",0,0,1,0,1.29370495634041,1,0,0,"AUCell","WP",FALSE,"gmm_dist_dual"
