"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.622296873154825,28,0.964285714285714,0.48214283992347,"AUCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,142,-0.787836345245714,142,1,0.499999996478873,"AUCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,1,0,34,-0.691208441877485,35,0.971428571428571,0.485714271836735,"AUCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.592058805170923,30,1,0.499999983333334,"AUCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,1,1,203,-0.632156861404967,205,0.990243902439024,0.497549017168877,"AUCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.70642505799642,15,1,0.499999966666669,"AUCell","WP",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,2,-0.546043411068591,2,1,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",8092,39,17476,110,0.374427008778805,25717,0.318933001516507,0.527372195146032,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",42,1,245,5,-0.12206849693564,293,0.160409556313993,0.489837328674601,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",34,0,75,0,0.359781333680509,109,0.311926605504587,0.155963301321438,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-1.0443628062013,1,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",58,0,1,0,2.92924756197003,59,0.983050847457627,0.491525415397874,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,-0.670297986095154,2,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",6,0,81,0,-0.388924970287575,87,0.0689655172413793,0.0344827582243361,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",0,0,25,0,-0.793303509896319,25,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",0,0,5,0,-0.305861269184784,5,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,-0.644926633079259,1,1,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",25,2,60,7,0.210834016981149,94,0.340425531914894,0.535947667478325,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",3,0,48,3,-0.296642769978819,54,0.111111111111111,0.52941159746257,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,0.143536952953172,2,1,0.499999750000125,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.76444150479516,28,0.571428571428571,0.499999968750002,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.626386028952258,20,0.55,0.499999954545459,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.520932277057987,10,0.5,0.49999990000002,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.577805436714432,17,0.235294117647059,0.499999875000031,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,1,1,0,0.656168393376898,2,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",1,2,4,0,0.357660020164242,7,0.142857142857143,0.099999980000004,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.869112534443357,36,0.388888888888889,0.499999964285717,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,0.0576646812070658,2,0.5,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,0.319835329037981,2,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,1,0,1,0.838972244593988,2,0.5,0.249999875000062,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,0.0641701563393466,3,0.333333333333333,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,0.239817984910928,3,0.333333333333333,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,1,5,1,0.356730666573917,7,0.142857142857143,0.249999875000062,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",1,0,1,0,0.554682981313318,2,0.5,0.249999875000062,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,1,2,1,0.547526958667809,4,0.25,0.249999875000062,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",1,0,0,0,2.06525430702892,1,1,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","Doublet",6,0,9,1,0.604612502953573,16,0.4375,0.699999486667168,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-0.456267854243116,1,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","MAIT",0,0,2,0,0.22875867718605,2,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,0.282754120783981,1,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","NK_1",0,1,0,0,2.21227804501846,1,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","NK_3",1,0,0,0,0.878655642900901,1,1,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,0.732932999937811,1,1,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","Platelet",15,2,0,0,3.04551460696129,17,0.882352941176471,0.499999966666669,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.992319005143052,2,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.858631491174682,4,0.25,0.4999995000005,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","cDC2_1",0,0,8,0,-0.687374858317391,8,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","cDC2_2",0,0,12,3,-0.825431883082943,15,0.2,0.499999833333389,"AUCell","WP",FALSE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-1.0443628062013,1,0,0,"AUCell","WP",FALSE,"gmm_dist_platelet"
