"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,16,0,12,-0.622296873154825,28,0.428571428571429,0.214285706632653,"AUCell","WP",FALSE,"youden"
"B-cells","B intermediate lambda",0,65,0,77,-0.787836345245714,142,0.542253521126761,0.271126758654037,"AUCell","WP",FALSE,"youden"
"B-cells","B memory kappa",0,19,0,16,-0.691208441877485,35,0.457142857142857,0.228571422040817,"AUCell","WP",FALSE,"youden"
"B-cells","B memory lambda",0,19,0,11,-0.592058805170923,30,0.366666666666667,0.183333327222222,"AUCell","WP",FALSE,"youden"
"B-cells","B naive kappa",0,121,1,83,-0.632156861404967,205,0.404878048780488,0.203431371551807,"AUCell","WP",FALSE,"youden"
"B-cells","B naive lambda",0,8,0,7,-0.70642505799642,15,0.466666666666667,0.233333317777779,"AUCell","WP",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-0.546043411068591,2,0.5,0.249999875000062,"AUCell","WP",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",22568,137,3000,12,0.374427008778805,25717,0.878018431387798,0.481601372233501,"AUCell","WP",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",236,4,51,2,-0.12206849693564,293,0.812286689419795,0.577816463240288,"AUCell","WP",FALSE,"youden"
"Classical-Monocytes","Doublet",98,0,11,0,0.359781333680509,109,0.899082568807339,0.449541280279438,"AUCell","WP",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-1.0443628062013,1,0,0,"AUCell","WP",FALSE,"youden"
"Classical-Monocytes","Platelet",58,0,1,0,2.92924756197003,59,0.983050847457627,0.491525415397874,"AUCell","WP",FALSE,"youden"
"Classical-Monocytes","cDC1",1,0,1,0,-0.670297986095154,2,0.5,0.249999875000062,"AUCell","WP",FALSE,"youden"
"Classical-Monocytes","cDC2_1",65,0,22,0,-0.388924970287575,87,0.747126436781609,0.373563214096975,"AUCell","WP",FALSE,"youden"
