"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.611960561462092,36,1,0.499999986111112,"AUCell","WP",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.823841578985674,166,0.987951807228916,0.493975900638699,"AUCell","WP",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.624727448148128,45,0.977777777777778,0.499999988636364,"AUCell","WP",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.499404016194127,34,1,0.499999985294118,"AUCell","WP",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.718523548904479,248,0.995967741935484,0.499999997975708,"AUCell","WP",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.731313028701491,20,1,0.499999975000001,"AUCell","WP",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.0331946173569206,1,1,0.4999995000005,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",28328,154,4802,33,0.441468791232728,33317,0.851247111084431,0.515763213946811,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",409,5,77,1,0.0892826987431826,492,0.833333333333333,0.504115211582756,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",120,0,20,0,0.421698739400237,140,0.857142857142857,0.428571425510204,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,-0.147471995098615,11,0.818181818181818,0.40909087190083,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.398618439885706,1,0,0,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,2.94670792249218,62,0.112903225806452,0.0564516119927159,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.8741091397,3,0,0,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",87,0,78,0,0.182155833620626,165,0.527272727272727,0.263636362038567,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",6,0,38,0,-0.776939921437514,44,0.136363636363636,0.0681818166322314,"AUCell","WP",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.0333931520958828,5,0,0,"AUCell","WP",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,-0.854255665803788,1,1,0.4999995000005,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",77,6,31,3,0.150686457747841,117,0.683760683760684,0.523148126328877,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",45,4,20,1,-0.112444794724583,70,0.657142857142857,0.446153820828406,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.197779915956524,5,0.4,0.499999750000125,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.76856310909926,40,0.525,0.499999976190477,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.712645628719939,29,0.517241379310345,0.499999966666669,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.769084262789035,5,0.4,0.499999750000125,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.789867240235843,22,0.227272727272727,0.49999990000002,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,0.403792796752891,3,0.666666666666667,0.499999750000125,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,0.453716011321076,8,0.375,0.499999833333389,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.862309859191229,44,0.340909090909091,0.499999966666669,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.580277726036052,1,1,0.4999995000005,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,0.321069988852005,1,0,0,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,0.5632823703858,2,1,0.499999750000125,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.199587364076173,4,0.5,0.499999750000125,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.0220642183208714,3,0.333333333333333,0.4999995000005,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,0.314893352528739,9,0.222222222222222,0.499999750000125,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,0.0977184075196121,2,0,0,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,0.323906199408607,7,0.714285714285714,0.49999990000002,"AUCell","WP",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,1.63735530817091,1,0,0,"AUCell","WP",FALSE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,0.845610447704002,17,0.764705882352941,0.874999476563001,"AUCell","WP",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.537592757159195,1,0,0,"AUCell","WP",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,0.102019993530458,3,0,0,"AUCell","WP",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,0.62482813946406,1,0,0,"AUCell","WP",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,1.96791564854285,1,1,0.4999995000005,"AUCell","WP",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,0.980205322206267,1,0,0,"AUCell","WP",FALSE,"youden_dual"
