"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.463910842543864,36,1,0.499999986111112,"AUCell","WP",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,166,-0.548356393194178,166,1,0.499999996987952,"AUCell","WP",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.454452337071214,45,0.977777777777778,0.499999988636364,"AUCell","WP",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.394870258130924,34,1,0.499999985294118,"AUCell","WP",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.531172309961838,248,0.995967741935484,0.499999997975708,"AUCell","WP",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.523681946015148,20,1,0.499999975000001,"AUCell","WP",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-0.281701203185199,1,1,0.4999995000005,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",12167,56,20963,131,0.643645422648606,33317,0.369120869225921,0.533892490990976,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",140,1,346,5,0.30216622989555,492,0.294715447154472,0.560699518736569,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",53,0,87,0,0.727089671117117,140,0.378571428571429,0.189285712933673,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",3,0,8,0,0.431968450988299,11,0.272727272727273,0.136363623966943,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.425782934138167,1,0,0,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",10,0,52,0,8.3347320859941,62,0.161290322580645,0.0806451599895942,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,-0.288313649774828,3,0,0,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",42,0,123,0,0.370861851260024,165,0.254545454545455,0.127272726501377,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,44,0,-0.536580962639989,44,0,0,"AUCell","WP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.0626332523821127,5,0,0,"AUCell","WP",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.592834216402479,1,1,0.4999995000005,"AUCell","WP",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",29,1,79,8,0.299893666155345,117,0.316239316239316,0.578703653077852,"AUCell","WP",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",7,0,58,5,-0.15907760718023,70,0.171428571428571,0.553846053017771,"AUCell","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.223998906103068,5,0.4,0.499999750000125,"AUCell","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.558023165343129,40,0.525,0.499999976190477,"AUCell","WP",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.503092155427441,29,0.517241379310345,0.499999966666669,"AUCell","WP",TRUE,"gmm_dist_dual"
