"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.358187327647159,28,1,0.499999982142858,"AUCell","WP",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,-0.41691454515739,142,1,0.499999996478873,"AUCell","WP",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.372866113795684,35,1,0.499999985714286,"AUCell","WP",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,-0.340095652040513,30,1,0.499999983333334,"AUCell","WP",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.369295905209559,205,0.995121951219512,0.49999999754902,"AUCell","WP",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.384568014035055,15,1,0.499999966666669,"AUCell","WP",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,2,-0.350075288827959,2,1,0.499999750000125,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",3,0,25565,149,0.3198680768327,25717,0.00591048722634833,0.500058663728148,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,287,6,-0.0253026013738182,293,0.0204778156996587,0.499999916666681,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","Doublet",0,0,109,0,0.413881405789901,109,0,0,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.509112773831783,1,0,0,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","Platelet",51,0,8,0,8.25408701498271,59,0.864406779661017,0.432203382505027,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,-0.210346532421206,2,0,0,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,87,0,-0.160539033403847,87,0,0,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,25,0,-0.417194920880226,25,0,0,"AUCell","WP",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.190652160185042,5,0,0,"AUCell","WP",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.381633640943601,1,1,0.4999995000005,"AUCell","WP",TRUE,"kmeans"
