"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.691172121807344,28,1,0.499999982142858,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.898077510833259,142,1,0.499999996478873,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.743798127196694,35,1,0.499999985714286,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.660692370118802,30,1,0.499999983333334,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.785681805644575,205,0.995121951219512,0.49999999754902,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.773493104576084,15,1,0.499999966666669,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,2,-0.184179681907604,2,1,0.499999750000125,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",14218,81,11350,68,0.455865475856659,25717,0.555508029707975,0.506230784003353,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",96,2,191,4,-0.119900764983208,293,0.341296928327645,0.500580663954625,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",57,0,52,0,0.324504221949591,109,0.522935779816514,0.261467887509469,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-1.13797552153412,1,0,0,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",25,0,34,0,3.74910090295645,59,0.423728813559322,0.211864403188739,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,2,0,-0.777648689157101,2,0,0,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",11,0,76,0,-0.491152012974433,87,0.126436781609195,0.0632183900779495,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,25,0,-1.005637818983,25,0,0,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,-0.699698378708403,5,0,0,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-1.21630008860853,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",40,3,45,6,0.291963750948121,94,0.48936170212766,0.568627411175193,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",19,0,32,3,-0.355593282593666,54,0.407407407407407,0.686274339484869,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,0,2,-0.0363027813105982,2,1,0.499999750000125,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,12,16,-0.621484998884743,28,0.571428571428571,0.499999968750002,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.65176472882867,20,0.55,0.499999954545459,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.65017515378464,10,0.5,0.49999990000002,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.548190678319492,17,0.235294117647059,0.499999875000031,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,0.258947644515176,2,0.5,0.4999995000005,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,0.170394146718921,7,0.285714285714286,0.499999750000125,"AddModuleScore","WP",FALSE,"gmm_dist_dual"
