"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.729667653902914,36,1,0.499999986111112,"AddModuleScore","WP",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,1,0,165,-0.906087571986155,166,0.993975903614458,0.496987948813326,"AddModuleScore","WP",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.696085857694107,45,0.977777777777778,0.499999988636364,"AddModuleScore","WP",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.699994612779389,34,1,0.499999985294118,"AddModuleScore","WP",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.886617652220503,248,0.995967741935484,0.499999997975708,"AddModuleScore","WP",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.764598855737108,20,1,0.499999975000001,"AddModuleScore","WP",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,0.0620078129180837,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",11541,51,21589,136,0.459541087654039,33317,0.350481736050665,0.537813844330656,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",129,1,357,5,0.142572097701285,492,0.272357723577236,0.549382646331872,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","Doublet",41,0,99,0,0.380250200856063,140,0.292857142857143,0.146428570382653,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","Eryth",2,0,9,0,0.0195430927321225,11,0.181818181818182,0.0909090826446289,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-1.08824408188044,1,0,0,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","Platelet",59,0,3,0,4.20688794402785,62,0.951612903225806,0.475806443938606,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,-0.903795985968113,3,0,0,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",31,0,134,0,0.0783588612240848,165,0.187878787878788,0.0939393933700643,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,-0.913814742298698,44,0,0,"AddModuleScore","WP",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,-0.188480362817154,5,0,0,"AddModuleScore","WP",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.92590389002013,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"kmeans"
"DCs","CD14 Mono",26,1,82,8,0.234997374934243,117,0.290598290598291,0.564814764317564,"AddModuleScore","WP",FALSE,"kmeans"
"DCs","CD16 Mono",7,0,58,5,-0.313914477424881,70,0.171428571428571,0.553846053017771,"AddModuleScore","WP",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,0.128644433553859,5,0.4,0.499999750000125,"AddModuleScore","WP",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.725546203396254,40,0.525,0.499999976190477,"AddModuleScore","WP",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.779710576281383,29,0.517241379310345,0.499999966666669,"AddModuleScore","WP",FALSE,"kmeans"
