"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.691172121807344,28,1,0.499999982142858,"AddModuleScore","WP",FALSE,"youden"
"B-cells","B intermediate lambda",0,0,0,142,-0.898077510833259,142,1,0.499999996478873,"AddModuleScore","WP",FALSE,"youden"
"B-cells","B memory kappa",0,0,0,35,-0.743798127196694,35,1,0.499999985714286,"AddModuleScore","WP",FALSE,"youden"
"B-cells","B memory lambda",0,0,0,30,-0.660692370118802,30,1,0.499999983333334,"AddModuleScore","WP",FALSE,"youden"
"B-cells","B naive kappa",0,0,1,204,-0.785681805644575,205,0.995121951219512,0.49999999754902,"AddModuleScore","WP",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.773493104576084,15,1,0.499999966666669,"AddModuleScore","WP",FALSE,"youden"
"B-cells","Plasma",0,0,0,2,-0.184179681907604,2,1,0.499999750000125,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",6975,29,18593,120,0.455865475856659,25717,0.275887545203562,0.539085531012927,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",33,1,254,5,-0.119900764983208,293,0.129692832764505,0.474157886220522,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","Doublet",23,0,86,0,0.324504221949591,109,0.211009174311927,0.105504586188031,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-1.13797552153412,1,0,0,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","Platelet",56,0,3,0,3.74910090295645,59,0.949152542372881,0.474576263142775,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,-0.777648689157101,2,0,0,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","cDC2_1",2,0,85,0,-0.491152012974433,87,0.0229885057471264,0.0114942527414454,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","cDC2_2",0,0,25,0,-1.005637818983,25,0,0,"AddModuleScore","WP",FALSE,"youden"
"Classical-Monocytes","pDC",0,0,5,0,-0.699698378708403,5,0,0,"AddModuleScore","WP",FALSE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-1.21630008860853,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"youden"
"DCs","CD14 Mono",20,1,65,8,0.291963750948121,94,0.297872340425532,0.56209145250118,"AddModuleScore","WP",FALSE,"youden"
