"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.729667653902914,36,1,0.499999986111112,"AddModuleScore","WP",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.906087571986155,166,0.993975903614458,0.496987948813326,"AddModuleScore","WP",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.696085857694107,45,0.977777777777778,0.499999988636364,"AddModuleScore","WP",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.699994612779389,34,1,0.499999985294118,"AddModuleScore","WP",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.886617652220503,248,0.995967741935484,0.499999997975708,"AddModuleScore","WP",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.764598855737108,20,1,0.499999975000001,"AddModuleScore","WP",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.0620078129180837,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",29000,165,4130,22,0.459541087654039,33317,0.871086832547948,0.496493314776715,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",423,5,63,1,0.142572097701285,492,0.861788617886179,0.518518503734189,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",125,0,15,0,0.380250200856063,140,0.892857142857143,0.446428568239796,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.0195430927321225,11,0.818181818181818,0.40909087190083,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-1.08824408188044,1,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",18,0,44,0,4.20688794402785,62,0.290322580645161,0.14516128798127,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.903795985968113,3,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",61,0,104,0,0.0783588612240848,165,0.36969696969697,0.184848483728191,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",0,0,44,0,-0.913814742298698,44,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,-0.188480362817154,5,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,-0.92590389002013,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",74,6,34,3,0.234997374934243,117,0.658119658119658,0.509259237568589,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",46,4,19,1,-0.313914477424881,70,0.671428571428571,0.453846128402371,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.128644433553859,5,0.4,0.499999750000125,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.725546203396254,40,0.525,0.499999976190477,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.779710576281383,29,0.517241379310345,0.499999966666669,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.794365139893235,5,0.4,0.499999750000125,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.664429413638557,22,0.227272727272727,0.49999990000002,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,0.0714297504218432,3,0.666666666666667,0.499999750000125,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,0.113284653770195,8,0.375,0.499999833333389,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.816177266203807,44,0.340909090909091,0.499999966666669,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.948357636681099,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,0.928955662287326,1,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,0.823457535111964,2,1,0.499999750000125,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.451379544118692,4,0.5,0.499999750000125,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,0.414565873042359,3,0.333333333333333,0.4999995000005,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,0.36884918210717,9,0.222222222222222,0.499999750000125,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,0.500647058024497,2,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,0.396801120962928,7,0.714285714285714,0.49999990000002,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,1.56917848367901,1,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,0.550872789882111,17,0.764705882352941,0.874999476563001,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.880981369225338,1,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.0325284446668056,3,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,0.582430194638781,1,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,1.19993296067968,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,0.436726867147436,1,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,0.232100414811942,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","Platelet","other",1,0,19,2,4.02682759990625,22,0.136363636363636,0.524999748750125,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-1.13219658198655,2,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-0.911630699254818,4,0.25,0.4999995000005,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","cDC2_1","DC",2,0,14,0,-0.654943071009951,16,0.125,0.0624999960937502,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","cDC2_2","DC",1,0,37,13,-0.787030938991138,51,0.274509803921569,0.513157855929046,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,0.509639237157429,1,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,0.477264029692419,2,1,0.499999750000125,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-1.26683793695046,1,1,0.4999995000005,"AddModuleScore","WP",FALSE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,-0.270411864816589,1,0,0,"AddModuleScore","WP",FALSE,"youden_dual"
